contract_event_id,tx_id,smart_contract_id,event_name,event_status,rule_triggered,audit_flag
SCE-000001,TX-0000001,SC-011,payment_release,success,delivery_confirmed,0
SCE-000002,TX-0000003,SC-002,payment_release,pending,delivery_confirmed,0
SCE-000003,TX-0000004,SC-011,payment_release,failed,delivery_confirmed,0
SCE-000004,TX-0000010,SC-009,payment_release,success,delivery_confirmed,0
SCE-000005,TX-0000015,SC-004,payment_release,pending,delivery_confirmed,0
SCE-000006,TX-0000021,SC-001,quality_gate_passed,success,quality_certificate_verified,0
SCE-000007,TX-0000022,SC-007,payment_release,success,delivery_confirmed,0
SCE-000008,TX-0000026,SC-012,payment_release,success,delivery_confirmed,0
SCE-000009,TX-0000034,SC-008,quality_gate_passed,success,quality_certificate_verified,0
SCE-000010,TX-0000038,SC-011,payment_release,success,delivery_confirmed,0
SCE-000011,TX-0000040,SC-008,quality_gate_passed,success,quality_certificate_verified,0
SCE-000012,TX-0000042,SC-009,quality_gate_passed,failed,quality_certificate_verified,0
SCE-000013,TX-0000043,SC-005,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000014,TX-0000045,SC-006,payment_release,success,delivery_confirmed,0
SCE-000015,TX-0000048,SC-006,payment_release,success,delivery_confirmed,0
SCE-000016,TX-0000050,SC-004,quality_gate_passed,success,quality_certificate_verified,0
SCE-000017,TX-0000056,SC-008,quality_gate_passed,success,quality_certificate_verified,0
SCE-000018,TX-0000060,SC-012,payment_release,success,delivery_confirmed,0
SCE-000019,TX-0000062,SC-007,quality_gate_passed,success,quality_certificate_verified,0
SCE-000020,TX-0000063,SC-010,payment_release,success,delivery_confirmed,0
SCE-000021,TX-0000076,SC-011,quality_gate_passed,success,quality_certificate_verified,0
SCE-000022,TX-0000079,SC-004,quality_gate_passed,success,quality_certificate_verified,0
SCE-000023,TX-0000080,SC-003,quality_gate_passed,success,quality_certificate_verified,0
SCE-000024,TX-0000081,SC-008,payment_release,success,delivery_confirmed,0
SCE-000025,TX-0000082,SC-009,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000026,TX-0000083,SC-011,quality_gate_passed,success,quality_certificate_verified,0
SCE-000027,TX-0000088,SC-010,quality_gate_passed,success,quality_certificate_verified,0
SCE-000028,TX-0000090,SC-010,payment_release,success,delivery_confirmed,0
SCE-000029,TX-0000091,SC-012,payment_release,success,delivery_confirmed,0
SCE-000030,TX-0000093,SC-007,quality_gate_passed,failed,quality_certificate_verified,0
SCE-000031,TX-0000094,SC-011,quality_gate_passed,success,quality_certificate_verified,0
SCE-000032,TX-0000095,SC-004,quality_gate_passed,success,quality_certificate_verified,0
SCE-000033,TX-0000096,SC-010,payment_release,success,delivery_confirmed,0
SCE-000034,TX-0000099,SC-001,payment_release,pending,delivery_confirmed,0
SCE-000035,TX-0000100,SC-008,payment_release,success,delivery_confirmed,0
SCE-000036,TX-0000101,SC-009,quality_gate_passed,success,quality_certificate_verified,0
SCE-000037,TX-0000103,SC-008,payment_release,failed,delivery_confirmed,0
SCE-000038,TX-0000106,SC-002,payment_release,failed,delivery_confirmed,0
SCE-000039,TX-0000107,SC-012,quality_gate_passed,success,quality_certificate_verified,0
SCE-000040,TX-0000111,SC-008,quality_gate_passed,success,quality_certificate_verified,0
SCE-000041,TX-0000113,SC-003,quality_gate_passed,success,quality_certificate_verified,0
SCE-000042,TX-0000115,SC-001,quality_gate_passed,success,quality_certificate_verified,0
SCE-000043,TX-0000117,SC-001,payment_release,success,delivery_confirmed,0
SCE-000044,TX-0000122,SC-010,payment_release,success,delivery_confirmed,0
SCE-000045,TX-0000124,SC-006,quality_gate_passed,failed,quality_certificate_verified,0
SCE-000046,TX-0000125,SC-003,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000047,TX-0000127,SC-005,payment_release,success,delivery_confirmed,0
SCE-000048,TX-0000131,SC-011,quality_gate_passed,success,quality_certificate_verified,0
SCE-000049,TX-0000141,SC-007,quality_gate_passed,success,quality_certificate_verified,0
SCE-000050,TX-0000142,SC-003,quality_gate_passed,success,quality_certificate_verified,0
SCE-000051,TX-0000145,SC-009,payment_release,pending,delivery_confirmed,0
SCE-000052,TX-0000155,SC-003,quality_gate_passed,success,quality_certificate_verified,0
SCE-000053,TX-0000158,SC-007,payment_release,pending,delivery_confirmed,0
SCE-000054,TX-0000160,SC-004,payment_release,pending,delivery_confirmed,0
SCE-000055,TX-0000165,SC-010,quality_gate_passed,success,quality_certificate_verified,0
SCE-000056,TX-0000166,SC-003,payment_release,success,delivery_confirmed,0
SCE-000057,TX-0000167,SC-007,payment_release,success,delivery_confirmed,0
SCE-000058,TX-0000171,SC-012,payment_release,success,delivery_confirmed,0
SCE-000059,TX-0000172,SC-008,quality_gate_passed,success,quality_certificate_verified,0
SCE-000060,TX-0000175,SC-005,quality_gate_passed,success,quality_certificate_verified,0
SCE-000061,TX-0000176,SC-003,payment_release,success,delivery_confirmed,0
SCE-000062,TX-0000179,SC-002,payment_release,success,delivery_confirmed,0
SCE-000063,TX-0000180,SC-008,quality_gate_passed,success,quality_certificate_verified,0
SCE-000064,TX-0000181,SC-005,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000065,TX-0000183,SC-009,payment_release,pending,delivery_confirmed,0
SCE-000066,TX-0000184,SC-011,payment_release,success,delivery_confirmed,0
SCE-000067,TX-0000187,SC-009,payment_release,pending,delivery_confirmed,0
SCE-000068,TX-0000192,SC-012,payment_release,success,delivery_confirmed,0
SCE-000069,TX-0000207,SC-004,payment_release,success,delivery_confirmed,0
SCE-000070,TX-0000208,SC-007,payment_release,success,delivery_confirmed,0
SCE-000071,TX-0000212,SC-012,payment_release,success,delivery_confirmed,1
SCE-000072,TX-0000223,SC-001,payment_release,success,delivery_confirmed,0
SCE-000073,TX-0000228,SC-005,quality_gate_passed,success,quality_certificate_verified,0
SCE-000074,TX-0000233,SC-002,payment_release,failed,delivery_confirmed,0
SCE-000075,TX-0000240,SC-008,payment_release,success,delivery_confirmed,0
SCE-000076,TX-0000245,SC-011,payment_release,failed,delivery_confirmed,0
SCE-000077,TX-0000246,SC-006,quality_gate_passed,failed,quality_certificate_verified,0
SCE-000078,TX-0000250,SC-011,payment_release,success,delivery_confirmed,0
SCE-000079,TX-0000254,SC-011,payment_release,success,delivery_confirmed,0
SCE-000080,TX-0000255,SC-008,payment_release,success,delivery_confirmed,0
SCE-000081,TX-0000259,SC-010,quality_gate_passed,success,quality_certificate_verified,0
SCE-000082,TX-0000266,SC-011,quality_gate_passed,success,quality_certificate_verified,0
SCE-000083,TX-0000272,SC-002,quality_gate_passed,success,quality_certificate_verified,0
SCE-000084,TX-0000274,SC-008,payment_release,success,delivery_confirmed,0
SCE-000085,TX-0000277,SC-012,quality_gate_passed,success,quality_certificate_verified,0
SCE-000086,TX-0000279,SC-001,quality_gate_passed,success,quality_certificate_verified,0
SCE-000087,TX-0000280,SC-005,payment_release,success,delivery_confirmed,0
SCE-000088,TX-0000286,SC-003,payment_release,pending,delivery_confirmed,0
SCE-000089,TX-0000287,SC-002,payment_release,failed,delivery_confirmed,0
SCE-000090,TX-0000294,SC-005,quality_gate_passed,success,quality_certificate_verified,0
SCE-000091,TX-0000296,SC-004,quality_gate_passed,success,quality_certificate_verified,0
SCE-000092,TX-0000300,SC-004,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000093,TX-0000301,SC-011,payment_release,success,delivery_confirmed,0
SCE-000094,TX-0000303,SC-004,quality_gate_passed,success,quality_certificate_verified,0
SCE-000095,TX-0000307,SC-005,quality_gate_passed,success,quality_certificate_verified,0
SCE-000096,TX-0000311,SC-008,quality_gate_passed,success,quality_certificate_verified,1
SCE-000097,TX-0000313,SC-006,quality_gate_passed,pending,quality_certificate_verified,1
SCE-000098,TX-0000314,SC-010,payment_release,success,delivery_confirmed,0
SCE-000099,TX-0000315,SC-011,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000100,TX-0000322,SC-011,payment_release,failed,delivery_confirmed,0
SCE-000101,TX-0000323,SC-011,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000102,TX-0000332,SC-002,quality_gate_passed,success,quality_certificate_verified,0
SCE-000103,TX-0000336,SC-008,payment_release,pending,delivery_confirmed,0
SCE-000104,TX-0000339,SC-005,payment_release,success,delivery_confirmed,0
SCE-000105,TX-0000343,SC-003,quality_gate_passed,success,quality_certificate_verified,0
SCE-000106,TX-0000344,SC-012,quality_gate_passed,success,quality_certificate_verified,0
SCE-000107,TX-0000346,SC-008,quality_gate_passed,success,quality_certificate_verified,0
SCE-000108,TX-0000355,SC-004,quality_gate_passed,success,quality_certificate_verified,0
SCE-000109,TX-0000356,SC-008,payment_release,pending,delivery_confirmed,0
SCE-000110,TX-0000359,SC-004,payment_release,success,delivery_confirmed,0
SCE-000111,TX-0000364,SC-009,quality_gate_passed,success,quality_certificate_verified,0
SCE-000112,TX-0000370,SC-001,payment_release,success,delivery_confirmed,0
SCE-000113,TX-0000372,SC-003,payment_release,success,delivery_confirmed,1
SCE-000114,TX-0000375,SC-008,quality_gate_passed,success,quality_certificate_verified,0
SCE-000115,TX-0000378,SC-008,quality_gate_passed,success,quality_certificate_verified,0
SCE-000116,TX-0000382,SC-004,quality_gate_passed,success,quality_certificate_verified,0
SCE-000117,TX-0000385,SC-011,quality_gate_passed,success,quality_certificate_verified,0
SCE-000118,TX-0000387,SC-012,quality_gate_passed,success,quality_certificate_verified,0
SCE-000119,TX-0000388,SC-004,payment_release,success,delivery_confirmed,0
SCE-000120,TX-0000403,SC-010,payment_release,success,delivery_confirmed,0
SCE-000121,TX-0000407,SC-002,quality_gate_passed,success,quality_certificate_verified,0
SCE-000122,TX-0000418,SC-006,quality_gate_passed,success,quality_certificate_verified,0
SCE-000123,TX-0000422,SC-009,quality_gate_passed,success,quality_certificate_verified,0
SCE-000124,TX-0000424,SC-006,payment_release,success,delivery_confirmed,0
SCE-000125,TX-0000425,SC-006,payment_release,success,delivery_confirmed,0
SCE-000126,TX-0000428,SC-003,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000127,TX-0000429,SC-009,quality_gate_passed,success,quality_certificate_verified,0
SCE-000128,TX-0000430,SC-001,quality_gate_passed,success,quality_certificate_verified,0
SCE-000129,TX-0000432,SC-006,payment_release,success,delivery_confirmed,1
SCE-000130,TX-0000433,SC-004,payment_release,pending,delivery_confirmed,0
SCE-000131,TX-0000441,SC-002,quality_gate_passed,failed,quality_certificate_verified,0
SCE-000132,TX-0000443,SC-008,payment_release,pending,delivery_confirmed,0
SCE-000133,TX-0000447,SC-001,payment_release,success,delivery_confirmed,0
SCE-000134,TX-0000455,SC-009,payment_release,success,delivery_confirmed,0
SCE-000135,TX-0000456,SC-010,payment_release,success,delivery_confirmed,0
SCE-000136,TX-0000464,SC-009,payment_release,success,delivery_confirmed,0
SCE-000137,TX-0000467,SC-011,quality_gate_passed,success,quality_certificate_verified,0
SCE-000138,TX-0000469,SC-008,payment_release,success,delivery_confirmed,0
SCE-000139,TX-0000473,SC-011,payment_release,success,delivery_confirmed,0
SCE-000140,TX-0000478,SC-007,quality_gate_passed,success,quality_certificate_verified,0
SCE-000141,TX-0000479,SC-012,quality_gate_passed,success,quality_certificate_verified,0
SCE-000142,TX-0000483,SC-007,quality_gate_passed,success,quality_certificate_verified,0
SCE-000143,TX-0000487,SC-003,quality_gate_passed,success,quality_certificate_verified,1
SCE-000144,TX-0000493,SC-011,payment_release,success,delivery_confirmed,1
SCE-000145,TX-0000494,SC-003,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000146,TX-0000498,SC-010,quality_gate_passed,success,quality_certificate_verified,0
SCE-000147,TX-0000501,SC-003,quality_gate_passed,success,quality_certificate_verified,0
SCE-000148,TX-0000504,SC-012,quality_gate_passed,success,quality_certificate_verified,0
SCE-000149,TX-0000505,SC-008,quality_gate_passed,success,quality_certificate_verified,0
SCE-000150,TX-0000506,SC-012,payment_release,pending,delivery_confirmed,1
SCE-000151,TX-0000508,SC-008,payment_release,success,delivery_confirmed,0
SCE-000152,TX-0000514,SC-008,quality_gate_passed,success,quality_certificate_verified,0
SCE-000153,TX-0000515,SC-012,quality_gate_passed,success,quality_certificate_verified,0
SCE-000154,TX-0000518,SC-001,quality_gate_passed,success,quality_certificate_verified,1
SCE-000155,TX-0000520,SC-009,payment_release,success,delivery_confirmed,0
SCE-000156,TX-0000523,SC-005,quality_gate_passed,success,quality_certificate_verified,0
SCE-000157,TX-0000530,SC-005,quality_gate_passed,success,quality_certificate_verified,0
SCE-000158,TX-0000534,SC-012,quality_gate_passed,success,quality_certificate_verified,1
SCE-000159,TX-0000535,SC-004,payment_release,success,delivery_confirmed,0
SCE-000160,TX-0000537,SC-012,payment_release,success,delivery_confirmed,0
SCE-000161,TX-0000538,SC-005,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000162,TX-0000541,SC-010,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000163,TX-0000548,SC-006,payment_release,success,delivery_confirmed,0
SCE-000164,TX-0000557,SC-007,quality_gate_passed,success,quality_certificate_verified,0
SCE-000165,TX-0000566,SC-003,payment_release,success,delivery_confirmed,0
SCE-000166,TX-0000570,SC-009,payment_release,success,delivery_confirmed,0
SCE-000167,TX-0000571,SC-008,quality_gate_passed,success,quality_certificate_verified,0
SCE-000168,TX-0000572,SC-010,quality_gate_passed,success,quality_certificate_verified,0
SCE-000169,TX-0000576,SC-002,quality_gate_passed,success,quality_certificate_verified,0
SCE-000170,TX-0000578,SC-004,quality_gate_passed,success,quality_certificate_verified,0
SCE-000171,TX-0000586,SC-003,payment_release,success,delivery_confirmed,0
SCE-000172,TX-0000588,SC-009,payment_release,success,delivery_confirmed,0
SCE-000173,TX-0000593,SC-006,payment_release,success,delivery_confirmed,0
SCE-000174,TX-0000605,SC-010,quality_gate_passed,success,quality_certificate_verified,0
SCE-000175,TX-0000608,SC-008,payment_release,success,delivery_confirmed,0
SCE-000176,TX-0000611,SC-008,payment_release,success,delivery_confirmed,0
SCE-000177,TX-0000618,SC-008,quality_gate_passed,success,quality_certificate_verified,0
SCE-000178,TX-0000619,SC-008,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000179,TX-0000621,SC-002,payment_release,success,delivery_confirmed,0
SCE-000180,TX-0000623,SC-009,quality_gate_passed,success,quality_certificate_verified,0
SCE-000181,TX-0000624,SC-005,quality_gate_passed,success,quality_certificate_verified,0
SCE-000182,TX-0000625,SC-007,payment_release,failed,delivery_confirmed,0
SCE-000183,TX-0000626,SC-010,payment_release,failed,delivery_confirmed,1
SCE-000184,TX-0000630,SC-008,quality_gate_passed,success,quality_certificate_verified,0
SCE-000185,TX-0000635,SC-004,quality_gate_passed,success,quality_certificate_verified,0
SCE-000186,TX-0000637,SC-004,quality_gate_passed,success,quality_certificate_verified,0
SCE-000187,TX-0000641,SC-009,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000188,TX-0000648,SC-007,payment_release,success,delivery_confirmed,0
SCE-000189,TX-0000650,SC-001,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000190,TX-0000651,SC-007,payment_release,success,delivery_confirmed,0
SCE-000191,TX-0000655,SC-009,payment_release,success,delivery_confirmed,0
SCE-000192,TX-0000659,SC-009,quality_gate_passed,success,quality_certificate_verified,0
SCE-000193,TX-0000663,SC-003,payment_release,pending,delivery_confirmed,0
SCE-000194,TX-0000668,SC-003,quality_gate_passed,success,quality_certificate_verified,0
SCE-000195,TX-0000672,SC-003,quality_gate_passed,success,quality_certificate_verified,0
SCE-000196,TX-0000673,SC-009,quality_gate_passed,success,quality_certificate_verified,0
SCE-000197,TX-0000675,SC-012,payment_release,success,delivery_confirmed,0
SCE-000198,TX-0000682,SC-001,payment_release,success,delivery_confirmed,0
SCE-000199,TX-0000687,SC-008,payment_release,success,delivery_confirmed,0
SCE-000200,TX-0000689,SC-002,payment_release,success,delivery_confirmed,0
SCE-000201,TX-0000691,SC-007,quality_gate_passed,success,quality_certificate_verified,1
SCE-000202,TX-0000693,SC-008,payment_release,success,delivery_confirmed,0
SCE-000203,TX-0000703,SC-001,payment_release,success,delivery_confirmed,0
SCE-000204,TX-0000708,SC-012,quality_gate_passed,success,quality_certificate_verified,0
SCE-000205,TX-0000716,SC-005,quality_gate_passed,success,quality_certificate_verified,0
SCE-000206,TX-0000717,SC-003,payment_release,success,delivery_confirmed,0
SCE-000207,TX-0000718,SC-005,quality_gate_passed,failed,quality_certificate_verified,1
SCE-000208,TX-0000719,SC-012,payment_release,success,delivery_confirmed,0
SCE-000209,TX-0000721,SC-004,payment_release,success,delivery_confirmed,0
SCE-000210,TX-0000722,SC-010,payment_release,success,delivery_confirmed,0
SCE-000211,TX-0000726,SC-012,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000212,TX-0000727,SC-010,payment_release,success,delivery_confirmed,0
SCE-000213,TX-0000728,SC-007,payment_release,success,delivery_confirmed,0
SCE-000214,TX-0000729,SC-002,payment_release,pending,delivery_confirmed,0
SCE-000215,TX-0000734,SC-008,payment_release,success,delivery_confirmed,0
SCE-000216,TX-0000737,SC-002,payment_release,success,delivery_confirmed,0
SCE-000217,TX-0000738,SC-001,quality_gate_passed,success,quality_certificate_verified,0
SCE-000218,TX-0000740,SC-006,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000219,TX-0000742,SC-001,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000220,TX-0000744,SC-006,payment_release,failed,delivery_confirmed,0
SCE-000221,TX-0000745,SC-011,payment_release,success,delivery_confirmed,0
SCE-000222,TX-0000747,SC-004,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000223,TX-0000748,SC-004,quality_gate_passed,success,quality_certificate_verified,0
SCE-000224,TX-0000749,SC-005,payment_release,success,delivery_confirmed,0
SCE-000225,TX-0000750,SC-010,quality_gate_passed,success,quality_certificate_verified,0
SCE-000226,TX-0000755,SC-010,payment_release,success,delivery_confirmed,0
SCE-000227,TX-0000757,SC-003,payment_release,success,delivery_confirmed,0
SCE-000228,TX-0000759,SC-008,quality_gate_passed,success,quality_certificate_verified,0
SCE-000229,TX-0000760,SC-006,payment_release,success,delivery_confirmed,0
SCE-000230,TX-0000766,SC-011,payment_release,success,delivery_confirmed,0
SCE-000231,TX-0000770,SC-007,payment_release,success,delivery_confirmed,0
SCE-000232,TX-0000774,SC-001,quality_gate_passed,success,quality_certificate_verified,0
SCE-000233,TX-0000784,SC-005,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000234,TX-0000786,SC-001,payment_release,failed,delivery_confirmed,0
SCE-000235,TX-0000795,SC-006,payment_release,success,delivery_confirmed,0
SCE-000236,TX-0000803,SC-010,quality_gate_passed,success,quality_certificate_verified,0
SCE-000237,TX-0000805,SC-006,quality_gate_passed,pending,quality_certificate_verified,1
SCE-000238,TX-0000809,SC-002,payment_release,success,delivery_confirmed,0
SCE-000239,TX-0000811,SC-007,payment_release,success,delivery_confirmed,0
SCE-000240,TX-0000812,SC-012,quality_gate_passed,success,quality_certificate_verified,0
SCE-000241,TX-0000820,SC-010,quality_gate_passed,success,quality_certificate_verified,0
SCE-000242,TX-0000830,SC-011,quality_gate_passed,success,quality_certificate_verified,1
SCE-000243,TX-0000834,SC-006,quality_gate_passed,success,quality_certificate_verified,0
SCE-000244,TX-0000835,SC-001,payment_release,success,delivery_confirmed,0
SCE-000245,TX-0000838,SC-005,quality_gate_passed,success,quality_certificate_verified,0
SCE-000246,TX-0000845,SC-002,quality_gate_passed,failed,quality_certificate_verified,0
SCE-000247,TX-0000848,SC-003,quality_gate_passed,success,quality_certificate_verified,0
SCE-000248,TX-0000849,SC-009,quality_gate_passed,success,quality_certificate_verified,0
SCE-000249,TX-0000858,SC-008,quality_gate_passed,success,quality_certificate_verified,1
SCE-000250,TX-0000860,SC-010,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000251,TX-0000864,SC-012,quality_gate_passed,success,quality_certificate_verified,0
SCE-000252,TX-0000866,SC-009,quality_gate_passed,success,quality_certificate_verified,0
SCE-000253,TX-0000867,SC-003,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000254,TX-0000878,SC-003,payment_release,success,delivery_confirmed,0
SCE-000255,TX-0000879,SC-009,quality_gate_passed,success,quality_certificate_verified,0
SCE-000256,TX-0000881,SC-003,payment_release,pending,delivery_confirmed,0
SCE-000257,TX-0000885,SC-007,quality_gate_passed,success,quality_certificate_verified,0
SCE-000258,TX-0000887,SC-007,payment_release,success,delivery_confirmed,0
SCE-000259,TX-0000894,SC-002,payment_release,success,delivery_confirmed,0
SCE-000260,TX-0000896,SC-007,payment_release,pending,delivery_confirmed,0
SCE-000261,TX-0000899,SC-004,payment_release,success,delivery_confirmed,0
SCE-000262,TX-0000900,SC-005,payment_release,success,delivery_confirmed,1
SCE-000263,TX-0000905,SC-008,payment_release,success,delivery_confirmed,0
SCE-000264,TX-0000906,SC-009,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000265,TX-0000912,SC-005,quality_gate_passed,success,quality_certificate_verified,0
SCE-000266,TX-0000914,SC-001,quality_gate_passed,success,quality_certificate_verified,0
SCE-000267,TX-0000920,SC-004,quality_gate_passed,success,quality_certificate_verified,1
SCE-000268,TX-0000921,SC-001,payment_release,success,delivery_confirmed,0
SCE-000269,TX-0000925,SC-006,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000270,TX-0000928,SC-007,payment_release,success,delivery_confirmed,1
SCE-000271,TX-0000930,SC-005,payment_release,success,delivery_confirmed,0
SCE-000272,TX-0000933,SC-009,quality_gate_passed,success,quality_certificate_verified,1
SCE-000273,TX-0000937,SC-007,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000274,TX-0000942,SC-005,quality_gate_passed,pending,quality_certificate_verified,0
SCE-000275,TX-0000943,SC-010,quality_gate_passed,success,quality_certificate_verified,0
SCE-000276,TX-0000944,SC-007,payment_release,pending,delivery_confirmed,0
SCE-000277,TX-0000946,SC-006,quality_gate_passed,success,quality_certificate_verified,0
SCE-000278,TX-0000949,SC-008,quality_gate_passed,success,quality_certificate_verified,1
SCE-000279,TX-0000950,SC-002,quality_gate_passed,success,quality_certificate_verified,0
SCE-000280,TX-0000951,SC-011,payment_release,success,delivery_confirmed,0
SCE-000281,TX-0000953,SC-003,quality_gate_passed,success,quality_certificate_verified,0
SCE-000282,TX-0000959,SC-012,quality_gate_passed,success,quality_certificate_verified,0
SCE-000283,TX-0000963,SC-011,payment_release,success,delivery_confirmed,0
SCE-000284,TX-0000965,SC-002,payment_release,success,delivery_confirmed,0
SCE-000285,TX-0000967,SC-012,payment_release,pending,delivery_confirmed,0
SCE-000286,TX-0000970,SC-004,quality_gate_passed,success,quality_certificate_verified,0
SCE-000287,TX-0000971,SC-008,payment_release,success,delivery_confirmed,0
SCE-000288,TX-0000973,SC-006,payment_release,success,delivery_confirmed,0
SCE-000289,TX-0000978,SC-009,quality_gate_passed,success,quality_certificate_verified,0
SCE-000290,TX-0000982,SC-003,quality_gate_passed,success,quality_certificate_verified,0
SCE-000291,TX-0000984,SC-002,payment_release,success,delivery_confirmed,1
SCE-000292,TX-0000988,SC-011,quality_gate_passed,success,quality_certificate_verified,0
SCE-000293,TX-0000989,SC-009,payment_release,success,delivery_confirmed,0
SCE-000294,TX-0000990,SC-012,quality_gate_passed,success,quality_certificate_verified,0
SCE-000295,TX-0000995,SC-010,payment_release,success,delivery_confirmed,0
SCE-000296,TX-0000996,SC-012,quality_gate_passed,failed,quality_certificate_verified,0
SCE-000297,TX-0000999,SC-005,payment_release,pending,delivery_confirmed,0
SCE-000298,TX-0001000,SC-004,quality_gate_passed,success,quality_certificate_verified,0
SCE-000299,TX-0001010,SC-010,payment_release,failed,delivery_confirmed,0
SCE-000300,TX-0001017,SC-009,payment_release,success,delivery_confirmed,0
SCE-000301,TX-0001018,SC-001,quality_gate_passed,success,quality_certificate_verified,0
SCE-000302,TX-0001019,SC-007,payment_release,success,delivery_confirmed,1
SCE-000303,TX-0001020,SC-007,payment_release,success,delivery_confirmed,0
SCE-000304,TX-0001025,SC-001,quality_gate_passed,success,quality_certificate_verified,0
SCE-000305,TX-0001028,SC-004,quality_gate_passed,success,quality_certificate_verified,0
SCE-000306,TX-0001029,SC-004,payment_release,pending,delivery_confirmed,0
SCE-000307,TX-0001033,SC-010,quality_gate_passed,success,quality_certificate_verified,0
