inventory_movement_id,movement_datetime,plant_id,item_id,product_id,movement_type,quantity,uom,location_code,source_system
IM-0000001,2026-07-28 02:20:00,P03,MAT-037,PRD-080,RM_ISSUE,-4153,EA,RM-A,WMS
IM-0000002,2025-12-21 03:01:00,P01,MAT-032,PRD-038,RM_RECEIPT,4376,EA,RM-A,WMS
IM-0000003,2026-01-12 14:54:00,P03,PRD-037,PRD-037,FG_SHIP,-1517,EA,RM-A,WMS
IM-0000004,2026-07-16 22:05:00,P03,PRD-018,PRD-018,FG_SHIP,-1314,EA,RM-A,WMS
IM-0000005,2026-01-06 02:30:00,P02,PRD-067,PRD-067,FG_RECEIPT,3210,EA,RM-B,WMS
IM-0000006,2025-08-08 18:00:00,P02,MAT-018,PRD-078,RM_RECEIPT,1441,EA,FG-01,WMS
IM-0000007,2025-08-16 06:20:00,P02,MAT-026,PRD-046,RM_ISSUE,-3716,EA,FG-02,WMS
IM-0000008,2026-04-05 22:47:00,P01,MAT-031,PRD-008,RM_ISSUE,-516,EA,WIP-01,WMS
IM-0000009,2026-01-01 11:09:00,P02,PRD-048,PRD-048,FG_SHIP,-3056,EA,WIP-01,WMS
IM-0000010,2025-09-15 23:11:00,P03,PRD-073,PRD-073,FG_RECEIPT,1035,EA,FG-01,WMS
IM-0000011,2026-02-08 18:17:00,P03,PRD-028,PRD-028,FG_RECEIPT,6044,EA,WIP-01,WMS
IM-0000012,2026-01-03 23:44:00,P03,MAT-036,PRD-020,RM_RECEIPT,8194,EA,RM-A,WMS
IM-0000013,2026-04-12 03:19:00,P02,PRD-043,PRD-043,FG_RECEIPT,3149,EA,RM-A,WMS
IM-0000014,2025-11-07 11:13:00,P03,PRD-030,PRD-030,FG_SHIP,-7097,EA,RM-B,WMS
IM-0000015,2025-09-07 18:15:00,P03,PRD-016,PRD-016,FG_SHIP,-2305,EA,RM-B,WMS
IM-0000016,2026-05-08 05:03:00,P02,PRD-053,PRD-053,FG_SHIP,-1194,EA,RM-A,WMS
IM-0000017,2025-09-11 13:37:00,P02,PRD-007,PRD-007,FG_RECEIPT,2804,EA,FG-01,WMS
IM-0000018,2025-09-17 11:46:00,P01,MAT-026,PRD-046,RM_RECEIPT,1318,EA,FG-01,WMS
IM-0000019,2026-07-28 09:30:00,P03,MAT-005,PRD-024,RM_RECEIPT,6334,EA,FG-01,WMS
IM-0000020,2026-05-26 20:05:00,P02,MAT-037,PRD-051,RM_RECEIPT,1583,EA,RM-B,WMS
IM-0000021,2025-09-30 05:36:00,P03,PRD-024,PRD-024,FG_RECEIPT,2135,EA,RM-A,WMS
IM-0000022,2025-12-17 23:08:00,P02,PRD-030,PRD-030,FG_RECEIPT,239,EA,WIP-01,WMS
IM-0000023,2025-08-28 01:08:00,P01,MAT-033,PRD-076,RM_ISSUE,-2564,EA,RM-B,WMS
IM-0000024,2026-01-18 20:38:00,P03,PRD-033,PRD-033,FG_SHIP,-2411,EA,RM-A,WMS
IM-0000025,2025-09-24 13:37:00,P02,PRD-075,PRD-075,FG_SHIP,-2173,EA,FG-01,WMS
IM-0000026,2025-11-21 01:06:00,P03,PRD-077,PRD-077,FG_RECEIPT,1331,EA,FG-01,WMS
IM-0000027,2026-05-16 20:26:00,P02,PRD-059,PRD-059,FG_RECEIPT,3046,EA,FG-01,WMS
IM-0000028,2026-04-16 00:29:00,P01,PRD-028,PRD-028,FG_SHIP,-1333,EA,FG-02,WMS
IM-0000029,2026-05-21 10:17:00,P01,MAT-023,PRD-007,RM_RECEIPT,3786,EA,FG-02,WMS
IM-0000030,2026-05-16 06:02:00,P03,PRD-062,PRD-062,FG_SHIP,-579,EA,RM-A,WMS
IM-0000031,2026-04-02 11:57:00,P02,MAT-030,PRD-041,RM_ISSUE,-3560,EA,FG-02,WMS
IM-0000032,2026-07-24 20:28:00,P02,MAT-007,PRD-055,RM_RECEIPT,3161,EA,FG-02,WMS
IM-0000033,2026-05-05 21:29:00,P01,PRD-047,PRD-047,FG_RECEIPT,1621,EA,RM-B,WMS
IM-0000034,2025-09-05 04:40:00,P01,MAT-018,PRD-026,RM_ISSUE,-2535,EA,FG-02,WMS
IM-0000035,2025-08-15 01:37:00,P02,MAT-035,PRD-066,RM_RECEIPT,1768,EA,WIP-01,WMS
IM-0000036,2026-02-26 21:26:00,P01,MAT-031,PRD-008,RM_ISSUE,-1681,EA,WIP-01,WMS
IM-0000037,2025-12-22 05:36:00,P03,PRD-075,PRD-075,FG_RECEIPT,324,EA,FG-02,WMS
IM-0000038,2025-11-24 12:29:00,P01,MAT-018,PRD-078,RM_RECEIPT,12613,EA,RM-B,WMS
IM-0000039,2026-06-07 02:49:00,P03,PRD-049,PRD-049,FG_SHIP,-503,EA,FG-02,WMS
IM-0000040,2025-12-17 22:31:00,P03,MAT-017,PRD-079,RM_ISSUE,-728,EA,RM-B,WMS
IM-0000041,2026-04-17 13:20:00,P02,PRD-069,PRD-069,FG_SHIP,-2456,EA,FG-01,WMS
