sales_order_id,order_line_id,customer_id,product_id,order_date,requested_delivery_date,promised_delivery_date,ordered_quantity,unit_price,discount_pct,customer_priority,order_status,source_system,load_timestamp
SO-000001,SOL-000001-01,CUST-0071,PRD-075,2026-04-04,2026-04-11,2026-04-10,4178,612.43,10.0,low,completed,ERP,2026-04-06 03:54:00
SO-000002,SOL-000002-01,CUST-0025,PRD-040,2026-05-16,2026-06-10,2026-06-09,10273,648.75,0.0,normal,completed,ERP,2026-05-17 20:08:00
SO-000003,SOL-000003-01,CUST-0001,PRD-033,2026-05-30,2026-06-27,2026-06-30,1074,483.91,3.0,high,open,ERP,2026-05-31 10:57:00
SO-000004,SOL-000004-01,CUST-0048,PRD-062,2025-09-06,2025-10-09,2025-10-08,5279,52.82,3.0,normal,completed,ERP,2025-09-07 11:08:00
SO-000005,SOL-000005-01,CUST-0090,PRD-069,2025-08-07,2025-08-23,2025-08-21,2094,1035.55,5.0,normal,open,ERP,2025-08-07 20:31:00
SO-000006,SOL-000006-01,CUST-0066,PRD-027,2026-03-23,2026-04-23,2026-04-23,9739,703.57,0.0,normal,open,ERP,2026-03-24 04:56:00
SO-000007,SOL-000007-01,CUST-0035,PRD-051,2026-06-10,2026-07-10,2026-07-09,2346,407.82,8.0,high,completed,ERP,2026-06-11 23:39:00
SO-000008,SOL-000008-01,CUST-0102,PRD-013,2025-08-07,2025-08-27,2025-08-26,14196,367.63,1.0,high,completed,ERP,2025-08-09 19:53:00
SO-000009,SOL-000009-01,CUST-0001,PRD-018,2025-09-18,2025-10-13,2025-10-12,1429,151.65,1.0,high,completed,ERP,2025-09-20 12:15:00
SO-000010,SOL-000010-01,CUST-0100,PRD-043,2025-11-17,2025-11-25,2025-11-23,1750,484.34,1.0,normal,completed,ERP,2025-11-19 04:52:00
SO-000011,SOL-000011-01,CUST-0057,PRD-065,2025-11-27,2025-12-31,2025-12-31,4737,1097.26,1.0,low,completed,ERP,2025-11-27 21:17:00
SO-000012,SOL-000012-01,CUST-0066,PRD-052,2025-09-01,2025-09-30,2025-09-30,6341,693.73,5.0,normal,open,ERP,2025-09-03 05:18:00
SO-000013,SOL-000013-01,CUST-0014,PRD-030,2025-10-12,2025-10-27,2025-10-27,2097,570.85,1.0,high,completed,ERP,2025-10-12 04:00:00
SO-000014,SOL-000014-01,CUST-0045,PRD-052,2026-01-10,2026-02-06,2026-02-09,2350,710.99,0.0,normal,completed,ERP,2026-01-10 03:12:00
SO-000015,SOL-000015-01,CUST-0044,PRD-059,2026-05-19,2026-06-11,2026-06-11,2777,280.23,5.0,normal,open,ERP,2026-05-19 02:11:00
SO-000016,SOL-000016-01,CUST-0109,PRD-003,2025-10-19,2025-10-30,2025-11-02,3570,462.85,8.0,high,cancelled,ERP,2025-10-21 14:38:00
SO-000017,SOL-000017-01,CUST-0002,PRD-072,2025-08-20,2025-09-17,2025-09-17,3735,642.62,5.0,low,completed,ERP,2025-08-20 16:24:00
SO-000018,SOL-000018-01,CUST-0120,PRD-075,2026-05-11,2026-05-19,2026-05-22,991,637.72,10.0,normal,completed,ERP,2026-05-12 16:57:00
SO-000019,SOL-000019-01,CUST-0082,PRD-079,2026-03-17,2026-03-26,2026-03-26,1742,336.33,2.0,low,completed,ERP,2026-03-18 03:51:00
SO-000020,SOL-000020-01,CUST-0089,PRD-064,2026-04-24,2026-05-17,2026-05-15,15392,120.28,0.0,high,completed,ERP,2026-04-25 10:58:00
SO-000021,SOL-000021-01,CUST-0026,PRD-005,2025-10-23,2025-11-09,2025-11-12,2849,214.13,5.0,high,completed,ERP,2025-10-24 22:52:00
SO-000022,SOL-000022-01,CUST-0047,PRD-011,2026-02-11,2026-03-14,2026-03-12,1816,445.5,8.0,high,completed,ERP,2026-02-11 07:33:00
SO-000023,SOL-000023-01,CUST-0108,PRD-042,2026-04-02,2026-04-26,2026-04-24,3470,40.62,1.0,high,open,ERP,2026-04-03 18:25:00
SO-000024,SOL-000024-01,CUST-0025,PRD-026,2026-04-30,2026-05-23,2026-05-23,2181,338.34,2.5,normal,open,ERP,2026-04-30 14:52:00
SO-000025,SOL-000025-01,CUST-0077,PRD-059,2025-10-05,2025-10-12,2025-10-12,1608,297.88,0.0,high,open,ERP,2025-10-06 19:25:00
SO-000026,SOL-000026-01,CUST-0114,PRD-080,2025-09-09,2025-10-12,2025-10-13,3155,688.41,0.0,normal,completed,ERP,2025-09-10 00:59:00
SO-000027,SOL-000027-01,CUST-0037,PRD-001,2025-11-23,2025-12-25,2025-12-24,7044,361.74,1.5,low,completed,ERP,2025-11-24 13:00:00
SO-000028,SOL-000028-01,CUST-0074,PRD-003,2026-03-15,2026-04-19,2026-04-20,6105,488.24,8.0,high,open,ERP,2026-03-15 21:25:00
SO-000029,SOL-000029-01,CUST-0096,PRD-041,2025-09-10,2025-10-15,2025-10-14,1100,884.58,5.0,high,completed,ERP,2025-09-11 14:33:00
SO-000030,SOL-000030-01,CUST-0054,PRD-014,2025-12-06,2026-01-06,2026-01-07,7117,649.35,3.0,high,cancelled,ERP,2025-12-06 09:57:00
SO-000031,SOL-000031-01,CUST-0053,PRD-047,2026-03-12,2026-03-23,2026-03-23,4737,1053.22,1.0,normal,completed,ERP,2026-03-14 19:19:00
