image_id,relative_path,defect_class,severity_level,product_id,run_id,split,image_note
IMG-00001,01_raw/images/defect_images/normal/IMG-00001.png,normal,0,PRD-074,RUN-006674,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00002,01_raw/images/defect_images/normal/IMG-00002.png,normal,0,PRD-036,RUN-004179,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00003,01_raw/images/defect_images/normal/IMG-00003.png,normal,0,PRD-040,RUN-010939,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00004,01_raw/images/defect_images/normal/IMG-00004.png,normal,0,PRD-069,RUN-002448,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00005,01_raw/images/defect_images/normal/IMG-00005.png,normal,0,PRD-067,RUN-007529,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00006,01_raw/images/defect_images/normal/IMG-00006.png,normal,0,PRD-080,RUN-001273,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00007,01_raw/images/defect_images/normal/IMG-00007.png,normal,0,PRD-061,RUN-009946,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00008,01_raw/images/defect_images/normal/IMG-00008.png,normal,0,PRD-038,RUN-005766,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00009,01_raw/images/defect_images/normal/IMG-00009.png,normal,0,PRD-044,RUN-009406,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00010,01_raw/images/defect_images/normal/IMG-00010.png,normal,0,PRD-002,RUN-002725,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00011,01_raw/images/defect_images/normal/IMG-00011.png,normal,0,PRD-078,RUN-002254,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00012,01_raw/images/defect_images/normal/IMG-00012.png,normal,0,PRD-064,RUN-006723,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00013,01_raw/images/defect_images/normal/IMG-00013.png,normal,0,PRD-014,RUN-003529,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00014,01_raw/images/defect_images/normal/IMG-00014.png,normal,0,PRD-041,RUN-010483,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00015,01_raw/images/defect_images/normal/IMG-00015.png,normal,0,PRD-013,RUN-004681,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00016,01_raw/images/defect_images/normal/IMG-00016.png,normal,0,PRD-054,RUN-007624,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00017,01_raw/images/defect_images/normal/IMG-00017.png,normal,0,PRD-010,RUN-006326,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00018,01_raw/images/defect_images/normal/IMG-00018.png,normal,0,PRD-055,RUN-006376,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00019,01_raw/images/defect_images/normal/IMG-00019.png,normal,0,PRD-025,RUN-011198,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00020,01_raw/images/defect_images/normal/IMG-00020.png,normal,0,PRD-069,RUN-009910,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00021,01_raw/images/defect_images/normal/IMG-00021.png,normal,0,PRD-018,RUN-003574,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00022,01_raw/images/defect_images/normal/IMG-00022.png,normal,0,PRD-020,RUN-009593,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00023,01_raw/images/defect_images/normal/IMG-00023.png,normal,0,PRD-006,RUN-006365,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00024,01_raw/images/defect_images/normal/IMG-00024.png,normal,0,PRD-055,RUN-007093,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00025,01_raw/images/defect_images/normal/IMG-00025.png,normal,0,PRD-001,RUN-004559,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00026,01_raw/images/defect_images/normal/IMG-00026.png,normal,0,PRD-002,RUN-008355,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00027,01_raw/images/defect_images/normal/IMG-00027.png,normal,0,PRD-041,RUN-003822,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
IMG-00028,01_raw/images/defect_images/normal/IMG-00028.png,normal,0,PRD-004,RUN-008297,train,synthetic grayscale surface image generated for CNN/transfer-learning lab
