shipment_id,sales_order_id,order_line_id,customer_id,product_id,ship_date,promised_delivery_date,shipped_quantity,carrier,distance_km,late_delivery_flag,delay_days,root_cause,source_system
SHP-000001,SO-000001,SOL-000001-01,CUST-0071,PRD-075,2026-04-15,2026-04-10,3972,DHL,8136,1,5,production_delay,TMS
SHP-000002,SO-000002,SOL-000002-01,CUST-0025,PRD-040,2026-06-12,2026-06-09,9897,LocalTruck,7302,1,3,production_delay,TMS
SHP-000003,SO-000003,SOL-000003-01,CUST-0001,PRD-033,2026-06-28,2026-06-30,1060,LocalTruck,1603,0,0,on_time,TMS
SHP-000004,SO-000004,SOL-000004-01,CUST-0048,PRD-062,2025-10-11,2025-10-08,5267,FedEx,8745,1,3,production_delay,TMS
SHP-000005,SO-000005,SOL-000005-01,CUST-0090,PRD-069,2025-08-25,2025-08-21,2075,FedEx,3430,1,4,production_delay,TMS
SHP-000006,SO-000006,SOL-000006-01,CUST-0066,PRD-027,2026-04-24,2026-04-23,9358,LocalTruck,5114,1,1,logistics,TMS
SHP-000007,SO-000007,SOL-000007-01,CUST-0035,PRD-051,2026-07-15,2026-07-09,2186,FedEx,427,1,6,quality_hold,TMS
SHP-000008,SO-000008,SOL-000008-01,CUST-0102,PRD-013,2025-08-31,2025-08-26,14038,FedEx,4020,1,5,logistics,TMS
SHP-000009,SO-000009,SOL-000009-01,CUST-0001,PRD-018,2025-10-14,2025-10-12,1317,LocalTruck,6704,1,2,production_delay,TMS
SHP-000010,SO-000010,SOL-000010-01,CUST-0100,PRD-043,2025-11-29,2025-11-23,1620,DHL,3020,1,6,logistics,TMS
SHP-000011,SO-000011,SOL-000011-01,CUST-0057,PRD-065,2026-01-03,2025-12-31,4525,OceanForwarder,8365,1,3,production_delay,TMS
SHP-000012,SO-000012,SOL-000012-01,CUST-0066,PRD-052,2025-10-01,2025-09-30,6074,LocalTruck,1329,1,1,quality_hold,TMS
SHP-000013,SO-000013,SOL-000013-01,CUST-0014,PRD-030,2025-10-27,2025-10-27,2025,OceanForwarder,8498,0,0,on_time,TMS
SHP-000014,SO-000014,SOL-000014-01,CUST-0045,PRD-052,2026-02-15,2026-02-09,2290,OceanForwarder,1921,1,6,production_delay,TMS
SHP-000015,SO-000015,SOL-000015-01,CUST-0044,PRD-059,2026-06-12,2026-06-11,2587,DHL,4855,1,1,material_shortage,TMS
SHP-000017,SO-000017,SOL-000017-01,CUST-0002,PRD-072,2025-09-18,2025-09-17,3665,FedEx,8283,1,1,production_delay,TMS
SHP-000018,SO-000018,SOL-000018-01,CUST-0120,PRD-075,2026-05-27,2026-05-22,944,LocalTruck,4113,1,5,logistics,TMS
