run_id,work_order_id,machine_id,batch_id,run_start_datetime,run_end_datetime,input_quantity,output_quantity,scrap_quantity,rework_quantity,setup_minutes,runtime_minutes,idle_minutes,speed_actual_ppm,speed_standard_ppm,operator_id,material_lot_id,run_status,source_system
RUN-000001,WO-000001,MCH-004,BATCH-000000,2025-08-01 15:11:00,2025-08-01 18:37:29,7551,6904,144,51,25.82,206.48,0.0,1.296,1.498,OP-0063,LOT-SUP-010-20250801-12,completed,MES
RUN-000002,WO-000001,MCH-002,BATCH-000001,2025-08-01 18:44:29,2025-08-01 22:14:58,7165,6769,180,92,26.92,210.48,0.0,1.82,1.498,OP-0042,LOT-SUP-010-20250801-18,completed,MES
RUN-000003,WO-000002,MCH-004,BATCH-000001,2025-08-01 21:50:00,2025-08-02 01:45:22,5889,5787,187,64,21.13,235.37,11.06,1.307,1.293,OP-0009,LOT-SUP-005-20250801-10,completed,MES
RUN-000004,WO-000002,MCH-001,BATCH-000002,2025-08-02 01:52:22,2025-08-02 05:52:44,4990,4551,170,66,19.31,240.37,11.06,1.448,1.293,OP-0010,LOT-SUP-005-20250801-14,completed,MES
RUN-000005,WO-000003,MCH-006,BATCH-000002,2025-08-01 03:38:00,2025-08-01 07:24:34,8475,7813,425,73,20.83,226.57,6.96,1.238,1.498,OP-0064,LOT-SUP-010-20250801-17,completed,MES
RUN-000006,WO-000003,MCH-001,BATCH-000003,2025-08-01 07:38:34,2025-08-01 11:28:08,7965,7304,254,49,17.9,229.57,6.96,1.413,1.498,OP-0066,LOT-SUP-010-20250801-17,completed,MES
RUN-000007,WO-000004,MCH-007,BATCH-000003,2025-08-01 09:45:00,2025-08-01 13:07:10,12864,12196,387,136,19.16,202.18,10.98,0.926,0.997,OP-0043,LOT-SUP-003-20250801-14,completed,MES
RUN-000008,WO-000004,MCH-012,BATCH-000004,2025-08-01 13:18:10,2025-08-01 16:42:21,13203,12972,598,195,18.39,204.18,10.98,1.165,0.997,OP-0046,LOT-SUP-003-20250801-01,completed,MES
RUN-000009,WO-000005,MCH-012,BATCH-000004,2025-08-01 16:12:00,2025-08-01 19:51:02,10955,10304,484,131,31.94,219.05,8.37,2.711,2.771,OP-0070,LOT-SUP-002-20250801-02,completed,MES
RUN-000010,WO-000005,MCH-008,BATCH-000005,2025-08-01 20:07:02,2025-08-02 00:00:05,10558,10361,349,166,31.3,233.05,8.37,3.179,2.771,OP-0022,LOT-SUP-002-20250801-10,completed,MES
RUN-000011,WO-000006,MCH-011,BATCH-000005,2025-08-01 03:48:00,2025-08-01 07:39:52,12470,12195,355,82,26.41,231.87,11.07,1.098,0.997,OP-0030,LOT-SUP-003-20250801-08,completed,MES
RUN-000012,WO-000006,MCH-009,BATCH-000006,2025-08-01 07:43:52,2025-08-01 11:39:44,11658,10887,406,170,23.88,235.87,11.07,0.903,0.997,OP-0005,LOT-SUP-003-20250801-05,completed,MES
RUN-000013,WO-000007,MCH-018,BATCH-000006,2025-08-01 08:51:00,2025-08-01 12:14:40,8364,7586,199,39,30.93,203.68,2.09,1.515,1.293,OP-0060,LOT-SUP-005-20250801-14,completed,MES
RUN-000014,WO-000007,MCH-017,BATCH-000007,2025-08-01 12:13:40,2025-08-01 15:28:21,7487,7167,282,65,33.62,194.68,2.09,1.362,1.293,OP-0032,LOT-SUP-005-20250801-01,completed,MES
RUN-000015,WO-000008,MCH-018,BATCH-000007,2025-08-01 17:41:00,2025-08-01 20:52:45,5748,5576,196,72,27.93,191.76,16.05,1.487,1.293,OP-0068,LOT-SUP-005-20250801-13,completed,MES
RUN-000016,WO-000008,MCH-015,BATCH-000008,2025-08-01 21:06:45,2025-08-02 00:20:31,4851,4387,152,82,29.44,193.76,16.05,1.097,1.293,OP-0023,LOT-SUP-005-20250801-11,completed,MES
RUN-000017,WO-000009,MCH-015,BATCH-000008,2025-08-01 05:01:00,2025-08-01 08:36:07,5841,5387,213,94,23.3,215.13,0.01,1.13,1.293,OP-0047,LOT-SUP-005-20250801-03,completed,MES
RUN-000018,WO-000009,MCH-018,BATCH-000009,2025-08-01 08:34:07,2025-08-01 12:01:15,5360,5188,200,58,23.86,207.13,0.01,1.143,1.293,OP-0019,LOT-SUP-005-20250801-17,completed,MES
RUN-000019,WO-000010,MCH-019,BATCH-000009,2025-08-01 14:00:00,2025-08-01 17:34:53,5684,5463,279,49,34.89,214.89,5.41,1.099,1.305,OP-0070,LOT-SUP-006-20250801-05,completed,MES
RUN-000020,WO-000010,MCH-023,BATCH-000010,2025-08-01 17:43:53,2025-08-01 21:15:46,5392,5086,234,113,35.99,211.89,5.41,1.47,1.305,OP-0067,LOT-SUP-006-20250801-18,completed,MES
RUN-000021,WO-000011,MCH-021,BATCH-000010,2025-08-01 18:45:00,2025-08-01 22:40:55,5867,5787,248,94,18.6,235.93,5.13,1.376,1.305,,LOT-SUP-006-20250801-04,completed,MES
RUN-000022,WO-000011,MCH-022,BATCH-000011,2025-08-01 22:43:55,2025-08-02 02:36:51,5263,5197,247,119,19.22,232.93,5.13,1.181,1.305,OP-0035,LOT-SUP-006-20250801-06,completed,MES
RUN-000023,WO-000012,MCH-023,BATCH-000011,2025-08-01 01:51:00,2025-08-01 05:20:18,5787,5743,361,197,25.11,209.3,13.33,1.365,1.305,OP-0069,LOT-SUP-006-20250801-02,completed,MES
RUN-000024,WO-000012,MCH-019,BATCH-000012,2025-08-01 05:35:18,2025-08-01 09:07:36,5838,5288,314,154,26.49,212.3,13.33,1.428,1.305,OP-0046,LOT-SUP-006-20250801-15,completed,MES
RUN-000025,WO-000013,MCH-027,BATCH-000012,2025-08-01 09:58:00,2025-08-01 13:24:54,6099,5680,175,34,17.0,206.91,12.15,1.098,1.015,OP-0006,LOT-SUP-010-20250801-01,completed,MES
