shift_record_id,production_date,plant_id,line_id,shift_id,planned_output,good_output,scrap_quantity,rework_quantity,runtime_minutes,downtime_minutes,labor_hours,energy_kwh,oee_estimate,supervisor_id,source_system
SHIFT-20250801-L01-A_Day,2025-08-01,P01,L01,A_Day,14225,14083,324,154,465,0,38.9,1782.4,0.99,SUPV-007,MES_SHIFT
SHIFT-20250801-L01-B_Evening,2025-08-01,P01,L01,B_Evening,12226,10634,374,77,348.83,94.04,45.68,1107.46,0.6525,SUPV-015,MES_SHIFT
SHIFT-20250801-L01-C_Night,2025-08-01,P01,L01,C_Night,18523,15854,774,411,408.28,42.8,44.86,1863.33,0.7515,SUPV-014,MES_SHIFT
SHIFT-20250801-L02-A_Day,2025-08-01,P01,L02,A_Day,29308,24360,1148,444,387.43,55.61,44.89,3336.65,0.6925,SUPV-015,MES_SHIFT
SHIFT-20250801-L02-B_Evening,2025-08-01,P01,L02,B_Evening,24320,22393,421,201,393.47,54.78,43.92,1962.82,0.7791,SUPV-001,MES_SHIFT
SHIFT-20250801-L02-C_Night,2025-08-01,P01,L02,C_Night,25261,22904,526,206,365.98,76.89,43.38,3257.57,0.7136,SUPV-002,MES_SHIFT
SHIFT-20250801-L03-A_Day,2025-08-01,P02,L03,A_Day,17193,14884,727,294,386.77,74.05,45.57,1503.65,0.7201,SUPV-005,MES_SHIFT
SHIFT-20250801-L03-B_Evening,2025-08-01,P02,L03,B_Evening,12356,10343,397,168,371.66,61.23,42.77,1077.06,0.6691,SUPV-004,MES_SHIFT
SHIFT-20250801-L03-C_Night,2025-08-01,P02,L03,C_Night,13222,11140,454,247,438.88,26.09,46.5,1039.99,0.7952,SUPV-011,MES_SHIFT
SHIFT-20250801-L04-A_Day,2025-08-01,P02,L04,A_Day,11409,9919,451,220,349.31,104.87,47.84,1790.24,0.6531,SUPV-011,MES_SHIFT
SHIFT-20250801-L04-B_Evening,2025-08-01,P02,L04,B_Evening,12013,10517,426,192,375.46,79.28,38.72,1581.02,0.7069,SUPV-002,MES_SHIFT
SHIFT-20250801-L04-C_Night,2025-08-01,P02,L04,C_Night,12227,10670,655,263,357.55,80.8,38.16,1787.99,0.671,SUPV-013,MES_SHIFT
SHIFT-20250801-L05-A_Day,2025-08-01,P03,L05,A_Day,11828,11575,477,130,381.55,59.14,41.4,1511.95,0.803,SUPV-011,MES_SHIFT
SHIFT-20250801-L05-B_Evening,2025-08-01,P03,L05,B_Evening,14129,12307,418,146,419.46,34.58,38.55,1672.98,0.7857,SUPV-017,MES_SHIFT
SHIFT-20250801-L05-C_Night,2025-08-01,P03,L05,C_Night,16594,15545,927,389,409.77,50.24,39.4,2346.07,0.8255,SUPV-006,MES_SHIFT
SHIFT-20250801-L06-A_Day,2025-08-01,P03,L06,A_Day,31460,29079,1539,327,435.62,22.27,46.52,3406.66,0.8659,SUPV-005,MES_SHIFT
SHIFT-20250801-L06-B_Evening,2025-08-01,P03,L06,B_Evening,30242,25650,756,318,421.6,30.62,43.25,2767.76,0.769,SUPV-007,MES_SHIFT
SHIFT-20250801-L06-C_Night,2025-08-01,P03,L06,C_Night,25110,24368,491,264,404.76,39.76,46.41,2741.8,0.8447,SUPV-010,MES_SHIFT
SHIFT-20250802-L01-B_Evening,2025-08-02,P01,L01,B_Evening,14523,12659,455,226,444.8,20.2,44.93,1175.1,0.8338,SUPV-008,MES_SHIFT
SHIFT-20250802-L02-A_Day,2025-08-02,P01,L02,A_Day,20517,20552,417,191,378.16,72.19,39.83,3018.35,0.8146,SUPV-011,MES_SHIFT
SHIFT-20250802-L03-A_Day,2025-08-02,P02,L03,A_Day,12398,11407,463,106,410.68,48.19,42.22,1936.14,0.8126,SUPV-006,MES_SHIFT
SHIFT-20250802-L03-B_Evening,2025-08-02,P02,L03,B_Evening,10700,9749,427,150,373.63,62.87,47.45,1773.87,0.7321,SUPV-005,MES_SHIFT
SHIFT-20250802-L03-C_Night,2025-08-02,P02,L03,C_Night,9310,8389,266,131,381.74,68.0,46.22,1012.32,0.7397,SUPV-004,MES_SHIFT
SHIFT-20250802-L04-B_Evening,2025-08-02,P02,L04,B_Evening,7995,7787,194,77,374.43,70.94,41.67,1375.3,0.7843,SUPV-006,MES_SHIFT
SHIFT-20250802-L05-A_Day,2025-08-02,P03,L05,A_Day,9247,7842,349,149,450.47,4.58,38.09,1501.95,0.8216,SUPV-018,MES_SHIFT
SHIFT-20250802-L05-B_Evening,2025-08-02,P03,L05,B_Evening,9527,9438,464,114,416.51,33.47,39.24,912.43,0.8874,SUPV-016,MES_SHIFT
SHIFT-20250802-L06-A_Day,2025-08-02,P03,L06,A_Day,15783,15216,356,161,434.78,9.65,41.51,1657.72,0.9014,SUPV-002,MES_SHIFT
