event_id,machine_id,line_id,event_start,event_end,state_code,reason_code,operator_id,linked_work_order_id,source_system
EVT-00000001,MCH-004,L01,2025-08-01 15:11:00,2025-08-01 16:10:01,SETUP,TOOL_CHANGE,OP-0063,WO-000001,SCADA
EVT-00000002,MCH-004,L01,2025-08-01 16:10:01,2025-08-01 18:37:29,RUNNING,NORMAL,OP-0063,WO-000001,SCADA
EVT-00000003,MCH-002,L01,2025-08-01 15:11:00,2025-08-01 16:10:01,SETUP,TOOL_CHANGE,OP-0042,WO-000001,SCADA
EVT-00000004,MCH-002,L01,2025-08-01 16:10:01,2025-08-01 22:14:58,RUNNING,NORMAL,OP-0042,WO-000001,SCADA
EVT-00000005,MCH-004,L01,2025-08-01 21:50:00,2025-08-01 22:35:13,SETUP,TOOL_CHANGE,OP-0009,WO-000002,SCADA
EVT-00000006,MCH-004,L01,2025-08-01 22:35:13,2025-08-02 01:45:22,RUNNING,NORMAL,OP-0009,WO-000002,SCADA
EVT-00000007,MCH-004,L01,2025-08-02 00:54:00,2025-08-02 01:41:01,DOWN,,OP-0009,WO-000002,SCADA
EVT-00000008,MCH-004,L01,2025-08-02 01:45:22,2025-08-02 02:07:30,IDLE,NO_DEMAND,OP-0009,WO-000002,SCADA
EVT-00000009,MCH-001,L01,2025-08-01 21:50:00,2025-08-01 22:35:13,SETUP,TOOL_CHANGE,OP-0010,WO-000002,SCADA
EVT-00000010,MCH-001,L01,2025-08-01 22:35:13,2025-08-02 05:52:44,RUNNING,NORMAL,OP-0010,WO-000002,SCADA
EVT-00000011,MCH-001,L01,2025-08-01 23:51:00,2025-08-02 00:38:01,DOWN,UNKNOWN,OP-0010,WO-000002,SCADA
EVT-00000012,MCH-001,L01,2025-08-02 05:52:44,2025-08-02 06:14:52,IDLE,NO_DEMAND,OP-0010,WO-000002,SCADA
EVT-00000013,MCH-006,L01,2025-08-01 03:38:00,2025-08-01 04:16:03,SETUP,TOOL_CHANGE,OP-0064,WO-000003,SCADA
EVT-00000014,MCH-006,L01,2025-08-01 04:16:03,2025-08-01 07:24:34,RUNNING,NORMAL,OP-0064,WO-000003,SCADA
EVT-00000015,MCH-006,L01,2025-08-01 07:45:00,2025-08-01 08:06:24,DOWN,JAM,OP-0064,WO-000003,SCADA
EVT-00000016,MCH-006,L01,2025-08-01 07:24:34,2025-08-01 07:38:29,IDLE,NO_DEMAND,OP-0064,WO-000003,SCADA
EVT-00000017,MCH-001,L01,2025-08-01 03:38:00,2025-08-01 04:16:03,SETUP,TOOL_CHANGE,OP-0066,WO-000003,SCADA
EVT-00000018,MCH-001,L01,2025-08-01 04:16:03,2025-08-01 11:28:08,RUNNING,NORMAL,OP-0066,WO-000003,SCADA
EVT-00000019,MCH-001,L01,2025-08-01 05:53:00,2025-08-01 06:14:24,DOWN,MICRO_STOP,OP-0066,WO-000003,SCADA
EVT-00000020,MCH-001,L01,2025-08-01 11:28:08,2025-08-01 11:42:03,IDLE,NO_DEMAND,OP-0066,WO-000003,SCADA
EVT-00000021,MCH-007,L02,2025-08-01 09:45:00,2025-08-01 10:23:02,SETUP,TOOL_CHANGE,OP-0043,WO-000004,SCADA
EVT-00000022,MCH-007,L02,2025-08-01 10:23:02,2025-08-01 13:07:10,RUNNING,NORMAL,OP-0043,WO-000004,SCADA
EVT-00000023,MCH-007,L02,2025-08-01 12:19:00,2025-08-01 12:46:48,DOWN,JAM,OP-0043,WO-000004,SCADA
EVT-00000024,MCH-007,L02,2025-08-01 13:07:10,2025-08-01 13:29:08,IDLE,NO_DEMAND,OP-0043,WO-000004,SCADA
EVT-00000025,MCH-012,L02,2025-08-01 09:45:00,2025-08-01 10:23:02,SETUP,TOOL_CHANGE,OP-0046,WO-000004,SCADA
EVT-00000026,MCH-012,L02,2025-08-01 10:23:02,2025-08-01 16:42:21,RUNNING,NORMAL,OP-0046,WO-000004,SCADA
EVT-00000027,MCH-012,L02,2025-08-01 14:13:00,2025-08-01 14:40:48,DOWN,JAM,OP-0046,WO-000004,SCADA
EVT-00000028,MCH-012,L02,2025-08-01 16:42:21,2025-08-01 17:04:18,IDLE,NO_DEMAND,OP-0046,WO-000004,SCADA
EVT-00000029,MCH-012,L02,2025-08-01 16:12:00,2025-08-01 17:08:07,SETUP,TOOL_CHANGE,OP-0070,WO-000005,SCADA
EVT-00000030,MCH-012,L02,2025-08-01 17:08:07,2025-08-01 19:51:02,RUNNING,NORMAL,OP-0070,WO-000005,SCADA
EVT-00000031,MCH-012,L02,2025-08-01 20:34:00,2025-08-01 21:01:23,DOWN,MICRO_STOP,OP-0070,WO-000005,SCADA
