customer_id,customer_name,region,country,customer_segment,priority_level,credit_risk_score,created_date
CUST-0001,Customer 0001 Manufacturing Ltd.,North America,USA,key_account,high,18.4,2018-03-30
CUST-0002,Customer 0002 Manufacturing Ltd.,Europe,Japan,standard,low,52.9,2021-02-25
CUST-0003,Customer 0003 Manufacturing Ltd.,North America,Thailand,standard,low,63.2,2024-09-29
CUST-0004,Customer 0004 Manufacturing Ltd.,Thailand,Malaysia,standard,low,54.2,2022-08-27
CUST-0005,Customer 0005 Manufacturing Ltd.,Thailand,Japan,key_account,high,26.4,2022-12-16
CUST-0006,Customer 0006 Manufacturing Ltd.,North America,USA,key_account,high,5,2018-10-11
CUST-0007,Customer 0007 Manufacturing Ltd.,Thailand,Singapore,key_account,high,55.4,2022-03-10
CUST-0008,Customer 0008 Manufacturing Ltd.,North America,Germany,standard,normal,45.6,2021-11-09
CUST-0009,Customer 0009 Manufacturing Ltd.,ASEAN,Germany,standard,normal,49.2,2025-02-28
CUST-0010,Customer 0010 Manufacturing Ltd.,North America,Japan,standard,normal,42.7,2018-11-25
CUST-0011,Customer 0011 Manufacturing Ltd.,Thailand,Singapore,standard,normal,27.2,2018-02-11
CUST-0012,Customer 0012 Manufacturing Ltd.,East Asia,Japan,standard,normal,10.3,2018-02-03
CUST-0013,Customer 0013 Manufacturing Ltd.,Thailand,Vietnam,spot_market,low,44.6,2020-02-08
CUST-0014,Customer 0014 Manufacturing Ltd.,ASEAN,USA,key_account,high,41.9,2019-11-25
CUST-0015,Customer 0015 Manufacturing Ltd.,Europe,Vietnam,standard,normal,53.2,2023-12-28
CUST-0016,Customer 0016 Manufacturing Ltd.,Europe,Singapore,standard,low,75.6,2023-11-20
CUST-0017,Customer 0017 Manufacturing Ltd.,ASEAN,USA,spot_market,low,38.4,2020-06-23
CUST-0018,Customer 0018 Manufacturing Ltd.,Thailand,Germany,spot_market,normal,43.5,2019-09-10
CUST-0019,Customer 0019 Manufacturing Ltd.,North America,Malaysia,standard,normal,29.4,2020-11-08
CUST-0020,Customer 0020 Manufacturing Ltd.,East Asia,Germany,standard,normal,32.8,2024-06-01
CUST-0021,Customer 0021 Manufacturing Ltd.,ASEAN,Germany,standard,normal,37.5,2020-05-22
CUST-0022,Customer 0022 Manufacturing Ltd.,East Asia,Singapore,standard,normal,48.4,2021-01-03
CUST-0023,Customer 0023 Manufacturing Ltd.,Thailand,Vietnam,standard,low,59.0,2024-08-15
CUST-0024,Customer 0024 Manufacturing Ltd.,East Asia,Vietnam,standard,normal,32.0,2022-08-30
CUST-0025,Customer 0025 Manufacturing Ltd.,Thailand,USA,spot_market,normal,9.1,2019-07-27
CUST-0026,Customer 0026 Manufacturing Ltd.,Thailand,Thailand,key_account,high,66.3,2017-05-16
