date,year,month,month_name,week_of_year,day_of_week,is_weekend,is_holiday,fiscal_year
2025-08-01,2025,8,Aug,30,Friday,0,0,2025
2025-08-02,2025,8,Aug,30,Saturday,1,0,2025
2025-08-03,2025,8,Aug,31,Sunday,1,0,2025
2025-08-04,2025,8,Aug,31,Monday,0,0,2025
2025-08-05,2025,8,Aug,31,Tuesday,0,0,2025
2025-08-06,2025,8,Aug,31,Wednesday,0,0,2025
2025-08-07,2025,8,Aug,31,Thursday,0,0,2025
2025-08-08,2025,8,Aug,31,Friday,0,0,2025
2025-08-09,2025,8,Aug,31,Saturday,1,0,2025
2025-08-10,2025,8,Aug,32,Sunday,1,0,2025
2025-08-11,2025,8,Aug,32,Monday,0,0,2025
2025-08-12,2025,8,Aug,32,Tuesday,0,0,2025
2025-08-13,2025,8,Aug,32,Wednesday,0,0,2025
2025-08-14,2025,8,Aug,32,Thursday,0,0,2025
2025-08-15,2025,8,Aug,32,Friday,0,0,2025
2025-08-16,2025,8,Aug,32,Saturday,1,0,2025
2025-08-17,2025,8,Aug,33,Sunday,1,0,2025
2025-08-18,2025,8,Aug,33,Monday,0,1,2025
2025-08-19,2025,8,Aug,33,Tuesday,0,0,2025
2025-08-20,2025,8,Aug,33,Wednesday,0,0,2025
2025-08-21,2025,8,Aug,33,Thursday,0,0,2025
2025-08-22,2025,8,Aug,33,Friday,0,0,2025
2025-08-23,2025,8,Aug,33,Saturday,1,0,2025
2025-08-24,2025,8,Aug,34,Sunday,1,0,2025
2025-08-25,2025,8,Aug,34,Monday,0,1,2025
2025-08-26,2025,8,Aug,34,Tuesday,0,0,2025
2025-08-27,2025,8,Aug,34,Wednesday,0,0,2025
2025-08-28,2025,8,Aug,34,Thursday,0,0,2025
2025-08-29,2025,8,Aug,34,Friday,0,0,2025
2025-08-30,2025,8,Aug,34,Saturday,1,0,2025
2025-08-31,2025,8,Aug,35,Sunday,1,0,2025
2025-09-01,2025,9,Sep,35,Monday,0,0,2025
2025-09-02,2025,9,Sep,35,Tuesday,0,0,2025
2025-09-03,2025,9,Sep,35,Wednesday,0,0,2025
2025-09-04,2025,9,Sep,35,Thursday,0,0,2025
2025-09-05,2025,9,Sep,35,Friday,0,0,2025
2025-09-06,2025,9,Sep,35,Saturday,1,0,2025
2025-09-07,2025,9,Sep,36,Sunday,1,0,2025
2025-09-08,2025,9,Sep,36,Monday,0,0,2025
2025-09-09,2025,9,Sep,36,Tuesday,0,0,2025
2025-09-10,2025,9,Sep,36,Wednesday,0,0,2025
2025-09-11,2025,9,Sep,36,Thursday,0,0,2025
2025-09-12,2025,9,Sep,36,Friday,0,0,2025
2025-09-13,2025,9,Sep,36,Saturday,1,0,2025
2025-09-14,2025,9,Sep,37,Sunday,1,0,2025
2025-09-15,2025,9,Sep,37,Monday,0,0,2025
2025-09-16,2025,9,Sep,37,Tuesday,0,0,2025
2025-09-17,2025,9,Sep,37,Wednesday,0,0,2025
2025-09-18,2025,9,Sep,37,Thursday,0,0,2025
2025-09-19,2025,9,Sep,37,Friday,0,0,2025
2025-09-20,2025,9,Sep,37,Saturday,1,0,2025
2025-09-21,2025,9,Sep,38,Sunday,1,0,2025
2025-09-22,2025,9,Sep,38,Monday,0,0,2025
2025-09-23,2025,9,Sep,38,Tuesday,0,0,2025
2025-09-24,2025,9,Sep,38,Wednesday,0,0,2025
2025-09-25,2025,9,Sep,38,Thursday,0,0,2025
2025-09-26,2025,9,Sep,38,Friday,0,0,2025
2025-09-27,2025,9,Sep,38,Saturday,1,0,2025
2025-09-28,2025,9,Sep,39,Sunday,1,0,2025
2025-09-29,2025,9,Sep,39,Monday,0,0,2025
2025-09-30,2025,9,Sep,39,Tuesday,0,0,2025
2025-10-01,2025,10,Oct,39,Wednesday,0,0,2026
2025-10-02,2025,10,Oct,39,Thursday,0,0,2026
2025-10-03,2025,10,Oct,39,Friday,0,0,2026
2025-10-04,2025,10,Oct,39,Saturday,1,0,2026
2025-10-05,2025,10,Oct,40,Sunday,1,0,2026
2025-10-06,2025,10,Oct,40,Monday,0,0,2026
2025-10-07,2025,10,Oct,40,Tuesday,0,0,2026
2025-10-08,2025,10,Oct,40,Wednesday,0,0,2026
2025-10-09,2025,10,Oct,40,Thursday,0,0,2026
2025-10-10,2025,10,Oct,40,Friday,0,0,2026
2025-10-11,2025,10,Oct,40,Saturday,1,0,2026
2025-10-12,2025,10,Oct,41,Sunday,1,0,2026
2025-10-13,2025,10,Oct,41,Monday,0,0,2026
2025-10-14,2025,10,Oct,41,Tuesday,0,0,2026
2025-10-15,2025,10,Oct,41,Wednesday,0,0,2026
2025-10-16,2025,10,Oct,41,Thursday,0,0,2026
2025-10-17,2025,10,Oct,41,Friday,0,0,2026
2025-10-18,2025,10,Oct,41,Saturday,1,0,2026
2025-10-19,2025,10,Oct,42,Sunday,1,0,2026
2025-10-20,2025,10,Oct,42,Monday,0,0,2026
