run_id,work_order_id,plant_id,line_id,machine_id,product_id,feature_date,setup_minutes,speed_ratio,operator_experience_years,operator_fairness_group,product_complexity_score,supplier_quality_score,avg_temperature_24h,max_vibration_24h,line_utilization_rate,previous_defect_rate_7d,defect_rate,high_defect_risk,dominant_defect_code,split
RUN-000001,WO-000001,P01,L01,MCH-004,PRD-028,2025-08-01,25.82,0.8652,0.2,G3_junior,6.4,97.0,51.521,2.875,0.672,0.0392,0.048,0,DIMENSION,train
RUN-000002,WO-000001,P01,L01,MCH-002,PRD-028,2025-08-01,26.92,1.215,1.4,G3_junior,6.4,97.0,53.833,3.237,0.988,0.0056,0.03,0,DIMENSION,train
RUN-000003,WO-000002,P01,L01,MCH-004,PRD-023,2025-08-01,21.13,1.0108,0.2,G3_junior,5.0,85.8,51.521,2.875,0.861,0,0.04,1,SURFACE_DENT,train
RUN-000004,WO-000002,P01,L01,MCH-001,PRD-023,2025-08-01,19.31,1.1199,0.4,G3_junior,5.0,85.8,54.598,3.156,0.996,0.014,0.06,1,CONTAMINATION,train
RUN-000005,WO-000003,P01,L01,MCH-006,PRD-028,2025-08-01,20.83,0.8264,11.5,G1_senior,6.4,97.0,52.977,3.387,1.067,0,0.024,0,CONTAMINATION,train
RUN-000006,WO-000003,P01,L01,MCH-001,PRD-028,2025-08-01,17.9,0.9433,4.6,G2_mid,6.4,97.0,54.598,3.156,0.701,0.0118,0.024,1,SOLDER_VOID,train
RUN-000007,WO-000004,P01,L02,MCH-007,PRD-071,2025-08-01,19.16,0.9288,2.8,G3_junior,6.2,84.7,52.663,3.281,1.005,0.0361,0.07,1,MISSING_PART,train
RUN-000008,WO-000004,P01,L02,MCH-012,PRD-071,2025-08-01,18.39,1.1685,0.7,G3_junior,6.2,84.7,55.839,3.667,0.755,0.0736,0.07,1,SURFACE_DENT,train
RUN-000009,WO-000005,P01,L02,MCH-012,PRD-064,2025-08-01,31.94,0.9783,11.2,G1_senior,4.9,89.9,55.839,3.667,1.023,0,0.04,0,SCRATCH,train
RUN-000010,WO-000005,P01,L02,MCH-008,PRD-064,2025-08-01,31.3,1.1472,6.5,G2_mid,4.9,89.9,50.523,3.061,1.095,0.032,0.02,1,SOLDER_VOID,train
RUN-000011,WO-000006,P01,L02,MCH-011,PRD-071,2025-08-01,26.41,1.1013,4.7,G2_mid,6.2,84.7,50.121,2.846,0.706,0.0366,0.03,0,NONE,train
