node_id,node_type,plant_id,line_id,feature_value
MCH-001,machine,P01,L01,7.2
MCH-002,machine,P01,L01,6.6
MCH-003,machine,P01,L01,7.1
MCH-004,machine,P01,L01,4.3
MCH-005,machine,P01,L01,2.2
MCH-006,machine,P01,L01,4.6
MCH-007,machine,P01,L02,8.9
MCH-008,machine,P01,L02,1.4
MCH-009,machine,P01,L02,6.6
MCH-010,machine,P01,L02,5.8
MCH-011,machine,P01,L02,4.1
MCH-012,machine,P01,L02,10.0
MCH-013,machine,P02,L03,5.4
MCH-014,machine,P02,L03,7.6
MCH-015,machine,P02,L03,3.7
MCH-016,machine,P02,L03,6.5
MCH-017,machine,P02,L03,6.6
MCH-018,machine,P02,L03,6.1
MCH-019,machine,P02,L04,5.9
MCH-020,machine,P02,L04,3.5
MCH-021,machine,P02,L04,3.4
MCH-022,machine,P02,L04,4.7
MCH-023,machine,P02,L04,2.7
MCH-024,machine,P02,L04,2.5
MCH-025,machine,P03,L05,7.8
MCH-026,machine,P03,L05,8.5
MCH-027,machine,P03,L05,4.0
MCH-028,machine,P03,L05,8.3
MCH-029,machine,P03,L05,4.9
MCH-030,machine,P03,L05,6.6
MCH-031,machine,P03,L06,9.9
MCH-032,machine,P03,L06,6.2
MCH-033,machine,P03,L06,8.2
MCH-034,machine,P03,L06,1.6
MCH-035,machine,P03,L06,5.8
MCH-036,machine,P03,L06,7.5
PRD-001,product,,,8.2
PRD-002,product,,,5.3
PRD-003,product,,,4.8
PRD-004,product,,,3.9
PRD-005,product,,,5.2
PRD-006,product,,,7.3
PRD-007,product,,,3.9
PRD-008,product,,,3.4
PRD-009,product,,,5.0
PRD-010,product,,,6.9
PRD-011,product,,,1.4
PRD-012,product,,,2.1
PRD-013,product,,,4.9
PRD-014,product,,,5.0
PRD-015,product,,,8.8
PRD-016,product,,,4.3
PRD-017,product,,,4.3
PRD-018,product,,,3.6
PRD-019,product,,,7.2
PRD-020,product,,,7.8
PRD-021,product,,,3.0
PRD-022,product,,,4.3
PRD-023,product,,,5.0
PRD-024,product,,,7.6
PRD-025,product,,,3.5
PRD-026,product,,,4.8
PRD-027,product,,,7.1
PRD-028,product,,,6.4
PRD-029,product,,,6.6
PRD-030,product,,,3.6
PRD-031,product,,,7.0
PRD-032,product,,,6.2
PRD-033,product,,,4.7
PRD-034,product,,,2.6
PRD-035,product,,,4.3
PRD-036,product,,,4.1
PRD-037,product,,,4.2
PRD-038,product,,,3.2
PRD-039,product,,,5.6
PRD-040,product,,,8.4
PRD-041,product,,,6.3
PRD-042,product,,,1.4
PRD-043,product,,,4.2
PRD-044,product,,,4.1
PRD-045,product,,,2.5
PRD-046,product,,,4.6
PRD-047,product,,,6.4
PRD-048,product,,,4.6
PRD-049,product,,,10
PRD-050,product,,,5.5
PRD-051,product,,,6.9
PRD-052,product,,,7.2
PRD-053,product,,,5.6
PRD-054,product,,,6.3
PRD-055,product,,,4.8
PRD-056,product,,,4.3
PRD-057,product,,,5.6
PRD-058,product,,,8.8
PRD-059,product,,,5.9
PRD-060,product,,,6.7
PRD-061,product,,,4.8
PRD-062,product,,,6.8
PRD-063,product,,,5.7
PRD-064,product,,,4.9
PRD-065,product,,,7.8
PRD-066,product,,,7.6
PRD-067,product,,,4.5
PRD-068,product,,,2.3
PRD-069,product,,,10
PRD-070,product,,,3.9
PRD-071,product,,,6.2
PRD-072,product,,,4.1
PRD-073,product,,,3.4
PRD-074,product,,,6.4
PRD-075,product,,,6.8
PRD-076,product,,,9.2
PRD-077,product,,,1.7
PRD-078,product,,,4.6
PRD-079,product,,,3.3
PRD-080,product,,,5.2
SUP-001,supplier,,,71.0
SUP-002,supplier,,,89.9
SUP-003,supplier,,,84.7
SUP-004,supplier,,,88.6
SUP-005,supplier,,,85.8
SUP-006,supplier,,,82.7
SUP-007,supplier,,,87.4
SUP-008,supplier,,,88.0
SUP-009,supplier,,,96.1
SUP-010,supplier,,,97.0
SUP-011,supplier,,,96.3
SUP-012,supplier,,,92.1
SUP-013,supplier,,,71.4
SUP-014,supplier,,,87.0
SUP-015,supplier,,,95.9
SUP-016,supplier,,,84.5
SUP-017,supplier,,,76.8
SUP-018,supplier,,,71.7
