run_id,work_order_id,plant_id,line_id,machine_id,product_id,feature_date,setup_minutes,speed_ratio,operator_experience_years,operator_fairness_group,product_complexity_score,supplier_quality_score,avg_temperature_24h,max_vibration_24h,line_utilization_rate,previous_defect_rate_7d,defect_rate,high_defect_risk,dominant_defect_code,split,monitoring_window
RUN-009689,WO-004845,P01,L02,MCH-010,PRD-069,2026-08-06,33.59,1.2267,7.0,G2_mid,11.54,85.11,50.121,2.975,0.896,0.1269,0.12,1,NONE,test,current_drifted
RUN-001184,WO-000592,P01,L01,MCH-001,PRD-025,2026-09-11,21.21,1.1569,8.2,G1_senior,4.58,86.31,52.921,3.086,1.064,0.0008,0.02,0,SOLDER_VOID,train,current_drifted
RUN-008456,WO-004228,P03,L06,MCH-035,PRD-017,2026-09-01,20.38,1.2668,1.6,G3_junior,4.33,94.29,72.643,8.417,0.883,0.0304,0.03,0,SOLDER_VOID,validation,current_drifted
RUN-003642,WO-001821,P03,L05,MCH-029,PRD-022,2026-08-05,18.84,0.9845,3.2,G2_mid,5.31,82.01,50.634,3.15,0.777,0.0512,0.025,0,CONTAMINATION,train,current_drifted
RUN-009652,WO-004826,P01,L02,MCH-012,PRD-060,2026-09-10,6.46,0.9755,0.2,G3_junior,7.92,81.4,55.216,3.584,0.694,0.1177,0.0875,1,SCRATCH,test,current_drifted
RUN-003916,WO-001958,P01,L01,MCH-004,PRD-027,2026-08-26,27.5,1.2931,1.7,G3_junior,7.43,84.31,49.376,3.246,0.777,0.0546,0.0625,1,SCRATCH,train,current_drifted
RUN-007261,WO-003631,P02,L03,MCH-013,PRD-057,2026-08-03,31.12,0.8919,3.3,G2_mid,5.73,84.6,54.497,3.256,1.012,0.0661,0.0625,1,SOLDER_VOID,train,current_drifted
RUN-002407,WO-001204,P02,L03,MCH-016,PRD-027,2026-09-14,27.54,1.0744,0.8,G3_junior,7.4,84.92,51.972,3.39,1.059,0.0429,0.08,1,DIMENSION,train,current_drifted
RUN-009410,WO-004705,P02,L04,MCH-023,PRD-046,2026-09-13,20.57,1.0383,5.7,G2_mid,5.02,68.76,53.146,3.012,0.704,0.043,0.064,1,SOLDER_VOID,test,current_drifted
RUN-010011,WO-005006,P01,L02,MCH-008,PRD-029,2026-09-05,33.81,0.8786,3.4,G2_mid,6.78,81.39,47.296,3.114,0.668,0.087,0.0625,1,SCRATCH,test,current_drifted
RUN-000947,WO-000474,P02,L04,MCH-019,PRD-066,2026-08-18,22.1,1.1749,14.6,G1_senior,7.94,88.2,49.908,2.975,1.077,0.0678,0.04,0,SCRATCH,train,current_drifted
RUN-009995,WO-004998,P03,L05,MCH-030,PRD-079,2026-08-11,28.84,0.9541,0.7,G3_junior,4.29,67.09,56.158,4.301,0.899,0.0814,0.08,1,MISSING_PART,test,current_drifted
RUN-005061,WO-002531,P02,L04,MCH-023,PRD-062,2026-08-27,30.94,1.0441,0.6,G3_junior,8.12,70.06,52.193,3.025,0.724,0.08,0.1,1,SOLDER_VOID,train,current_drifted
RUN-006982,WO-003491,P03,L06,MCH-036,PRD-045,2026-08-19,18.64,0.9973,4.6,G2_mid,3.89,92.66,58.686,3.475,0.711,0.0028,0.0,0,NONE,train,current_drifted
RUN-002492,WO-001246,P01,L01,MCH-005,PRD-032,2026-08-01,29.4,1.2688,4.6,G2_mid,7.66,95.02,44.678,2.732,0.673,0.0356,0.032,0,SCRATCH,train,current_drifted
RUN-010902,WO-005451,P02,L04,MCH-019,PRD-059,2026-09-13,20.49,1.0527,3.0,G3_junior,6.15,84.18,54.34,3.379,0.82,0.0833,0.055,1,CONTAMINATION,test,current_drifted
RUN-002383,WO-001192,P03,L05,MCH-025,PRD-056,2026-08-29,25.0,0.9403,8.2,G1_senior,5.03,95.27,53.124,2.832,0.727,0.0032,0.035,0,DIMENSION,train,current_drifted
RUN-005721,WO-002861,P03,L05,MCH-029,PRD-033,2026-08-05,36.91,1.2651,2.9,G3_junior,6.24,84.26,54.123,3.286,0.934,0.0501,0.04,0,SCRATCH,train,current_drifted
RUN-005326,WO-002663,P01,L02,MCH-012,PRD-001,2026-09-14,20.8,0.8497,9.4,G1_senior,9.25,86.67,52.721,3.434,0.795,0.0775,0.075,1,CONTAMINATION,train,current_drifted
RUN-009674,WO-004837,P03,L06,MCH-032,PRD-070,2026-08-20,28.53,0.9487,2.3,G3_junior,5.08,83.14,52.955,3.162,0.738,0.0258,0.025,0,SCRATCH,test,current_drifted
RUN-006389,WO-003195,P02,L03,MCH-015,PRD-048,2026-09-04,12.11,1.2703,7.0,G2_mid,5.7,91.73,51.939,2.608,0.803,0.0284,0.03,0,SURFACE_DENT,train,current_drifted
RUN-005207,WO-002604,P02,L03,MCH-014,PRD-075,2026-09-10,29.51,1.3068,2.7,G3_junior,7.35,95.69,55.934,11.388,0.781,0.0136,0.04,0,NONE,train,current_drifted
RUN-006264,WO-003132,P03,L06,MCH-035,PRD-051,2026-09-08,21.98,1.1036,6.5,G2_mid,6.95,91.42,52.245,3.09,0.885,0.0467,0.0375,0,CONTAMINATION,train,current_drifted
RUN-007769,WO-003885,P01,L01,MCH-006,PRD-029,2026-09-01,23.12,1.1507,0.2,G3_junior,7.03,86.13,51.299,7.847,0.829,0.046,0.08,1,NONE,validation,current_drifted
RUN-010370,WO-005185,P03,L06,MCH-031,PRD-006,2026-08-13,36.87,0.9707,4.7,G2_mid,7.71,89.86,50.605,3.214,0.835,0.039,0.045,0,CONTAMINATION,test,current_drifted
RUN-009329,WO-004665,P02,L03,MCH-014,PRD-024,2026-08-01,33.84,0.9978,14.6,G1_senior,8.3,82.9,54.793,9.156,0.684,0.0426,0.04,0,DIMENSION,test,current_drifted
RUN-009705,WO-004853,P03,L06,MCH-031,PRD-035,2026-09-07,12.64,1.2296,0.4,G3_junior,4.52,80.56,53.998,3.541,1.02,0.0504,0.0375,0,MISSING_PART,test,current_drifted
RUN-009338,WO-004669,P02,L04,MCH-022,PRD-035,2026-08-31,21.95,1.1503,14.6,G1_senior,5.26,80.15,53.721,3.004,0.884,0,0.0125,0,CONTAMINATION,test,current_drifted
RUN-008084,WO-004042,P03,L05,MCH-029,PRD-054,2026-08-02,34.17,1.1526,1.7,G3_junior,7.16,66.53,52.777,3.163,0.752,0.0691,0.1,1,DIMENSION,validation,current_drifted
RUN-010465,WO-005233,P02,L04,MCH-023,PRD-001,2026-08-14,31.61,0.8706,6.1,G2_mid,8.23,86.03,49.077,3.139,0.817,0.0152,0.05,0,MISSING_PART,test,current_drifted
RUN-003358,WO-001679,P02,L03,MCH-017,PRD-028,2026-09-11,27.76,1.0613,1.6,G3_junior,7.24,92.38,49.153,2.853,0.819,0,0.02,0,SURFACE_DENT,train,current_drifted
RUN-000984,WO-000492,P03,L05,MCH-030,PRD-015,2026-08-20,20.28,1.013,18,G1_senior,9.0,88.77,52.258,3.256,0.963,0.0916,0.0625,1,SURFACE_DENT,train,current_drifted
RUN-009987,WO-004994,P02,L04,MCH-019,PRD-041,2026-08-21,15.22,1.0252,2.8,G3_junior,7.39,82.13,72.375,8.249,0.669,0.0881,0.075,1,SURFACE_DENT,test,current_drifted
RUN-005891,WO-002946,P01,L01,MCH-002,PRD-023,2026-08-23,22.31,1.0474,3.3,G2_mid,5.16,83.41,55.482,3.125,0.981,0.0545,0.02,0,SURFACE_DENT,train,current_drifted
RUN-001786,WO-000893,P02,L03,MCH-018,PRD-003,2026-09-03,34.28,1.1269,15.7,G1_senior,6.11,93.18,51.952,3.031,0.94,0.0279,0.01,0,DIMENSION,train,current_drifted
RUN-010246,WO-005123,P03,L05,MCH-026,PRD-050,2026-08-05,18.93,0.9489,0,G0_unknown,5.65,86.25,55.083,3.54,0.952,0.0798,0.06,1,DIMENSION,test,current_drifted
RUN-008060,WO-004030,P01,L01,MCH-003,PRD-001,2026-08-25,26.97,1.2462,7.1,G2_mid,8.97,84.31,51.411,2.857,1.015,0.1018,0.075,1,SURFACE_DENT,validation,current_drifted
RUN-004704,WO-002352,P02,L04,MCH-021,PRD-059,2026-08-24,28.26,0.995,3.3,G2_mid,6.07,82.68,55.5,2.922,0.941,0.054,0.05,0,MISSING_PART,train,current_drifted
RUN-003319,WO-001660,P03,L05,MCH-027,PRD-045,2026-08-26,12.39,1.0015,1.3,G3_junior,4.05,93.85,50.954,3.224,0.782,0,0.024,0,MISSING_PART,train,current_drifted
RUN-000525,WO-000263,P01,L02,MCH-009,PRD-008,2026-09-04,27.18,1.041,7.1,G2_mid,3.49,79.56,53.42,3.136,0.737,0.0868,0.04,0,DIMENSION,train,current_drifted
