case_id,run_id,operator_fairness_group,true_high_defect_risk,model_score_unmitigated,model_score_mitigated,prediction_threshold,human_review_required
FAIR-000001,RUN-000265,G1_senior,0,0.1951,0.2351,0.5,0
FAIR-000002,RUN-004419,G3_junior,0,0.5479,0.4279,0.5,0
FAIR-000003,RUN-009166,G2_mid,1,0.6992,0.6992,0.5,1
FAIR-000004,RUN-007892,G1_senior,0,0.4644,0.5044,0.5,0
FAIR-000005,RUN-005529,G3_junior,0,0.2563,0.1363,0.5,0
FAIR-000006,RUN-005536,G1_senior,1,0.515,0.555,0.5,0
FAIR-000007,RUN-003453,G2_mid,0,0.3467,0.3467,0.5,0
FAIR-000008,RUN-008731,G1_senior,0,0.1468,0.1868,0.5,0
FAIR-000009,RUN-004428,G3_junior,0,0.3108,0.1908,0.5,0
FAIR-000010,RUN-003476,G3_junior,0,0.4528,0.3328,0.5,0
FAIR-000011,RUN-002178,G2_mid,0,0.4139,0.4139,0.5,0
FAIR-000012,RUN-004022,G3_junior,1,0.9367,0.8167,0.5,1
FAIR-000013,RUN-011346,G1_senior,0,0.1331,0.1731,0.5,0
FAIR-000014,RUN-004743,G3_junior,1,0.7393,0.6193,0.5,1
FAIR-000015,RUN-006693,G3_junior,0,0.3441,0.2241,0.5,0
FAIR-000016,RUN-002801,G3_junior,1,0.9495,0.8295,0.5,1
FAIR-000017,RUN-002051,G3_junior,1,0.5165,0.3965,0.5,0
FAIR-000018,RUN-010875,G3_junior,1,0.4863,0.3663,0.5,0
FAIR-000019,RUN-004239,G2_mid,0,0.1035,0.1035,0.5,0
FAIR-000020,RUN-006892,G1_senior,0,0.2693,0.3093,0.5,0
FAIR-000021,RUN-003335,G2_mid,1,0.5023,0.5023,0.5,0
FAIR-000022,RUN-006115,G1_senior,0,0.1089,0.1489,0.5,0
FAIR-000023,RUN-011160,G3_junior,0,0.12,0,0.5,0
FAIR-000024,RUN-009300,G3_junior,0,0.267,0.147,0.5,0
