sales_order_id,late_delivery_flag,delay_days,root_cause,material_shortage_flag,quality_hold_flag,production_delay_days
SO-000001,1,5,production_delay,0,0,5
SO-000002,1,3,production_delay,0,0,5
SO-000003,0,0,on_time,0,0,0
SO-000004,1,3,production_delay,0,0,2
SO-000005,1,4,production_delay,0,1,6
SO-000006,1,1,logistics,0,0,0
SO-000007,1,6,quality_hold,0,0,6
SO-000008,1,5,logistics,0,0,6
SO-000009,1,2,production_delay,0,0,2
SO-000010,1,6,logistics,0,0,4
SO-000011,1,3,production_delay,0,0,4
SO-000012,1,1,quality_hold,0,0,2
SO-000013,0,0,on_time,0,0,-1
SO-000014,1,6,production_delay,0,0,7
SO-000015,1,1,material_shortage,0,0,0
SO-000017,1,1,production_delay,0,0,1
SO-000018,1,5,logistics,0,0,7
SO-000019,1,6,logistics,0,0,6
SO-000020,1,5,production_delay,0,0,5
SO-000021,0,0,on_time,0,0,2
SO-000022,1,7,production_delay,0,0,7
SO-000023,1,7,production_delay,0,0,6
SO-000024,1,9,logistics,0,0,7
SO-000025,0,0,on_time,0,0,-1
SO-000026,1,6,quality_hold,0,1,6
SO-000027,0,0,on_time,0,0,0
SO-000028,1,6,logistics,0,0,7
SO-000029,1,3,material_shortage,0,0,3
SO-000031,1,4,production_delay,0,0,4
SO-000032,0,0,on_time,0,0,0
SO-000034,1,3,production_delay,0,0,3
SO-000035,1,1,logistics,0,0,1
SO-000036,1,3,logistics,0,1,2
SO-000037,1,3,logistics,0,0,3
SO-000038,1,3,production_delay,0,0,3
SO-000039,1,2,production_delay,0,0,3
SO-000040,1,2,production_delay,0,0,3
SO-000041,1,3,quality_hold,0,0,3
SO-000042,0,0,on_time,0,0,2
SO-000043,1,9,production_delay,0,0,7
SO-000044,0,0,on_time,0,0,-1
SO-000045,1,5,production_delay,0,0,5
SO-000046,1,7,material_shortage,0,0,5
SO-000047,0,0,on_time,0,0,-1
SO-000048,0,0,on_time,0,0,2
SO-000049,1,2,production_delay,0,0,0
SO-000050,1,4,material_shortage,0,0,3
SO-000051,1,3,quality_hold,0,0,4
SO-000052,1,1,logistics,0,0,3
SO-000053,1,2,production_delay,0,0,2
SO-000054,1,7,production_delay,0,0,7
SO-000055,1,3,production_delay,0,0,2
SO-000056,1,5,quality_hold,0,0,3
SO-000057,0,0,on_time,0,0,0
SO-000058,1,3,production_delay,0,0,2
SO-000059,1,4,production_delay,0,1,4
SO-000060,0,0,on_time,0,0,-1
SO-000061,1,2,production_delay,0,0,4
SO-000062,1,1,logistics,0,0,1
SO-000063,1,5,logistics,0,0,3
SO-000064,1,6,logistics,1,0,6
SO-000065,1,7,production_delay,0,1,7
SO-000066,1,5,production_delay,0,0,6
SO-000067,1,4,production_delay,0,0,4
SO-000068,1,5,production_delay,0,0,6
SO-000069,1,6,quality_hold,0,0,4
SO-000070,1,5,quality_hold,0,1,6
SO-000071,0,0,on_time,0,0,0
SO-000072,1,2,production_delay,0,0,2
SO-000073,1,5,quality_hold,0,1,4
SO-000075,1,2,logistics,0,0,1
SO-000076,1,6,production_delay,1,0,5
SO-000077,1,1,production_delay,0,0,1
SO-000078,1,5,production_delay,0,0,6
SO-000079,1,8,logistics,1,0,10
SO-000080,1,5,material_shortage,0,0,6
SO-000081,0,0,on_time,0,0,0
SO-000082,1,3,production_delay,0,0,3
SO-000083,1,6,logistics,0,0,5
SO-000084,1,5,material_shortage,0,0,5
SO-000085,1,1,production_delay,0,0,-1
SO-000086,1,7,quality_hold,0,0,5
SO-000087,1,6,quality_hold,0,0,6
SO-000088,1,6,production_delay,0,1,5
SO-000089,1,6,production_delay,0,0,6
