run_id,defect_rate,high_defect_risk,dominant_defect_code,risk_prob
RUN-000001,0.048,0,DIMENSION,0.2222
RUN-000002,0.03,0,DIMENSION,0.2526
RUN-000003,0.04,1,SURFACE_DENT,0.279
RUN-000004,0.06,1,CONTAMINATION,0.2987
RUN-000005,0.024,0,CONTAMINATION,0.1037
RUN-000006,0.024,1,SOLDER_VOID,0.1673
RUN-000007,0.07,1,MISSING_PART,0.3715
RUN-000008,0.07,1,SURFACE_DENT,0.4581
RUN-000009,0.04,0,SCRATCH,0.0983
RUN-000010,0.02,1,SOLDER_VOID,0.1565
RUN-000011,0.03,0,NONE,0.3554
RUN-000012,0.05,0,CONTAMINATION,0.2871
RUN-000013,0.06,1,SCRATCH,0.296
RUN-000014,0.01,0,MISSING_PART,0.1012
RUN-000015,0.064,1,CONTAMINATION,0.2987
RUN-000016,0.035,0,CONTAMINATION,0.1945
RUN-000017,0.02,0,SURFACE_DENT,0.1982
RUN-000018,0.0375,0,SCRATCH,0.2601
RUN-000019,0.0625,1,MISSING_PART,0.4898
RUN-000020,0.096,1,SCRATCH,0.6885
RUN-000021,0.112,1,SURFACE_DENT,0.6947
RUN-000022,0.1,1,SCRATCH,0.5713
RUN-000023,0.12,1,NONE,0.6617
RUN-000024,0.1,1,SURFACE_DENT,0.7047
RUN-000025,0.05,0,DIMENSION,0.2735
RUN-000026,0.05,0,NONE,0.2483
RUN-000027,0.02,0,CONTAMINATION,0.1915
RUN-000028,0.032,0,CONTAMINATION,0.1914
RUN-000029,0.025,0,SCRATCH,0.2453
RUN-000030,0.008,0,CONTAMINATION,0.0793
RUN-000031,0.0375,0,CONTAMINATION,0.2146
RUN-000032,0.03,0,CONTAMINATION,0.2184
RUN-000033,0.06,1,SOLDER_VOID,0.2134
RUN-000034,0.03,0,CONTAMINATION,0.223
RUN-000035,0.02,0,SURFACE_DENT,0.2148
RUN-000036,0.04,0,MISSING_PART,0.2042
RUN-000037,0.08,1,SURFACE_DENT,0.4208
RUN-000038,0.08,1,SCRATCH,0.443
RUN-000039,0.1125,1,CONTAMINATION,0.7488
RUN-000040,0.0875,1,MISSING_PART,0.6485
RUN-000041,0.12,1,CONTAMINATION,0.6545
RUN-000042,0.115,1,SCRATCH,0.6983
RUN-000043,0.104,1,SURFACE_DENT,0.7055
RUN-000044,0.11,1,SCRATCH,0.688
RUN-000045,0.04,0,MISSING_PART,0.2202
RUN-000046,0.04,0,CONTAMINATION,0.2736
RUN-000047,0.05,0,MISSING_PART,0.5052
RUN-000048,0.0875,1,DIMENSION,0.5372
RUN-000049,0.13,1,SCRATCH,0.8473
RUN-000050,0.12,1,CONTAMINATION,0.7112
RUN-000051,0.05,0,SURFACE_DENT,0.2723
RUN-000052,0.016,0,SOLDER_VOID,0.1469
RUN-000053,0.03,0,SCRATCH,0.1247
RUN-000054,0.01,0,DIMENSION,0.0755
RUN-000055,0.016,0,SURFACE_DENT,0.17
RUN-000056,0.032,0,DIMENSION,0.1557
RUN-000057,0.1,1,SCRATCH,0.5583
RUN-000058,0.0875,1,SCRATCH,0.6142
RUN-000059,0.04,0,CONTAMINATION,0.1486
RUN-000060,0.016,0,SURFACE_DENT,0.1407
RUN-000061,0.024,0,SOLDER_VOID,0.1548
RUN-000062,0.05,0,SOLDER_VOID,0.1711
RUN-000063,0.0625,1,SOLDER_VOID,0.249
RUN-000064,0.05,0,CONTAMINATION,0.2689
RUN-000065,0.056,1,SCRATCH,0.244
RUN-000066,0.035,0,SCRATCH,0.286
RUN-000067,0.08,1,SCRATCH,0.5506
RUN-000068,0.088,1,SCRATCH,0.5683
RUN-000069,0.02,0,CONTAMINATION,0.0873
RUN-000070,0.03,0,SOLDER_VOID,0.1205
RUN-000071,0.05,0,MISSING_PART,0.2654
RUN-000072,0.07,1,CONTAMINATION,0.3865
RUN-000073,0.105,1,SOLDER_VOID,0.4853
RUN-000074,0.08,1,DIMENSION,0.5315
RUN-000075,0.035,0,SURFACE_DENT,0.1475
RUN-000076,0.04,0,SURFACE_DENT,0.183
RUN-000077,0.025,0,DIMENSION,0.0841
RUN-000078,0.025,0,CONTAMINATION,0.0989
RUN-000079,0.032,0,CONTAMINATION,0.2035
RUN-000080,0.01,0,MISSING_PART,0.1015
RUN-000081,0.04,0,DIMENSION,0.1448
RUN-000082,0.0125,0,CONTAMINATION,0.1324
RUN-000083,0.144,1,DIMENSION,0.7799
RUN-000084,0.115,1,SURFACE_DENT,0.7326
RUN-000085,0.1,1,DIMENSION,0.6401
RUN-000086,0.112,1,SOLDER_VOID,0.7326
RUN-000087,0.056,1,SURFACE_DENT,0.4412
RUN-000088,0.05,1,MISSING_PART,0.3443
RUN-000089,0.136,1,DIMENSION,0.7011
RUN-000090,0.07,1,MISSING_PART,0.4438
RUN-000091,0.1,1,MISSING_PART,0.7289
RUN-000092,0.104,1,SURFACE_DENT,0.6927
RUN-000093,0.1,1,SURFACE_DENT,0.7389
RUN-000094,0.112,1,SURFACE_DENT,0.7351
RUN-000095,0.056,1,SCRATCH,0.2375
RUN-000096,0.048,0,SCRATCH,0.2783
RUN-000097,0.0375,0,SCRATCH,0.2419
RUN-000098,0.048,0,SOLDER_VOID,0.2206
RUN-000099,0.024,0,SOLDER_VOID,0.1363
RUN-000100,0.05,0,SCRATCH,0.2626
RUN-000101,0.03,0,SCRATCH,0.199
RUN-000102,0.01,0,SOLDER_VOID,0.1866
RUN-000103,0.04,0,SURFACE_DENT,0.1898
RUN-000104,0.024,0,SCRATCH,0.0881
RUN-000105,0.0375,0,SCRATCH,0.1866
RUN-000106,0.025,0,SCRATCH,0.2052
RUN-000107,0.06,1,DIMENSION,0.4131
RUN-000108,0.0625,1,CONTAMINATION,0.375
RUN-000109,0.08,1,DIMENSION,0.4424
RUN-000110,0.072,1,SOLDER_VOID,0.4208
RUN-000111,0.024,0,SCRATCH,0.1477
RUN-000112,0.0375,0,SURFACE_DENT,0.2243
RUN-000113,0.03,0,SURFACE_DENT,0.055
RUN-000114,0.0,0,NONE,0.0323
RUN-000115,0.03,0,MISSING_PART,0.0544
RUN-000116,0.0,0,NONE,0.0251
RUN-000117,0.03,0,CONTAMINATION,0.0649
RUN-000118,0.02,0,SCRATCH,0.0526
RUN-000119,0.0,0,NONE,0.046
RUN-000120,0.0,0,NONE,0.0524
RUN-000121,0.04,0,SOLDER_VOID,0.2346
RUN-000122,0.05,0,DIMENSION,0.2596
RUN-000123,0.0,0,NONE,0.046
RUN-000124,0.02,0,SURFACE_DENT,0.0374
RUN-000125,0.06,1,MISSING_PART,0.2714
RUN-000126,0.048,0,NONE,0.2524
RUN-000127,0.0375,0,SURFACE_DENT,0.2006
RUN-000128,0.01,0,DIMENSION,0.1081
RUN-000129,0.02,0,SOLDER_VOID,0.1933
RUN-000130,0.06,1,SURFACE_DENT,0.257
RUN-000131,0.07,1,CONTAMINATION,0.3267
RUN-000132,0.05,0,DIMENSION,0.2576
RUN-000133,0.064,1,SURFACE_DENT,0.3034
RUN-000134,0.04,0,SCRATCH,0.415
RUN-000135,0.06,1,CONTAMINATION,0.3742
RUN-000136,0.04,0,SURFACE_DENT,0.3742
RUN-000137,0.025,0,SCRATCH,0.0819
RUN-000138,0.0,0,NONE,0.0834
RUN-000139,0.02,0,CONTAMINATION,0.0953
RUN-000140,0.02,0,CONTAMINATION,0.1459
RUN-000141,0.016,0,SCRATCH,0.0882
RUN-000142,0.0125,0,SURFACE_DENT,0.1415
RUN-000143,0.072,1,CONTAMINATION,0.506
RUN-000144,0.0625,1,SCRATCH,0.474
RUN-000145,0.04,0,CONTAMINATION,0.2108
RUN-000146,0.075,1,SCRATCH,0.49
RUN-000147,0.032,0,SCRATCH,0.2757
RUN-000148,0.025,0,MISSING_PART,0.1377
RUN-000149,0.04,0,DIMENSION,0.1642
RUN-000150,0.02,0,SOLDER_VOID,0.072
RUN-000151,0.048,0,SCRATCH,0.1879
RUN-000152,0.035,0,SOLDER_VOID,0.1149
RUN-000153,0.01,0,SOLDER_VOID,0.1036
RUN-000154,0.0125,0,SOLDER_VOID,0.1481
RUN-000155,0.0,0,NONE,0.033
RUN-000156,0.016,0,SCRATCH,0.0508
RUN-000157,0.0125,0,CONTAMINATION,0.0155
RUN-000158,0.03,0,DIMENSION,0.0516
RUN-000159,0.0,0,NONE,0.0516
RUN-000160,0.01,0,SCRATCH,0.0541
RUN-000161,0.04,0,SCRATCH,0.1216
RUN-000162,0.04,0,SCRATCH,0.1109
RUN-000163,0.0625,1,CONTAMINATION,0.2747
RUN-000164,0.04,0,SOLDER_VOID,0.241
RUN-000165,0.02,0,CONTAMINATION,0.1754
RUN-000166,0.03,0,SURFACE_DENT,0.1723
RUN-000167,0.0375,0,CONTAMINATION,0.1891
RUN-000168,0.04,0,SOLDER_VOID,0.1702
RUN-000169,0.025,1,DIMENSION,0.0875
RUN-000170,0.04,0,SOLDER_VOID,0.1953
RUN-000171,0.03,0,NONE,0.1282
RUN-000172,0.04,0,DIMENSION,0.1854
RUN-000173,0.0125,0,CONTAMINATION,0.0705
RUN-000174,0.02,0,SURFACE_DENT,0.1053
RUN-000175,0.02,0,MISSING_PART,0.0905
RUN-000176,0.0,0,NONE,0.0329
RUN-000177,0.015,0,SURFACE_DENT,0.0866
RUN-000178,0.01,0,NONE,0.0873
RUN-000179,0.04,0,SOLDER_VOID,0.2006
RUN-000180,0.015,0,NONE,0.1006
RUN-000181,0.0375,0,SOLDER_VOID,0.1625
RUN-000182,0.03,0,SOLDER_VOID,0.1844
RUN-000183,0.0375,0,DIMENSION,0.1832
RUN-000184,0.02,0,DIMENSION,0.1353
RUN-000185,0.04,0,SCRATCH,0.0984
RUN-000186,0.056,1,MISSING_PART,0.2075
RUN-000187,0.08,1,SURFACE_DENT,0.5227
RUN-000188,0.1,1,SOLDER_VOID,0.5735
RUN-000189,0.02,0,SURFACE_DENT,0.273
RUN-000190,0.06,1,NONE,0.2591
RUN-000191,0.0375,0,SOLDER_VOID,0.2006
RUN-000192,0.04,0,SCRATCH,0.2615
RUN-000193,0.015,0,DIMENSION,0.1425
RUN-000194,0.02,0,SURFACE_DENT,0.1327
RUN-000195,0.04,0,SOLDER_VOID,0.1666
RUN-000196,0.032,0,DIMENSION,0.1677
RUN-000197,0.024,0,SCRATCH,0.1229
RUN-000198,0.02,0,SCRATCH,0.257
RUN-000199,0.06,1,SCRATCH,0.308
RUN-000200,0.048,0,SURFACE_DENT,0.2718
RUN-000201,0.04,0,DIMENSION,0.3097
RUN-000202,0.064,1,SOLDER_VOID,0.2798
