table_name,relative_path,column_name,data_type_hint,description,sensitive_or_private,suggested_use
data_quality_rules,00_documentation/data_quality_rules.csv,rule_id,string,Rule id.,no,key/join
data_quality_rules,00_documentation/data_quality_rules.csv,table_name,string,Table name.,no,analysis/modeling
data_quality_rules,00_documentation/data_quality_rules.csv,field_name,string,Field name.,no,analysis/modeling
data_quality_rules,00_documentation/data_quality_rules.csv,rule_description,string,Rule description.,no,analysis/modeling
data_quality_rules,00_documentation/data_quality_rules.csv,severity,string,Severity.,no,analysis/modeling
data_quality_rules,00_documentation/data_quality_rules.csv,suggested_action,string,Suggested action.,no,analysis/modeling
scenario_ground_truth,00_documentation/scenario_ground_truth.csv,scenario_id,string,Scenario id.,no,key/join
scenario_ground_truth,00_documentation/scenario_ground_truth.csv,scenario_name,string,Scenario name.,no,analysis/modeling
scenario_ground_truth,00_documentation/scenario_ground_truth.csv,affected_files,string,Affected files.,no,analysis/modeling
scenario_ground_truth,00_documentation/scenario_ground_truth.csv,ground_truth_signal,string,Ground truth signal.,no,analysis/modeling
scenario_ground_truth,00_documentation/scenario_ground_truth.csv,lecture_support,string,Lecture support.,no,analysis/modeling
obe03_alignment_matrix,00_documentation/obe03_alignment_matrix.csv,week,string,Week.,no,analysis/modeling
obe03_alignment_matrix,00_documentation/obe03_alignment_matrix.csv,lecture,string,Lecture.,no,analysis/modeling
obe03_alignment_matrix,00_documentation/obe03_alignment_matrix.csv,obe03_activity,string,Obe03 activity.,no,analysis/modeling
obe03_alignment_matrix,00_documentation/obe03_alignment_matrix.csv,dataset_support,string,Dataset support.,no,analysis/modeling
obe03_alignment_matrix,00_documentation/obe03_alignment_matrix.csv,key_files,string,Key files.,no,analysis/modeling
obe03_alignment_matrix,00_documentation/obe03_alignment_matrix.csv,student_output,string,Student output.,no,analysis/modeling
data_catalog,00_documentation/data_catalog.csv,relative_path,string,Relative path.,no,analysis/modeling
data_catalog,00_documentation/data_catalog.csv,file_type,string,File type.,no,analysis/modeling
data_catalog,00_documentation/data_catalog.csv,row_count,numeric,Row count.,no,analysis/modeling
data_catalog,00_documentation/data_catalog.csv,column_count,numeric,Column count.,no,analysis/modeling
data_catalog,00_documentation/data_catalog.csv,description,string,Description.,no,analysis/modeling
entity_relationship_map,00_documentation/entity_relationship_map.csv,from_table,string,From table.,no,analysis/modeling
