tx_id,block_timestamp,material_lot_id,supplier_id,product_id,plant_id,event_type,quantity,quality_certificate_id,previous_hash,transaction_hash,smart_contract_id
TX-0000001,2026-06-24 18:37:00,LOT-SUP-010-20260624-038,SUP-010,PRD-028,P02,shipment_handover,1561,,GENESIS,410f1148d2783bdf,SC-011
TX-0000002,2026-05-17 11:54:00,LOT-SUP-010-20260517-042,SUP-010,PRD-010,P01,line_release,8980,QCERT-00039,410f1148d2783bdf,d3355c7304d1a867,SC-010
TX-0000003,2025-11-15 00:57:00,LOT-SUP-013-20251115-018,SUP-013,PRD-062,P03,shipment_handover,10333,,d3355c7304d1a867,8e6174bd62006b58,SC-002
TX-0000004,2026-01-21 06:21:00,LOT-SUP-012-20260121-021,SUP-012,PRD-015,P02,shipment_handover,17240,,8e6174bd62006b58,5e85ab8553fed0e9,SC-001
TX-0000005,2026-02-01 06:30:00,LOT-SUP-007-20260201-039,SUP-007,PRD-055,P01,finished_goods,22160,,5e85ab8553fed0e9,cbd08678e7a98c40,SC-004
TX-0000006,2026-05-11 22:28:00,LOT-SUP-016-20260511-020,SUP-016,PRD-043,P03,material_received,13789,,cbd08678e7a98c40,b0c71c5263afddcd,SC-008
TX-0000007,2025-12-28 06:37:00,LOT-SUP-016-20251228-024,SUP-016,PRD-043,P03,material_received,20146,,b0c71c5263afddcd,6d76c4da64501e25,SC-012
TX-0000008,2026-01-27 21:38:00,LOT-SUP-005-20260127-054,SUP-005,PRD-005,P01,material_received,4019,,6d76c4da64501e25,d64d106b8f8a9622,SC-003
TX-0000009,2026-06-30 01:42:00,LOT-SUP-009-20260630-006,SUP-009,PRD-048,P02,finished_goods,3638,,d64d106b8f8a9622,e79665845dafb37d,SC-002
TX-0000010,2026-07-05 12:25:00,LOT-SUP-007-20260705-005,SUP-007,PRD-073,P01,shipment_handover,16332,,e79665845dafb37d,8c8aceabe6feefa7,SC-003
TX-0000011,2026-03-08 05:04:00,LOT-SUP-015-20260308-041,SUP-015,PRD-003,P03,material_received,9704,,8c8aceabe6feefa7,f351ed1611aa8ee9,SC-006
TX-0000012,2026-02-23 07:19:00,LOT-SUP-004-20260223-057,SUP-004,PRD-066,P01,line_release,3533,QCERT-00881,f351ed1611aa8ee9,0981d385cccba47e,SC-001
TX-0000013,2026-07-24 23:13:00,LOT-SUP-016-20260724-011,SUP-016,PRD-080,P02,line_release,12159,QCERT-00781,0981d385cccba47e,7c9fb70ede6db750,SC-006
TX-0000014,2026-04-01 09:55:00,LOT-SUP-005-20260401-028,SUP-005,PRD-038,P02,line_release,17889,QCERT-00760,7c9fb70ede6db750,cc85ee1e1d06b97f,SC-006
TX-0000015,2026-02-24 02:48:00,LOT-SUP-003-20260224-001,SUP-003,PRD-035,P02,shipment_handover,9174,,cc85ee1e1d06b97f,82426521da70e58d,SC-003
TX-0000016,2025-11-24 12:22:00,LOT-SUP-010-20251124-013,SUP-010,PRD-028,P01,line_release,17833,QCERT-00680,82426521da70e58d,04256469e7059428,SC-004
TX-0000017,2026-05-02 11:06:00,LOT-SUP-012-20260502-018,SUP-012,PRD-006,P01,finished_goods,5464,,04256469e7059428,e07c27e7864df132,SC-009
TX-0000018,2026-07-13 04:27:00,LOT-SUP-005-20260713-024,SUP-005,PRD-016,P01,material_received,1456,,e07c27e7864df132,c24d15973fdeab28,SC-004
TX-0000019,2025-09-28 13:43:00,LOT-SUP-010-20250928-043,SUP-010,PRD-056,P03,material_received,4024,,c24d15973fdeab28,b383867664d6fc2e,SC-002
TX-0000020,2025-12-18 04:54:00,LOT-SUP-005-20251218-028,SUP-005,PRD-023,P03,material_received,15424,,b383867664d6fc2e,9f7cedffd17d06b7,SC-009
TX-0000021,2025-12-09 04:34:00,LOT-SUP-010-20251209-039,SUP-010,PRD-028,P01,quality_certificate,3794,QCERT-00269,9f7cedffd17d06b7,1557025811a5438d,SC-004
