operator_id,operator_hash,team_id,plant_id,certification_level,experience_years,shift_preference,employment_type,fairness_group,active_flag
OP-0001,e4a884ad7f591f31,TEAM-A,P01,junior,0.7,A_Day,contractor,G3_junior,1
OP-0002,d06908e9db09e96c,TEAM-A,P01,junior,2.6,A_Day,permanent,G3_junior,1
OP-0003,722547b0f43fc228,TEAM-A,P01,intermediate,7.6,A_Day,contractor,G2_mid,1
OP-0004,a04e89fce26d06c3,TEAM-A,P01,intermediate,3.1,B_Evening,contractor,G2_mid,1
OP-0005,52d626628d808f71,TEAM-A,P01,intermediate,7.6,C_Night,contractor,G2_mid,1
OP-0006,4d859155f4826bb1,TEAM-A,P01,junior,0.2,A_Day,permanent,G3_junior,1
OP-0007,687f4b47f4aaf740,TEAM-B,P01,junior,1.0,A_Day,permanent,G3_junior,1
OP-0008,fe864df31803633e,TEAM-B,P01,senior,11.8,A_Day,permanent,G1_senior,1
OP-0009,f8805e3c7f87a02c,TEAM-B,P01,junior,0.2,A_Day,permanent,G3_junior,1
OP-0010,4c76c7c01db6fbf8,TEAM-B,P01,junior,0.4,B_Evening,permanent,G3_junior,1
OP-0011,7f58973270083be5,TEAM-B,P01,junior,2.8,C_Night,permanent,G3_junior,1
OP-0012,4b2f41f21e37f2aa,TEAM-B,P01,junior,0.6,A_Day,permanent,G3_junior,1
OP-0013,0c806f00fdfc86a9,TEAM-C,P01,intermediate,4.8,C_Night,permanent,G2_mid,1
OP-0014,3046125bb96b44c5,TEAM-C,P01,junior,3.0,A_Day,permanent,G3_junior,1
OP-0015,0e0d3afdb4da18bc,TEAM-C,P01,junior,1.0,B_Evening,contractor,G3_junior,1
OP-0016,1b6b973a08be02d4,TEAM-C,P01,junior,0.2,C_Night,contractor,G3_junior,1
OP-0017,9a479de8513ba00d,TEAM-C,P01,junior,1.8,A_Day,permanent,G3_junior,1
OP-0018,b31fa559c4f66010,TEAM-C,P01,junior,0.8,A_Day,permanent,G3_junior,1
OP-0019,d54bb511aeb0cbb3,TEAM-D,P01,junior,1.4,C_Night,permanent,G3_junior,1
OP-0020,feb0033986614f98,TEAM-D,P01,senior,8.2,C_Night,permanent,G1_senior,1
OP-0021,a20258391018e49a,TEAM-D,P01,junior,1.3,A_Day,contractor,G3_junior,1
OP-0022,3f6f4737602367f6,TEAM-D,P01,intermediate,6.5,A_Day,permanent,G2_mid,1
OP-0023,d36fdadf5c333d03,TEAM-D,P01,intermediate,6.1,C_Night,contractor,G2_mid,1
OP-0024,8476543c1f061857,TEAM-D,P01,junior,2.0,B_Evening,permanent,G3_junior,1
OP-0025,9e1b9e4c7e9ddd47,TEAM-A,P02,senior,14.6,B_Evening,permanent,G1_senior,1
OP-0026,01f4dbeb057feb3f,TEAM-A,P02,junior,2.8,C_Night,permanent,G3_junior,1
OP-0027,7a452c64169989bb,TEAM-A,P02,junior,0.2,C_Night,contractor,G3_junior,1
OP-0028,26baa1df57b5f3fe,TEAM-A,P02,intermediate,3.4,A_Day,permanent,G2_mid,1
OP-0029,da0f8310082ce545,TEAM-A,P02,junior,0.2,A_Day,permanent,G3_junior,1
OP-0030,133aba2efcdd808d,TEAM-A,P02,intermediate,4.7,C_Night,permanent,G2_mid,1
OP-0031,f151d4dd19ce3755,TEAM-B,P02,senior,9.4,A_Day,permanent,G1_senior,1
OP-0032,d10397a3744c2174,TEAM-B,P02,senior,15.7,A_Day,permanent,G1_senior,1
OP-0033,db3a56e60796939d,TEAM-B,P02,junior,1.7,C_Night,contractor,G3_junior,1
OP-0034,4c649338983b6a33,TEAM-B,P02,intermediate,3.3,A_Day,permanent,G2_mid,1
OP-0035,10fee9883cdd85cd,TEAM-B,P02,intermediate,7.1,B_Evening,permanent,G2_mid,1
OP-0036,08f7a20c1cd60c94,TEAM-B,P02,junior,0.5,A_Day,permanent,G3_junior,1
OP-0037,ca48c6fc07c720df,TEAM-C,P02,intermediate,3.3,C_Night,permanent,G2_mid,1
OP-0038,133d1f1d9d2fe51e,TEAM-C,P02,intermediate,7.0,C_Night,contractor,G2_mid,1
OP-0039,ed161d1ef8091354,TEAM-C,P02,senior,10.6,A_Day,permanent,G1_senior,1
OP-0040,9a6b352e025f2269,TEAM-C,P02,intermediate,5.7,B_Evening,contractor,G2_mid,1
OP-0041,db0d2aba700eda05,TEAM-C,P02,junior,2.8,C_Night,contractor,G3_junior,1
OP-0042,1739c61da605c028,TEAM-C,P02,junior,1.4,A_Day,contractor,G3_junior,1
OP-0043,b10e92f86ec32cd1,TEAM-D,P02,junior,2.8,B_Evening,contractor,G3_junior,1
OP-0044,6952c09c9c7bf0fe,TEAM-D,P02,senior,8.9,C_Night,permanent,G1_senior,1
OP-0045,b8dbc482cd96610d,TEAM-D,P02,senior,18,C_Night,permanent,G1_senior,1
OP-0046,187aa9dcc5556f92,TEAM-D,P02,junior,0.7,C_Night,permanent,G3_junior,1
OP-0047,d0e8fd0ad2aaf4fc,TEAM-D,P02,intermediate,5.8,A_Day,contractor,G2_mid,1
OP-0048,8a03f7acd6fee79c,TEAM-D,P02,junior,1.0,B_Evening,contractor,G3_junior,1
OP-0049,48622416aa927e6d,TEAM-A,P03,junior,1.7,B_Evening,contractor,G3_junior,1
OP-0050,bab7c9ba3b768b20,TEAM-A,P03,junior,2.3,A_Day,contractor,G3_junior,1
OP-0051,ed27c8ad269bea64,TEAM-A,P03,junior,1.2,B_Evening,permanent,G3_junior,1
OP-0052,211481f7be7e967d,TEAM-A,P03,junior,1.2,B_Evening,permanent,G3_junior,1
OP-0053,c0b6184060174a6b,TEAM-A,P03,junior,2.7,A_Day,permanent,G3_junior,1
OP-0054,8ae2e6fe36ac1eec,TEAM-A,P03,senior,12.8,B_Evening,contractor,G1_senior,1
OP-0055,4e7e2675ac242bbc,TEAM-B,P03,intermediate,7.2,B_Evening,permanent,G2_mid,1
OP-0056,b5fe8844c05ab009,TEAM-B,P03,intermediate,3.2,A_Day,permanent,G2_mid,1
OP-0057,e12cd7457914cde8,TEAM-B,P03,junior,2.2,B_Evening,contractor,G3_junior,1
OP-0058,c463f332c076ddde,TEAM-B,P03,junior,0.6,C_Night,contractor,G3_junior,1
OP-0059,101f95cc3b1a5d9d,TEAM-B,P03,junior,2.9,B_Evening,permanent,G3_junior,1
OP-0060,676c85097a655e79,TEAM-B,P03,junior,1.6,A_Day,permanent,G3_junior,1
OP-0061,00d4ef988182c449,TEAM-C,P03,junior,2.0,B_Evening,permanent,G3_junior,1
OP-0062,ef5677d525547ecc,TEAM-C,P03,senior,11.2,B_Evening,contractor,G1_senior,1
OP-0063,7387f55b60e0dd32,TEAM-C,P03,junior,0.2,B_Evening,permanent,G3_junior,1
OP-0064,d55364e9172804d0,TEAM-C,P03,senior,11.5,C_Night,contractor,G1_senior,1
OP-0065,34d1d6b9835a8cca,TEAM-C,P03,junior,0.2,C_Night,permanent,G3_junior,1
OP-0066,2566c46e352b4ec3,TEAM-C,P03,intermediate,4.6,C_Night,permanent,G2_mid,1
OP-0067,c33d0ba6fdd4868b,TEAM-D,P03,junior,2.3,B_Evening,contractor,G3_junior,1
OP-0068,a670dc2b8bdf34a1,TEAM-D,P03,junior,1.0,C_Night,permanent,G3_junior,1
OP-0069,61c2deed6794ceda,TEAM-D,P03,junior,2.3,C_Night,permanent,G3_junior,1
OP-0070,ce832bcf790f699d,TEAM-D,P03,senior,11.2,B_Evening,permanent,G1_senior,1
OP-0071,c4377a4ea4868dbc,TEAM-D,P03,junior,2.9,A_Day,permanent,G3_junior,1
OP-0072,8f7d120873cd917b,TEAM-D,P03,junior,2.1,C_Night,contractor,G3_junior,1
