product_id,product_name,product_family,complexity_score,standard_cycle_seconds,standard_scrap_rate,standard_energy_kwh_per_unit,primary_supplier_id,material_id,standard_unit_cost,list_price,launch_date,active_flag
PRD-001,Sensor Module 001,sensor_module,8.2,50.31,0.0331,0.1529,SUP-002,MAT-006,200.52,340.7,2022-10-11,1
PRD-002,Sensor Module 002,sensor_module,5.3,42.53,0.0342,0.1273,SUP-008,MAT-018,470.08,643.63,2024-07-01,1
PRD-003,Power Unit 003,power_unit,4.8,37.89,0.0332,0.0912,SUP-015,MAT-024,282.27,468.41,2023-05-29,1
PRD-004,Control Board 004,control_board,3.9,36.04,0.0308,0.116,SUP-015,MAT-019,325.55,542.24,2022-08-27,1
PRD-005,Industrial Switch 005,industrial_switch,5.2,43.17,0.0342,0.0947,SUP-005,MAT-032,161.04,219.48,2023-03-25,1
PRD-006,Sensor Module 006,sensor_module,7.3,42.77,0.0342,0.1554,SUP-012,MAT-012,302.32,541.98,2022-06-08,1
PRD-007,Control Board 007,control_board,3.9,15.95,0.0223,0.103,SUP-008,MAT-023,235.71,293.49,2023-09-14,1
PRD-008,Power Unit 008,power_unit,3.4,28.37,0.017,0.0918,SUP-016,MAT-031,111.68,179.42,2025-05-07,1
PRD-009,Power Unit 009,power_unit,5.0,24.56,0.0289,0.0983,SUP-017,MAT-030,166.82,262.91,2024-05-18,0
PRD-010,Power Unit 010,power_unit,6.9,59.14,0.0316,0.1287,SUP-010,MAT-020,271.26,430.97,2024-06-20,1
PRD-011,Industrial Switch 011,industrial_switch,1.4,18.24,0.0137,0.0818,SUP-001,MAT-012,394.0,466.49,2022-08-14,1
PRD-012,Connector 012,connector,2.1,32.7,0.0157,0.0766,SUP-012,MAT-030,313.37,454.59,2024-11-20,1
PRD-013,Industrial Switch 013,industrial_switch,4.9,40.62,0.0211,0.0969,SUP-015,MAT-024,204.88,368.93,2024-01-22,1
PRD-014,Industrial Switch 014,industrial_switch,5.0,41.15,0.0311,0.1097,SUP-005,MAT-003,401.28,648.0,2025-04-01,1
PRD-015,Industrial Switch 015,industrial_switch,8.8,44.12,0.0338,0.1646,SUP-012,MAT-032,596.69,1020.83,2022-09-26,1
PRD-016,Connector 016,connector,4.3,60.03,0.0302,0.1017,SUP-005,MAT-035,131.01,223.1,2022-09-18,1
PRD-017,Metal Housing 017,metal_housing,4.3,27.11,0.0248,0.1085,SUP-011,MAT-033,154.52,207.71,2024-01-05,1
PRD-018,Sensor Module 018,sensor_module,3.6,34.79,0.0296,0.1017,SUP-009,MAT-037,85.85,141.69,2024-02-22,1
PRD-019,Control Board 019,control_board,7.2,39.7,0.0292,0.1221,SUP-018,MAT-017,186.73,334.0,2022-08-17,1
PRD-020,Control Board 020,control_board,7.8,57.79,0.0443,0.1567,SUP-003,MAT-036,412.54,696.96,2024-08-11,1
PRD-021,Power Unit 021,power_unit,3.0,39.75,0.0167,0.098,SUP-015,MAT-005,297.5,547.65,2025-01-31,1
PRD-022,Industrial Switch 022,industrial_switch,4.3,38.45,0.0312,0.1162,SUP-005,MAT-033,266.47,476.16,2024-06-19,1
PRD-023,Power Unit 023,power_unit,5.0,46.39,0.0341,0.0925,SUP-005,MAT-022,371.52,440.94,2025-01-13,1
PRD-024,Connector 024,connector,7.6,50.53,0.0316,0.1339,SUP-005,MAT-005,492.89,874.58,2024-03-25,1
PRD-025,Power Unit 025,power_unit,3.5,28.88,0.0212,0.0966,SUP-014,MAT-015,114.72,185.43,2023-06-03,1
PRD-026,Power Unit 026,power_unit,4.8,36.44,0.0336,0.1186,SUP-008,MAT-018,268.79,318.94,2024-10-14,1
PRD-027,Power Unit 027,power_unit,7.1,38.17,0.0376,0.1354,SUP-002,MAT-010,497.44,755.57,2025-05-25,1
PRD-028,Industrial Switch 028,industrial_switch,6.4,40.06,0.0255,0.1232,SUP-010,MAT-026,378.43,654.47,2023-06-09,1
PRD-029,Connector 029,connector,6.6,40.83,0.0293,0.1224,SUP-014,MAT-016,224.39,317.71,2022-08-18,1
PRD-030,Sensor Module 030,sensor_module,3.6,22.28,0.0273,0.0878,SUP-017,MAT-018,400.87,582.04,2022-11-27,1
PRD-031,Connector 031,connector,7.0,49.47,0.0286,0.1379,SUP-015,MAT-029,521.33,838.98,2023-08-18,1
PRD-032,Connector 032,connector,6.2,46.11,0.0389,0.1202,SUP-009,MAT-004,545.88,684.42,2025-05-31,1
PRD-033,Control Board 033,control_board,4.7,29.37,0.0311,0.1109,SUP-008,MAT-005,277.98,486.4,2024-08-11,1
PRD-034,Power Unit 034,power_unit,2.6,28.64,0.0156,0.0656,SUP-009,MAT-015,263.63,486.05,2023-10-20,1
PRD-035,Sensor Module 035,sensor_module,4.3,33.95,0.0338,0.0893,SUP-003,MAT-025,178.43,239.84,2025-01-09,1
PRD-036,Connector 036,connector,4.1,27.85,0.0311,0.116,SUP-014,MAT-008,53.9,75.6,2024-05-29,1
PRD-037,Control Board 037,control_board,4.2,34.26,0.0204,0.1191,SUP-008,MAT-010,117.73,151.19,2023-07-09,1
PRD-038,Connector 038,connector,3.2,36.82,0.0234,0.077,SUP-005,MAT-032,289.89,380.32,2024-07-02,1
PRD-039,Industrial Switch 039,industrial_switch,5.6,32.86,0.0323,0.123,SUP-009,MAT-001,388.3,629.02,2023-08-09,1
PRD-040,Control Board 040,control_board,8.4,45.98,0.0455,0.1546,SUP-006,MAT-004,478.2,611.6,2023-09-29,1
PRD-041,Control Board 041,control_board,6.3,39.54,0.0349,0.1241,SUP-005,MAT-030,513.45,830.11,2023-08-18,1
PRD-042,Connector 042,connector,1.4,29.56,0.0215,0.0635,SUP-002,MAT-022,30.38,44.06,2023-04-07,1
PRD-043,Industrial Switch 043,industrial_switch,4.2,33.74,0.0322,0.0924,SUP-016,MAT-031,343.87,450.0,2024-07-04,1
PRD-044,Sensor Module 044,sensor_module,4.1,26.91,0.0199,0.1034,SUP-008,MAT-033,429.06,672.39,2022-06-27,1
PRD-045,Control Board 045,control_board,2.5,26.21,0.0165,0.0836,SUP-010,MAT-029,380.46,512.45,2023-08-05,1
PRD-046,Control Board 046,control_board,4.6,36.71,0.027,0.0932,SUP-001,MAT-026,475.63,741.07,2023-12-25,1
PRD-047,Metal Housing 047,metal_housing,6.4,41.3,0.0299,0.1076,SUP-015,MAT-022,590.53,984.34,2024-07-29,1
PRD-048,Power Unit 048,power_unit,4.6,28.22,0.0253,0.1224,SUP-009,MAT-004,151.28,254.26,2024-02-25,1
PRD-049,Power Unit 049,power_unit,10,53.01,0.0501,0.1771,SUP-006,MAT-003,248.15,335.43,2022-11-25,1
PRD-050,Control Board 050,control_board,5.5,42.5,0.0354,0.1352,SUP-004,MAT-018,270.53,381.26,2024-04-16,1
PRD-051,Control Board 051,control_board,6.9,43.0,0.0334,0.1329,SUP-009,MAT-037,306.33,436.47,2024-01-02,1
PRD-052,Metal Housing 052,metal_housing,7.2,47.7,0.0401,0.1426,SUP-006,MAT-031,456.05,667.07,2024-08-01,1
PRD-053,Industrial Switch 053,industrial_switch,5.6,38.91,0.0325,0.1115,SUP-008,MAT-035,393.95,514.99,2024-02-06,1
PRD-054,Power Unit 054,power_unit,6.3,49.59,0.0272,0.1126,SUP-013,MAT-018,328.24,430.74,2022-11-04,1
PRD-055,Power Unit 055,power_unit,4.8,26.66,0.0265,0.0877,SUP-007,MAT-007,381.57,605.5,2023-06-17,1
