plan_id,plan_date,plant_id,line_id,product_id,planned_quantity,planned_capacity_units,capacity_utilization_plan,plan_version,planner_id,source_system
PLAN-20250801-L01,2025-08-01,P01,L01,PRD-028,48723,58068,0.839,v1,PLN-007,APS
PLAN-20250801-L02,2025-08-01,P01,L02,PRD-071,77986,82062,0.95,v1,PLN-006,APS
PLAN-20250801-L03,2025-08-01,P02,L03,PRD-023,43758,52992,0.826,v3,PLN-008,APS
PLAN-20250801-L04,2025-08-01,P02,L04,PRD-040,31877,34380,0.927,v3,PLN-012,APS
PLAN-20250801-L05,2025-08-01,P03,L05,PRD-010,41844,44946,0.931,v3,PLN-012,APS
PLAN-20250801-L06,2025-08-01,P03,L06,PRD-022,84509,84438,1.001,v3,PLN-005,APS
PLAN-20250802-L01,2025-08-02,P01,L01,PRD-009,44192,58068,0.761,v1,PLN-004,APS
PLAN-20250802-L02,2025-08-02,P01,L02,PRD-062,57095,82062,0.696,v1,PLN-007,APS
PLAN-20250802-L03,2025-08-02,P02,L03,PRD-040,32744,52992,0.618,v1,PLN-008,APS
PLAN-20250802-L04,2025-08-02,P02,L04,PRD-001,24250,34380,0.705,v2,PLN-007,APS
PLAN-20250802-L05,2025-08-02,P03,L05,PRD-049,28486,44946,0.634,v3,PLN-011,APS
PLAN-20250802-L06,2025-08-02,P03,L06,PRD-070,56721,84438,0.672,v1,PLN-009,APS
PLAN-20250803-L01,2025-08-03,P01,L01,PRD-059,35166,58068,0.606,v2,PLN-005,APS
PLAN-20250803-L02,2025-08-03,P01,L02,PRD-020,51210,82062,0.624,v1,PLN-012,APS
PLAN-20250803-L03,2025-08-03,P02,L03,PRD-070,37717,52992,0.712,v1,PLN-011,APS
PLAN-20250803-L04,2025-08-03,P02,L04,PRD-031,23735,34380,0.69,v2,PLN-011,APS
PLAN-20250803-L05,2025-08-03,P03,L05,PRD-052,30852,44946,0.686,v1,PLN-007,APS
PLAN-20250803-L06,2025-08-03,P03,L06,PRD-048,65224,84438,0.772,v3,PLN-001,APS
PLAN-20250804-L01,2025-08-04,P01,L01,PRD-001,55788,58068,0.961,v2,PLN-008,APS
PLAN-20250804-L02,2025-08-04,P01,L02,PRD-011,65617,82062,0.8,v2,PLN-005,APS
PLAN-20250804-L03,2025-08-04,P02,L03,PRD-019,50559,52992,0.954,v3,PLN-009,APS
PLAN-20250804-L04,2025-08-04,P02,L04,PRD-062,31523,34380,0.917,v2,PLN-004,APS
PLAN-20250804-L05,2025-08-04,P03,L05,PRD-075,36701,44946,0.817,v3,PLN-004,APS
PLAN-20250804-L06,2025-08-04,P03,L06,PRD-016,84840,84438,1.005,v1,PLN-012,APS
PLAN-20250805-L01,2025-08-05,P01,L01,PRD-009,47215,58068,0.813,v1,PLN-003,APS
PLAN-20250805-L02,2025-08-05,P01,L02,PRD-012,78106,82062,0.952,v1,PLN-006,APS
PLAN-20250805-L03,2025-08-05,P02,L03,PRD-075,51371,52992,0.969,v1,PLN-009,APS
PLAN-20250805-L04,2025-08-05,P02,L04,PRD-078,27504,34380,0.8,v3,PLN-009,APS
PLAN-20250805-L05,2025-08-05,P03,L05,PRD-079,38921,44946,0.866,v3,PLN-005,APS
PLAN-20250805-L06,2025-08-05,P03,L06,PRD-073,77507,84438,0.918,v1,PLN-002,APS
PLAN-20250806-L01,2025-08-06,P01,L01,PRD-046,46365,58068,0.798,v1,PLN-003,APS
PLAN-20250806-L02,2025-08-06,P01,L02,PRD-039,79433,82062,0.968,v3,PLN-010,APS
PLAN-20250806-L03,2025-08-06,P02,L03,PRD-042,46128,52992,0.87,v1,PLN-010,APS
PLAN-20250806-L04,2025-08-06,P02,L04,PRD-039,27561,34380,0.802,v2,PLN-012,APS
PLAN-20250806-L05,2025-08-06,P03,L05,PRD-064,42966,44946,0.956,v3,PLN-003,APS
PLAN-20250806-L06,2025-08-06,P03,L06,PRD-017,80603,84438,0.955,v1,PLN-012,APS
PLAN-20250807-L01,2025-08-07,P01,L01,PRD-072,49797,58068,0.858,v3,PLN-003,APS
PLAN-20250807-L02,2025-08-07,P01,L02,PRD-005,85156,82062,1.038,v1,PLN-003,APS
PLAN-20250807-L03,2025-08-07,P02,L03,PRD-070,52273,52992,0.986,v3,PLN-008,APS
PLAN-20250807-L04,2025-08-07,P02,L04,PRD-059,34110,34380,0.992,v1,PLN-004,APS
PLAN-20250807-L05,2025-08-07,P03,L05,PRD-002,44504,44946,0.99,v2,PLN-004,APS
PLAN-20250807-L06,2025-08-07,P03,L06,PRD-073,81355,84438,0.963,v1,PLN-011,APS
PLAN-20250808-L01,2025-08-08,P01,L01,PRD-031,56050,58068,0.965,v2,PLN-005,APS
PLAN-20250808-L02,2025-08-08,P01,L02,PRD-069,83590,82062,1.019,v1,PLN-001,APS
PLAN-20250808-L03,2025-08-08,P02,L03,PRD-037,45526,52992,0.859,v2,PLN-002,APS
PLAN-20250808-L04,2025-08-08,P02,L04,PRD-067,31557,34380,0.918,v2,PLN-004,APS
PLAN-20250808-L05,2025-08-08,P03,L05,PRD-044,35933,44946,0.799,v3,PLN-002,APS
PLAN-20250808-L06,2025-08-08,P03,L06,PRD-042,79901,84438,0.946,v1,PLN-005,APS
PLAN-20250809-L01,2025-08-09,P01,L01,PRD-020,39046,58068,0.672,v3,PLN-012,APS
PLAN-20250809-L02,2025-08-09,P01,L02,PRD-012,64511,82062,0.786,v2,PLN-008,APS
PLAN-20250809-L03,2025-08-09,P02,L03,PRD-002,32427,52992,0.612,v3,PLN-012,APS
PLAN-20250809-L04,2025-08-09,P02,L04,PRD-072,20292,34380,0.59,v3,PLN-012,APS
PLAN-20250809-L05,2025-08-09,P03,L05,PRD-012,28295,44946,0.63,v1,PLN-003,APS
PLAN-20250809-L06,2025-08-09,P03,L06,PRD-078,56754,84438,0.672,v2,PLN-009,APS
PLAN-20250810-L01,2025-08-10,P01,L01,PRD-007,44528,58068,0.767,v3,PLN-010,APS
PLAN-20250810-L02,2025-08-10,P01,L02,PRD-012,47855,82062,0.583,v2,PLN-009,APS
PLAN-20250810-L03,2025-08-10,P02,L03,PRD-045,38560,52992,0.728,v1,PLN-003,APS
PLAN-20250810-L04,2025-08-10,P02,L04,PRD-078,27116,34380,0.789,v1,PLN-003,APS
PLAN-20250810-L05,2025-08-10,P03,L05,PRD-077,34299,44946,0.763,v2,PLN-010,APS
PLAN-20250810-L06,2025-08-10,P03,L06,PRD-035,56816,84438,0.673,v1,PLN-001,APS
PLAN-20250811-L01,2025-08-11,P01,L01,PRD-077,56920,58068,0.98,v1,PLN-006,APS
PLAN-20250811-L02,2025-08-11,P01,L02,PRD-069,74862,82062,0.912,v1,PLN-006,APS
PLAN-20250811-L03,2025-08-11,P02,L03,PRD-048,43378,52992,0.819,v1,PLN-012,APS
PLAN-20250811-L04,2025-08-11,P02,L04,PRD-046,30876,34380,0.898,v2,PLN-011,APS
PLAN-20250811-L05,2025-08-11,P03,L05,PRD-029,46325,44946,1.031,v3,PLN-012,APS
PLAN-20250811-L06,2025-08-11,P03,L06,PRD-054,88855,84438,1.052,v1,PLN-006,APS
PLAN-20250812-L01,2025-08-12,P01,L01,PRD-068,46901,58068,0.808,v3,PLN-009,APS
PLAN-20250812-L02,2025-08-12,P01,L02,PRD-035,74856,82062,0.912,v2,PLN-005,APS
PLAN-20250812-L03,2025-08-12,P02,L03,PRD-050,53782,52992,1.015,v3,PLN-001,APS
PLAN-20250812-L04,2025-08-12,P02,L04,PRD-067,29758,34380,0.866,v1,PLN-002,APS
PLAN-20250812-L05,2025-08-12,P03,L05,PRD-015,42401,44946,0.943,v1,PLN-005,APS
PLAN-20250812-L06,2025-08-12,P03,L06,PRD-013,86514,84438,1.025,v3,PLN-001,APS
PLAN-20250813-L01,2025-08-13,P01,L01,PRD-046,56609,58068,0.975,v3,PLN-009,APS
PLAN-20250813-L02,2025-08-13,P01,L02,PRD-005,75372,82062,0.918,v3,PLN-005,APS
PLAN-20250813-L03,2025-08-13,P02,L03,PRD-075,52737,52992,0.995,v2,PLN-008,APS
PLAN-20250813-L04,2025-08-13,P02,L04,PRD-079,33541,34380,0.976,v3,PLN-009,APS
PLAN-20250813-L05,2025-08-13,P03,L05,PRD-002,36350,44946,0.809,v1,PLN-002,APS
PLAN-20250813-L06,2025-08-13,P03,L06,PRD-048,85470,84438,1.012,v2,PLN-003,APS
PLAN-20250814-L01,2025-08-14,P01,L01,PRD-007,50791,58068,0.875,v3,PLN-002,APS
PLAN-20250814-L02,2025-08-14,P01,L02,PRD-029,79801,82062,0.972,v1,PLN-006,APS
PLAN-20250814-L03,2025-08-14,P02,L03,PRD-027,45429,52992,0.857,v3,PLN-003,APS
PLAN-20250814-L04,2025-08-14,P02,L04,PRD-024,30593,34380,0.89,v3,PLN-003,APS
PLAN-20250814-L05,2025-08-14,P03,L05,PRD-007,36757,44946,0.818,v2,PLN-007,APS
PLAN-20250814-L06,2025-08-14,P03,L06,PRD-062,86059,84438,1.019,v3,PLN-012,APS
PLAN-20250815-L01,2025-08-15,P01,L01,PRD-008,59095,58068,1.018,v2,PLN-008,APS
PLAN-20250815-L02,2025-08-15,P01,L02,PRD-066,69173,82062,0.843,v3,PLN-008,APS
PLAN-20250815-L03,2025-08-15,P02,L03,PRD-027,44305,52992,0.836,v3,PLN-006,APS
PLAN-20250815-L04,2025-08-15,P02,L04,PRD-006,35413,34380,1.03,v2,PLN-012,APS
PLAN-20250815-L05,2025-08-15,P03,L05,PRD-039,44897,44946,0.999,v2,PLN-008,APS
PLAN-20250815-L06,2025-08-15,P03,L06,PRD-074,83887,84438,0.993,v1,PLN-012,APS
