work_order_id,sales_order_id,plant_id,line_id,product_id,planned_start_datetime,planned_end_datetime,actual_start_datetime,actual_end_datetime,planned_quantity,actual_quantity,rejected_quantity,rework_quantity,work_order_status,priority_level,operator_team_id,source_system,load_timestamp
WO-000001,SO-000466,P01,L01,PRD-028,2025-08-01 14:00:00,2025-08-01 21:45:00,2025-08-01 15:11:00,2025-08-01 23:01:00,14225,14407,324,154,completed,urgent,TEAM-C,MES,2026-07-09 13:20:34
WO-000002,SO-001493,P01,L01,PRD-023,2025-08-01 22:00:00,2025-08-02 05:45:00,2025-08-01 21:50:00,2025-08-02 07:58:00,12226,11008,374,77,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000003,,P01,L01,PRD-028,2025-08-01 03:00:00,2025-08-01 10:45:00,2025-08-01 03:38:00,2025-08-01 12:44:00,18523,16628,774,411,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000004,,P01,L02,PRD-071,2025-08-01 10:00:00,2025-08-01 17:45:00,2025-08-01 09:45:00,2025-08-01 18:09:00,29308,25508,1148,444,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000005,SO-002669,P01,L02,PRD-064,2025-08-01 16:00:00,2025-08-01 23:45:00,2025-08-01 16:12:00,2025-08-02 01:37:00,24320,22814,421,201,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000006,SO-000925,P01,L02,PRD-071,2025-08-01 04:00:00,2025-08-01 11:45:00,2025-08-01 03:48:00,2025-08-01 13:27:00,25261,23430,526,206,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000007,,P02,L03,PRD-023,2025-08-01 09:00:00,2025-08-01 16:45:00,2025-08-01 08:51:00,2025-08-01 17:41:00,17193,15611,727,294,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000008,SO-000323,P02,L03,PRD-023,2025-08-01 17:00:00,2025-08-02 00:45:00,2025-08-01 17:41:00,2025-08-02 02:11:00,12356,10740,397,168,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000009,,P02,L03,PRD-023,2025-08-01 05:00:00,2025-08-01 12:45:00,2025-08-01 05:01:00,2025-08-01 13:06:00,13222,11594,454,247,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000010,,P02,L04,PRD-040,2025-08-01 14:00:00,2025-08-01 21:45:00,2025-08-01 14:00:00,2025-08-02 00:08:00,11409,10370,451,220,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000011,SO-003873,P02,L04,PRD-040,2025-08-01 19:00:00,2025-08-02 02:45:00,2025-08-01 18:45:00,2025-08-02 04:29:00,12013,10943,426,192,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000012,SO-002619,P02,L04,PRD-040,2025-08-01 01:00:00,2025-08-01 08:45:00,2025-08-01 01:51:00,2025-08-01 11:16:00,12227,11325,655,263,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000013,SO-003465,P03,L05,PRD-010,2025-08-01 10:00:00,2025-08-01 17:45:00,2025-08-01 09:58:00,2025-08-01 18:42:00,11828,12052,477,130,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000014,SO-005027,P03,L05,PRD-010,2025-08-01 17:00:00,2025-08-02 00:45:00,2025-08-01 18:21:00,2025-08-02 02:33:00,14129,12725,418,146,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000015,SO-002315,P03,L05,PRD-010,2025-08-01 01:00:00,2025-08-01 08:45:00,2025-08-01 00:51:00,2025-08-01 10:08:00,16594,16472,927,389,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000016,SO-004220,P03,L06,PRD-022,2025-08-01 07:00:00,2025-08-01 14:45:00,2025-08-01 08:04:00,2025-08-01 16:29:00,31460,30618,1539,327,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000017,SO-004469,P03,L06,PRD-022,2025-08-01 20:00:00,2025-08-02 03:45:00,2025-08-01 19:48:00,2025-08-02 04:14:00,30242,26406,756,318,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000018,SO-000518,P03,L06,PRD-022,2025-08-01 06:00:00,2025-08-01 13:45:00,2025-08-01 05:45:00,2025-08-01 13:55:00,25110,24859,491,264,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000019,SO-003633,P01,L01,PRD-009,2025-08-02 16:00:00,2025-08-02 23:45:00,2025-08-02 15:59:00,2025-08-03 00:09:00,14523,13114,455,226,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000020,SO-002610,P01,L02,PRD-062,2025-08-02 10:00:00,2025-08-02 17:45:00,2025-08-02 09:45:00,2025-08-02 18:32:00,20517,20969,417,191,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000021,,P02,L03,PRD-040,2025-08-02 09:00:00,2025-08-02 16:45:00,2025-08-02 09:14:00,2025-08-02 17:52:00,12398,11870,463,106,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
