inspection_id,run_id,work_order_id,product_id,machine_id,inspection_datetime,sample_size,defect_count,defect_code,measurement_1,measurement_2,lower_spec_limit,upper_spec_limit,pass_fail,inspector_id,source_system
QI-0000001,RUN-000001,WO-000001,PRD-028,MCH-004,2025-08-01 19:55:29,125,6,DIMENSION,10.2793,5.1381,10.2,10.44,pass,INS-003,QMS
QI-0000002,RUN-000002,WO-000001,PRD-028,MCH-002,2025-08-01 23:35:58,100,3,DIMENSION,10.2858,5.2002,10.2,10.44,pass,INS-024,QMS
QI-0000003,RUN-000003,WO-000002,PRD-023,MCH-004,2025-08-02 02:08:22,50,2,SURFACE_DENT,10.3115,5.1637,10.13,10.37,fail,INS-020,QMS
QI-0000004,RUN-000004,WO-000002,PRD-023,MCH-001,2025-08-02 06:42:44,100,6,CONTAMINATION,10.2038,5.1743,10.13,10.37,pass,INS-004,QMS
QI-0000005,RUN-000005,WO-000003,PRD-028,MCH-006,2025-08-01 08:32:34,125,3,CONTAMINATION,10.3052,5.2136,10.2,10.44,pass,INS-004,QMS
QI-0000006,RUN-000006,WO-000003,PRD-028,MCH-001,2025-08-01 12:17:08,125,3,SOLDER_VOID,10.3084,5.1797,10.2,10.44,fail,INS-014,QMS
QI-0000007,RUN-000007,WO-000004,PRD-071,MCH-007,2025-08-01 14:08:10,100,7,MISSING_PART,10.3108,5.1737,10.19,10.43,fail,INS-020,QMS
QI-0000008,RUN-000008,WO-000004,PRD-071,MCH-012,2025-08-01 17:36:21,100,7,SURFACE_DENT,10.3802,5.1571,10.19,10.43,fail,INS-009,QMS
QI-0000009,RUN-000009,WO-000005,PRD-064,MCH-012,2025-08-01 20:35:02,50,2,SCRATCH,10.2263,5.1141,10.125,10.365,pass,INS-021,QMS
QI-0000010,RUN-000010,WO-000005,PRD-064,MCH-008,2025-08-02 00:44:05,50,1,SOLDER_VOID,10.2073,5.1283,10.125,10.365,fail,INS-018,QMS
QI-0000011,RUN-000011,WO-000006,PRD-071,MCH-011,2025-08-01 09:01:52,200,6,NONE,10.3209,5.1892,10.19,10.43,pass,INS-019,QMS
QI-0000012,RUN-000012,WO-000006,PRD-071,MCH-009,2025-08-01 12:47:44,200,10,CONTAMINATION,10.3412,5.2074,10.19,10.43,pass,INS-003,QMS
QI-0000013,RUN-000013,WO-000007,PRD-023,MCH-018,2025-08-01 13:23:40,100,6,SCRATCH,10.2328,5.1023,10.13,10.37,pass,INS-002,QMS
QI-0000014,RUN-000014,WO-000007,PRD-023,MCH-017,2025-08-01 16:11:21,200,2,MISSING_PART,10.2261,5.2059,10.13,10.37,pass,INS-001,QMS
QI-0000015,RUN-000015,WO-000008,PRD-023,MCH-018,2025-08-01 21:40:45,125,8,CONTAMINATION,10.2232,5.1537,10.13,10.37,fail,INS-003,QMS
QI-0000016,RUN-000016,WO-000008,PRD-023,MCH-015,2025-08-02 01:39:31,200,7,CONTAMINATION,10.2859,5.1586,10.13,10.37,pass,INS-002,QMS
QI-0000017,RUN-000017,WO-000009,PRD-023,MCH-015,2025-08-01 09:12:07,100,2,SURFACE_DENT,10.2094,5.1838,10.13,10.37,pass,INS-008,QMS
QI-0000018,RUN-000018,WO-000009,PRD-023,MCH-018,2025-08-01 13:19:15,80,3,SCRATCH,10.2406,5.1225,10.13,10.37,pass,INS-022,QMS
QI-0000019,RUN-000019,WO-000010,PRD-040,MCH-019,2025-08-01 18:51:53,80,5,MISSING_PART,10.4307,5.2433,10.3,10.54,fail,INS-009,QMS
QI-0000020,RUN-000020,WO-000010,PRD-040,MCH-023,2025-08-01 22:25:46,125,12,SCRATCH,10.3231,5.2714,10.3,10.54,fail,INS-006,QMS
QI-0000021,RUN-000021,WO-000011,PRD-040,MCH-021,2025-08-01 23:08:55,125,14,SURFACE_DENT,10.4028,5.3076,10.3,10.54,fail,INS-022,QMS
QI-0000022,RUN-000022,WO-000011,PRD-040,MCH-022,2025-08-02 03:10:51,80,8,SCRATCH,10.4762,5.2578,10.3,10.54,fail,INS-016,QMS
QI-0000023,RUN-000023,WO-000012,PRD-040,MCH-023,2025-08-01 06:11:18,50,6,NONE,10.4398,5.2476,10.3,10.54,fail,INS-002,QMS
QI-0000024,RUN-000024,WO-000012,PRD-040,MCH-019,2025-08-01 10:21:36,50,5,SURFACE_DENT,10.4042,5.2135,10.3,10.54,fail,INS-023,QMS
QI-0000025,RUN-000025,WO-000013,PRD-010,MCH-027,2025-08-01 13:39:54,100,5,DIMENSION,10.3235,5.2305,10.225,10.465,pass,INS-008,QMS
QI-0000026,RUN-000026,WO-000013,PRD-010,MCH-028,2025-08-01 18:35:48,200,10,NONE,10.3573,5.1809,10.225,10.465,pass,INS-023,QMS
QI-0000027,RUN-000027,WO-000014,PRD-010,MCH-025,2025-08-01 22:14:21,200,4,CONTAMINATION,10.3472,5.2181,10.225,10.465,pass,INS-011,QMS
QI-0000028,RUN-000028,WO-000014,PRD-010,MCH-028,2025-08-02 02:39:42,125,4,CONTAMINATION,10.3545,5.1754,10.225,10.465,pass,INS-012,QMS
QI-0000029,RUN-000029,WO-000015,PRD-010,MCH-028,2025-08-01 05:53:41,80,2,SCRATCH,10.3598,5.1914,10.225,10.465,pass,INS-020,QMS
QI-0000030,RUN-000030,WO-000015,PRD-010,MCH-027,2025-08-01 09:57:22,125,1,CONTAMINATION,10.3146,5.2262,10.225,10.465,pass,INS-001,QMS
QI-0000031,RUN-000031,WO-000016,PRD-022,MCH-032,2025-08-01 12:05:05,80,3,CONTAMINATION,10.213,5.1603,10.095,10.335,pass,INS-022,QMS
QI-0000032,RUN-000032,WO-000016,PRD-022,MCH-031,2025-08-01 16:27:10,100,3,CONTAMINATION,10.2071,5.143,10.095,10.335,pass,INS-010,QMS
QI-0000033,RUN-000033,WO-000017,PRD-022,MCH-033,2025-08-02 00:34:49,50,3,SOLDER_VOID,10.2197,5.0806,10.095,10.335,pass,INS-008,QMS
QI-0000034,RUN-000034,WO-000017,PRD-022,MCH-034,2025-08-02 04:26:39,200,6,CONTAMINATION,10.2274,5.1284,10.095,10.335,pass,INS-015,QMS
QI-0000035,RUN-000035,WO-000018,PRD-022,MCH-034,2025-08-01 09:41:10,100,2,SURFACE_DENT,10.2065,5.102,10.095,10.335,pass,INS-018,QMS
QI-0000036,RUN-000036,WO-000018,PRD-022,MCH-032,2025-08-01 12:35:20,50,2,MISSING_PART,10.2079,5.1222,10.095,10.335,pass,INS-001,QMS
QI-0000037,RUN-000037,WO-000019,PRD-009,MCH-006,2025-08-02 20:17:22,50,4,SURFACE_DENT,10.2103,5.1159,10.13,10.37,fail,INS-009,QMS
QI-0000038,RUN-000038,WO-000019,PRD-009,MCH-004,2025-08-03 00:47:45,50,4,SCRATCH,10.2328,5.1384,10.13,10.37,fail,INS-006,QMS
QI-0000039,RUN-000039,WO-000020,PRD-062,MCH-011,2025-08-02 13:19:30,80,9,CONTAMINATION,,5.1893,10.22,10.46,fail,INS-004,QMS
QI-0000040,RUN-000040,WO-000020,PRD-062,MCH-010,2025-08-02 17:28:01,80,7,MISSING_PART,10.3223,5.1975,10.22,10.46,fail,INS-006,QMS
QI-0000041,RUN-000041,WO-000021,PRD-040,MCH-014,2025-08-02 13:25:31,100,12,CONTAMINATION,10.3672,5.2579,10.3,10.54,fail,INS-005,QMS
QI-0000042,RUN-000042,WO-000021,PRD-040,MCH-013,2025-08-02 16:39:03,200,23,SCRATCH,10.4061,5.2156,10.3,10.54,fail,INS-003,QMS
QI-0000043,RUN-000043,WO-000022,PRD-040,MCH-013,2025-08-02 20:57:10,125,13,SURFACE_DENT,10.3791,5.2518,10.3,10.54,fail,INS-009,QMS
QI-0000044,RUN-000044,WO-000022,PRD-040,MCH-015,2025-08-03 00:46:20,200,22,SCRATCH,10.4486,5.2759,10.3,10.54,fail,INS-009,QMS
QI-0000045,RUN-000045,WO-000023,PRD-057,MCH-016,2025-08-02 09:02:17,50,2,MISSING_PART,10.2359,5.1646,10.16,10.4,pass,INS-015,QMS
QI-0000046,RUN-000046,WO-000023,PRD-057,MCH-013,2025-08-02 12:27:34,200,8,CONTAMINATION,10.2637,5.1499,10.16,10.4,pass,INS-012,QMS
QI-0000047,RUN-000047,WO-000024,PRD-001,MCH-023,2025-08-02 20:13:24,200,10,MISSING_PART,10.4366,5.212,10.29,10.53,pass,INS-002,QMS
QI-0000048,RUN-000048,WO-000024,PRD-001,MCH-019,2025-08-02 23:47:48,80,7,DIMENSION,10.3582,5.2113,10.29,10.53,fail,INS-010,QMS
QI-0000049,RUN-000049,WO-000025,PRD-049,MCH-028,2025-08-02 15:57:15,100,13,SCRATCH,10.4682,5.3243,10.38,10.62,fail,INS-022,QMS
QI-0000050,RUN-000050,WO-000025,PRD-049,MCH-029,2025-08-02 19:27:31,50,6,CONTAMINATION,10.5484,5.313,10.38,10.62,fail,INS-008,QMS
QI-0000051,RUN-000051,WO-000026,PRD-080,MCH-027,2025-08-02 20:32:21,100,5,SURFACE_DENT,10.2573,5.1958,10.14,10.38,pass,INS-022,QMS
QI-0000052,RUN-000052,WO-000026,PRD-080,MCH-028,2025-08-03 00:32:43,125,2,SOLDER_VOID,10.2158,5.146,10.14,10.38,pass,INS-009,QMS
QI-0000053,RUN-000053,WO-000027,PRD-070,MCH-032,2025-08-02 14:34:28,200,6,SCRATCH,10.1258,5.1574,10.075,10.315,pass,INS-007,QMS
QI-0000054,RUN-000054,WO-000027,PRD-070,MCH-034,2025-08-02 17:59:56,200,2,DIMENSION,10.2407,5.1619,10.075,10.315,pass,INS-018,QMS
QI-0000055,RUN-000055,WO-000028,PRD-070,MCH-032,2025-08-02 07:29:51,125,2,SURFACE_DENT,10.1909,5.1251,10.075,10.315,pass,INS-004,QMS
