downtime_id,event_id,machine_id,line_id,downtime_start,downtime_end,downtime_minutes,reason_code,severity,linked_work_order_id,recorded_by
DT-0000001,EVT-00000007,MCH-004,L01,2025-08-02 00:54:00,2025-08-02 01:41:01,47.02,,medium,WO-000002,OP-0009
DT-0000002,EVT-00000011,MCH-001,L01,2025-08-01 23:51:00,2025-08-02 00:38:01,47.02,UNKNOWN,medium,WO-000002,OP-0010
DT-0000003,EVT-00000015,MCH-006,L01,2025-08-01 07:45:00,2025-08-01 08:06:24,21.4,JAM,medium,WO-000003,OP-0064
DT-0000004,EVT-00000019,MCH-001,L01,2025-08-01 05:53:00,2025-08-01 06:14:24,21.4,MICRO_STOP,medium,WO-000003,OP-0066
DT-0000005,EVT-00000023,MCH-007,L02,2025-08-01 12:19:00,2025-08-01 12:46:48,27.81,JAM,medium,WO-000004,OP-0043
DT-0000006,EVT-00000027,MCH-012,L02,2025-08-01 14:13:00,2025-08-01 14:40:48,27.81,JAM,medium,WO-000004,OP-0046
DT-0000007,EVT-00000031,MCH-012,L02,2025-08-01 20:34:00,2025-08-01 21:01:23,27.39,MICRO_STOP,medium,WO-000005,OP-0070
DT-0000008,EVT-00000035,MCH-008,L02,2025-08-01 17:50:00,2025-08-01 18:17:23,27.39,MICRO_STOP,medium,WO-000005,OP-0022
DT-0000009,EVT-00000039,MCH-011,L02,2025-08-01 08:47:00,2025-08-01 09:25:26,38.44,UNKNOWN,medium,WO-000006,OP-0030
DT-0000010,EVT-00000043,MCH-009,L02,2025-08-01 05:24:00,2025-08-01 06:02:26,38.44,MATERIAL_WAIT,medium,WO-000006,OP-0005
DT-0000011,EVT-00000047,MCH-018,L03,2025-08-01 12:39:00,2025-08-01 13:16:01,37.02,SENSOR_FAULT,medium,WO-000007,OP-0060
DT-0000012,EVT-00000050,MCH-017,L03,2025-08-01 12:17:00,2025-08-01 12:54:01,37.02,JAM,medium,WO-000007,OP-0032
DT-0000013,EVT-00000053,MCH-018,L03,2025-08-01 22:39:00,2025-08-01 23:09:36,30.62,JAM,medium,WO-000008,OP-0068
DT-0000014,EVT-00000057,MCH-015,L03,2025-08-01 22:27:00,2025-08-01 22:57:36,30.62,MICRO_STOP,medium,WO-000008,OP-0023
DT-0000015,EVT-00000061,MCH-015,L03,2025-08-01 07:03:00,2025-08-01 07:16:02,13.05,JAM,medium,WO-000009,OP-0047
DT-0000016,EVT-00000064,MCH-018,L03,2025-08-01 10:22:00,2025-08-01 10:35:02,13.05,SENSOR_FAULT,medium,WO-000009,OP-0019
DT-0000017,EVT-00000067,MCH-019,L04,2025-08-01 17:05:00,2025-08-01 17:57:26,52.44,JAM,medium,WO-000010,OP-0070
DT-0000018,EVT-00000071,MCH-023,L04,2025-08-01 15:36:00,2025-08-01 16:28:26,52.44,UNKNOWN,medium,WO-000010,OP-0067
