date,product_id,machine_id,inspection_count,sample_size,defect_count,fail_count,defect_rate
2025-08-01,PRD-028,MCH-004,1,125,6,0,0.048
2025-08-01,PRD-028,MCH-002,1,100,3,0,0.03
2025-08-02,PRD-023,MCH-004,1,50,2,1,0.04
2025-08-02,PRD-023,MCH-001,1,100,6,0,0.06
2025-08-01,PRD-028,MCH-006,1,125,3,0,0.024
2025-08-01,PRD-028,MCH-001,1,125,3,1,0.024
2025-08-01,PRD-071,MCH-007,1,100,7,1,0.07
2025-08-01,PRD-071,MCH-012,1,100,7,1,0.07
2025-08-01,PRD-064,MCH-012,1,50,2,0,0.04
2025-08-02,PRD-064,MCH-008,1,50,1,1,0.02
2025-08-01,PRD-071,MCH-011,1,200,6,0,0.03
2025-08-01,PRD-071,MCH-009,1,200,10,0,0.05
2025-08-01,PRD-023,MCH-018,3,305,17,1,0.05574
2025-08-01,PRD-023,MCH-017,1,200,2,0,0.01
2025-08-02,PRD-023,MCH-015,1,200,7,0,0.035
2025-08-01,PRD-023,MCH-015,1,100,2,0,0.02
2025-08-01,PRD-040,MCH-019,2,130,10,2,0.07692
2025-08-01,PRD-040,MCH-023,2,175,18,2,0.10286
2025-08-01,PRD-040,MCH-021,1,125,14,1,0.112
2025-08-02,PRD-040,MCH-022,1,80,8,1,0.1
2025-08-01,PRD-010,MCH-027,2,225,6,0,0.02667
2025-08-01,PRD-010,MCH-028,2,280,12,0,0.04286
2025-08-01,PRD-010,MCH-025,1,200,4,0,0.02
2025-08-02,PRD-010,MCH-028,1,125,4,0,0.032
2025-08-01,PRD-022,MCH-032,2,130,5,0,0.03846
2025-08-01,PRD-022,MCH-031,1,100,3,0,0.03
2025-08-02,PRD-022,MCH-033,1,50,3,0,0.06
2025-08-02,PRD-022,MCH-034,1,200,6,0,0.03
2025-08-01,PRD-022,MCH-034,1,100,2,0,0.02
2025-08-02,PRD-009,MCH-006,1,50,4,1,0.08
2025-08-03,PRD-009,MCH-004,1,50,4,1,0.08
2025-08-02,PRD-062,MCH-011,1,80,9,1,0.1125
2025-08-02,PRD-062,MCH-010,1,80,7,1,0.0875
2025-08-02,PRD-040,MCH-014,1,100,12,1,0.12
2025-08-02,PRD-040,MCH-013,2,325,36,2,0.11077
2025-08-03,PRD-040,MCH-015,1,200,22,1,0.11
2025-08-02,PRD-057,MCH-016,1,50,2,0,0.04
2025-08-02,PRD-057,MCH-013,1,200,8,0,0.04
2025-08-02,PRD-001,MCH-023,1,200,10,0,0.05
2025-08-02,PRD-001,MCH-019,1,80,7,1,0.0875
2025-08-02,PRD-049,MCH-028,1,100,13,1,0.13
2025-08-02,PRD-049,MCH-029,1,50,6,1,0.12
2025-08-02,PRD-080,MCH-027,1,100,5,0,0.05
2025-08-03,PRD-080,MCH-028,1,125,2,0,0.016
2025-08-02,PRD-070,MCH-032,2,325,8,0,0.02462
2025-08-02,PRD-070,MCH-034,1,200,2,0,0.01
2025-08-02,PRD-070,MCH-033,1,125,4,0,0.032
2025-08-03,PRD-020,MCH-011,1,50,5,1,0.1
2025-08-04,PRD-020,MCH-007,1,80,7,1,0.0875
2025-08-03,PRD-070,MCH-013,1,50,2,0,0.04
2025-08-03,PRD-070,MCH-016,2,205,6,0,0.02927
2025-08-03,PRD-070,MCH-018,1,125,3,0,0.024
2025-08-04,PRD-031,MCH-023,1,80,5,1,0.0625
2025-08-04,PRD-031,MCH-021,1,80,4,0,0.05
2025-08-03,PRD-031,MCH-024,1,125,7,0,0.056
2025-08-03,PRD-031,MCH-019,1,200,7,0,0.035
2025-08-04,PRD-052,MCH-028,1,200,16,1,0.08
2025-08-04,PRD-052,MCH-025,1,125,11,1,0.088
2025-08-04,PRD-048,MCH-033,1,100,2,0,0.02
2025-08-04,PRD-048,MCH-032,1,100,3,0,0.03
2025-08-04,PRD-079,MCH-006,1,200,10,0,0.05
2025-08-04,PRD-079,MCH-005,1,100,7,1,0.07
2025-08-05,PRD-001,MCH-006,1,200,21,1,0.105
2025-08-05,PRD-001,MCH-001,1,200,16,1,0.08
2025-08-04,PRD-064,MCH-003,1,200,7,0,0.035
2025-08-04,PRD-064,MCH-004,1,50,2,0,0.04
2025-08-04,PRD-017,MCH-010,1,200,5,0,0.025
2025-08-04,PRD-017,MCH-009,1,80,2,0,0.025
2025-08-04,PRD-035,MCH-008,1,125,4,0,0.032
2025-08-05,PRD-035,MCH-007,1,100,1,0,0.01
2025-08-04,PRD-011,MCH-011,1,100,4,0,0.04
2025-08-04,PRD-011,MCH-010,1,80,1,0,0.0125
2025-08-04,PRD-019,MCH-013,1,125,18,1,0.144
2025-08-04,PRD-019,MCH-015,1,200,23,1,0.115
2025-08-04,PRD-019,MCH-018,1,100,10,1,0.1
2025-08-05,PRD-019,MCH-013,1,125,14,1,0.112
2025-08-04,PRD-015,MCH-017,1,125,7,0,0.056
2025-08-04,PRD-015,MCH-015,1,80,4,1,0.05
2025-08-04,PRD-062,MCH-024,2,250,31,2,0.124
2025-08-04,PRD-062,MCH-022,1,100,7,1,0.07
2025-08-05,PRD-062,MCH-022,1,100,10,1,0.1
