invoice_id,sales_order_id,invoice_date,customer_id,product_id,quantity,gross_amount,discount_amount,net_amount,standard_cost,margin_amount,payment_status
INV-000001,SO-000001,20/4/2026,CUST-0071,PRD-075,4178,2558732.54,255873.25,2302859.29,1562613.78,740245.51,open
INV-000002,SO-000002,14/6/2026,CUST-0025,PRD-040,10273,6664608.75,0,6664608.75,4912548.6,1752060.15,open
INV-000003,SO-000003,29/6/2026,CUST-0001,PRD-033,1074,519719.34,15591.58,504127.76,298550.52,205577.24,paid
INV-000004,SO-000004,12/10/2025,CUST-0048,PRD-062,5279,278836.78,8365.1,270471.68,216650.16,53821.52,paid
INV-000005,SO-000005,30/8/2025,CUST-0090,PRD-069,2094,2168441.7,108422.08,2060019.61,1286155.74,773863.87,overdue
INV-000006,SO-000006,27/4/2026,CUST-0066,PRD-027,9739,6852068.23,0,6852068.23,4844568.16,2007500.07,open
INV-000007,SO-000007,20/7/2026,CUST-0035,PRD-051,2346,956745.72,76539.66,880206.06,718650.18,161555.88,open
INV-000008,SO-000008,3/9/2025,CUST-0102,PRD-013,14196,5218875.48,52188.75,5166686.73,2908476.48,2258210.25,paid
INV-000009,SO-000009,17/10/2025,CUST-0001,PRD-018,1429,216707.85,2167.08,214540.77,122679.65,91861.12,paid
INV-000010,SO-000010,1/12/2025,CUST-0100,PRD-043,1750,847595,8475.95,839119.05,601772.5,237346.55,paid
INV-000011,SO-000011,3/1/2026,CUST-0057,PRD-065,4737,5197720.62,51977.21,5145743.41,2943334.95,2202408.46,paid
INV-000012,SO-000012,3/10/2025,CUST-0066,PRD-052,6341,4398941.93,219947.1,4178994.83,2891813.05,1287181.78,paid
INV-000013,SO-000013,30/10/2025,CUST-0014,PRD-030,2097,1197072.45,11970.72,1185101.73,840624.39,344477.34,paid
INV-000014,SO-000014,20/2/2026,CUST-0045,PRD-052,2350,1670826.5,0,1670826.5,1071717.5,599109,paid
INV-000015,SO-000015,17/6/2026,CUST-0044,PRD-059,2777,778198.71,38909.94,739288.77,611356.55,127932.22,paid
INV-000017,SO-000017,21/9/2025,CUST-0002,PRD-072,3735,2400185.7,120009.29,2280176.42,1481413.05,798763.36,paid
INV-000018,SO-000018,27/5/2026,CUST-0120,PRD-075,991,631980.52,63198.05,568782.47,370643.91,198138.56,paid
INV-000019,SO-000019,6/4/2026,CUST-0082,PRD-079,1742,585886.86,11717.74,574169.12,338418.34,235750.78,paid
INV-000020,SO-000020,22/5/2026,CUST-0089,PRD-064,15392,1851349.76,0,1851349.76,958305.92,893043.84,paid
INV-000021,SO-000021,16/11/2025,CUST-0026,PRD-005,2849,610056.37,30502.82,579553.55,458802.96,120750.59,paid
INV-000022,SO-000022,20/3/2026,CUST-0047,PRD-011,1816,809028,64722.24,744305.76,715504,28801.76,paid
INV-000023,SO-000023,6/5/2026,CUST-0108,PRD-042,3470,140951.4,1409.51,139541.89,105418.6,34123.29,paid
INV-000024,SO-000024,3/6/2026,CUST-0025,PRD-026,2181,737919.54,18447.99,719471.55,586230.99,133240.56,paid
INV-000025,SO-000025,11/10/2025,CUST-0077,PRD-059,1608,478991.04,0,478991.04,354001.2,124989.84,paid
INV-000026,SO-000026,22/10/2025,CUST-0114,PRD-080,3155,2171933.55,0,2171933.55,1624351.75,547581.8,paid
INV-000027,SO-000027,27/12/2025,CUST-0037,PRD-001,7044,2548096.56,38221.45,2509875.11,1412462.88,1097412.23,paid
INV-000028,SO-000028,26/4/2026,CUST-0074,PRD-003,6105,2980705.2,238456.42,2742248.78,1723258.35,1018990.43,paid
INV-000029,SO-000029,22/10/2025,CUST-0096,PRD-041,1100,973038,48651.9,924386.1,564795,359591.1,paid
INV-000031,SO-000031,30/3/2026,CUST-0053,PRD-047,4737,4989103.14,49891.03,4939212.11,2797340.61,2141871.5,paid
INV-000032,SO-000032,20/12/2025,CUST-0041,PRD-020,4435,3077579.55,307757.96,2769821.59,1829614.9,940206.69,open
INV-000034,SO-000034,25/9/2025,CUST-0022,PRD-057,1862,914316.48,45715.82,868600.66,677023.2,191577.46,open
INV-000035,SO-000035,23/2/2026,CUST-0049,PRD-073,7272,4784685.12,47846.85,4736838.27,3317268.24,1419570.03,paid
INV-000036,SO-000036,7/11/2025,CUST-0034,PRD-055,5995,3691481.2,184574.06,3506907.14,2287512.15,1219394.99,paid
INV-000037,SO-000037,18/5/2026,CUST-0061,PRD-035,3792,946672.8,18933.46,927739.34,676606.56,251132.78,paid
INV-000038,SO-000038,15/6/2026,CUST-0062,PRD-071,6317,349330.1,6986.6,342343.5,257733.6,84609.9,open
INV-000039,SO-000039,23/12/2025,CUST-0003,PRD-041,2375,1833025,36660.5,1796364.5,1219443.75,576920.75,open
INV-000040,SO-000040,29/6/2026,CUST-0074,PRD-023,7611,3170285.94,95108.58,3075177.36,2827638.72,247538.64,paid
INV-000041,SO-000041,30/4/2026,CUST-0065,PRD-060,3357,1711432.17,17114.32,1694317.85,1233596.79,460721.06,open
INV-000042,SO-000042,21/4/2026,CUST-0001,PRD-039,1932,1166541.6,34996.25,1131545.35,750195.6,381349.75,open
INV-000043,SO-000043,5/3/2026,CUST-0039,PRD-014,3820,2380127.4,119006.37,2261121.03,1532889.6,728231.43,open
