run_id,work_order_id,plant_id,line_id,machine_id,product_id,feature_date,setup_minutes,speed_ratio,operator_experience_years,operator_fairness_group,product_complexity_score,supplier_quality_score,avg_temperature_24h,max_vibration_24h,line_utilization_rate,previous_defect_rate_7d,defect_rate,high_defect_risk,dominant_defect_code,split
RUN-000025,WO-000013,P03,L05,MCH-027,PRD-010,2025-08-01,17.0,1.0818,0.2,G3_junior,6.9,97.0,51.402,2.693,0.865,0.0975,0.05,0,DIMENSION,train
RUN-000026,WO-000013,P03,L05,MCH-028,PRD-010,2025-08-01,21.97,0.8926,1.2,G3_junior,6.9,97.0,55.0,3.187,1.043,0.0556,0.05,0,NONE,train
RUN-000027,WO-000014,P03,L05,MCH-025,PRD-010,2025-08-01,31.04,1.1369,7.1,G2_mid,6.9,97.0,52.872,3.58,0.891,0,0.02,0,CONTAMINATION,train
RUN-000028,WO-000014,P03,L05,MCH-028,PRD-010,2025-08-01,24.83,1.1419,7.2,G2_mid,6.9,97.0,55.0,3.187,0.679,0.0467,0.032,0,CONTAMINATION,train
RUN-000029,WO-000015,P03,L05,MCH-028,PRD-010,2025-08-01,31.43,1.0207,1.4,G3_junior,6.9,97.0,55.0,3.187,0.715,0.0576,0.025,0,SCRATCH,train
RUN-000030,WO-000015,P03,L05,MCH-027,PRD-010,2025-08-01,30.9,0.9596,18,G1_senior,6.9,97.0,51.402,2.693,0.74,0.0093,0.008,0,CONTAMINATION,train
RUN-000031,WO-000016,P03,L06,MCH-032,PRD-022,2025-08-01,22.19,1.1244,2.1,G3_junior,4.3,85.8,55.821,3.724,0.741,0.0112,0.0375,0,CONTAMINATION,train
RUN-000032,WO-000016,P03,L06,MCH-031,PRD-022,2025-08-01,21.76,1.0833,1.0,G3_junior,4.3,85.8,54.945,3.637,0.847,0.0766,0.03,0,CONTAMINATION,train
RUN-000033,WO-000017,P03,L06,MCH-033,PRD-022,2025-08-01,24.71,0.9647,0.7,G3_junior,4.3,85.8,54.666,3.484,0.814,0.0629,0.06,1,SOLDER_VOID,train
RUN-000034,WO-000017,P03,L06,MCH-034,PRD-022,2025-08-01,29.03,1.1,1.0,G3_junior,4.3,85.8,51.481,2.663,0.686,0.001,0.03,0,CONTAMINATION,train
RUN-000035,WO-000018,P03,L06,MCH-034,PRD-022,2025-08-01,28.25,0.834,0.6,G3_junior,4.3,85.8,51.481,2.663,1.05,0.0902,0.02,0,SURFACE_DENT,train
