source_id,target_id,edge_type,weight
SUP-002,PRD-001,supplies,0.899
PRD-001,MCH-010,processed_by,0.847
PRD-001,MCH-021,processed_by,0.273
SUP-008,PRD-002,supplies,0.88
PRD-002,MCH-023,processed_by,0.863
PRD-002,MCH-027,processed_by,0.263
SUP-015,PRD-003,supplies,0.959
PRD-003,MCH-019,processed_by,0.782
PRD-003,MCH-017,processed_by,0.489
SUP-015,PRD-004,supplies,0.959
PRD-004,MCH-032,processed_by,0.453
PRD-004,MCH-019,processed_by,0.384
SUP-005,PRD-005,supplies,0.858
PRD-005,MCH-020,processed_by,0.498
PRD-005,MCH-010,processed_by,0.574
SUP-012,PRD-006,supplies,0.921
PRD-006,MCH-021,processed_by,0.719
PRD-006,MCH-031,processed_by,0.67
SUP-008,PRD-007,supplies,0.88
PRD-007,MCH-003,processed_by,0.242
PRD-007,MCH-030,processed_by,0.515
SUP-016,PRD-008,supplies,0.845
PRD-008,MCH-027,processed_by,0.56
PRD-008,MCH-005,processed_by,0.903
SUP-017,PRD-009,supplies,0.768
PRD-009,MCH-034,processed_by,0.312
PRD-009,MCH-025,processed_by,0.994
SUP-010,PRD-010,supplies,0.97
PRD-010,MCH-024,processed_by,0.315
PRD-010,MCH-033,processed_by,0.764
SUP-001,PRD-011,supplies,0.71
PRD-011,MCH-023,processed_by,0.693
PRD-011,MCH-011,processed_by,0.24
SUP-012,PRD-012,supplies,0.921
PRD-012,MCH-036,processed_by,0.246
PRD-012,MCH-017,processed_by,0.381
SUP-015,PRD-013,supplies,0.959
PRD-013,MCH-025,processed_by,0.673
PRD-013,MCH-033,processed_by,0.62
SUP-005,PRD-014,supplies,0.858
PRD-014,MCH-031,processed_by,0.502
PRD-014,MCH-002,processed_by,0.243
SUP-012,PRD-015,supplies,0.921
PRD-015,MCH-028,processed_by,0.926
PRD-015,MCH-018,processed_by,0.956
SUP-005,PRD-016,supplies,0.858
PRD-016,MCH-004,processed_by,0.407
PRD-016,MCH-033,processed_by,0.311
SUP-011,PRD-017,supplies,0.963
PRD-017,MCH-021,processed_by,0.992
PRD-017,MCH-034,processed_by,0.235
SUP-009,PRD-018,supplies,0.961
PRD-018,MCH-022,processed_by,0.727
