machine_id,plant_id,line_id,feature_date,avg_temperature_24h,avg_vibration_24h,max_vibration_24h,alarm_count_24h,downtime_count_7d,runtime_hours_since_maintenance,machine_age_years,maintenance_overdue_flag,failure_within_24h,failure_within_7d
MCH-001,P01,L01,2025-08-01,54.598,2.306,3.156,0,2,830.04,7.2,0,0,0
MCH-001,P01,L01,2025-08-02,51.223,2.215,3.37,0,2,922.11,7.2,0,0,0
MCH-001,P01,L01,2025-08-03,49.125,2.146,3.371,0,2,1012.31,7.2,0,0,0
MCH-001,P01,L01,2025-08-04,55.683,2.262,3.61,0,3,1105.27,7.2,0,0,0
MCH-001,P01,L01,2025-08-05,52.954,2.526,3.438,0,5,1111.09,7.2,0,0,0
MCH-001,P01,L01,2025-08-06,52.389,2.266,3.006,0,5,1014.02,7.2,0,0,0
MCH-001,P01,L01,2025-08-07,49.881,2.329,3.452,0,6,978.73,7.2,0,0,0
MCH-001,P01,L01,2025-08-08,55.85,2.505,3.543,0,5,1007.83,7.2,0,0,0
MCH-001,P01,L01,2025-08-09,47.489,2.056,3.29,0,5,950.77,7.2,0,0,0
MCH-001,P01,L01,2025-08-10,51.46,2.215,3.019,0,5,1193.44,7.2,0,0,0
MCH-001,P01,L01,2025-08-11,51.799,2.367,3.218,0,5,1182.55,7.2,0,0,0
MCH-001,P01,L01,2025-08-12,52.161,2.465,3.348,0,4,1228.41,7.2,0,0,0
MCH-001,P01,L01,2025-08-13,55.634,2.462,3.23,0,4,1203.45,7.2,0,0,0
MCH-001,P01,L01,2025-08-14,56.557,2.512,3.366,0,4,1104.92,7.2,0,0,0
MCH-001,P01,L01,2025-08-15,54.747,2.424,3.106,0,3,1111.13,7.2,0,0,0
MCH-001,P01,L01,2025-08-16,52.594,2.223,3.296,0,4,1270.37,7.2,0,0,0
MCH-001,P01,L01,2025-08-17,46.603,2.151,3.342,0,4,1139.91,7.2,0,0,0
MCH-001,P01,L01,2025-08-18,54.896,2.188,3.088,0,4,1065.09,7.2,0,0,0
MCH-001,P01,L01,2025-08-19,52.147,2.228,3.353,0,5,1325.61,7.2,0,0,0
MCH-001,P01,L01,2025-08-20,51.822,2.389,3.309,0,6,1283.55,7.2,0,0,0
MCH-001,P01,L01,2025-08-21,52.631,2.165,3.576,0,6,1178.63,7.2,0,0,0
MCH-001,P01,L01,2025-08-22,54.453,2.365,3.247,0,6,0.0,7.2,0,0,0
MCH-001,P01,L01,2025-08-23,47.134,2.202,3.125,0,5,17.27,7.2,0,0,0
MCH-001,P01,L01,2025-08-24,49.504,2.273,3.25,0,5,31.91,7.2,0,0,0
