run_id,work_order_id,plant_id,line_id,machine_id,product_id,feature_date,setup_minutes,speed_ratio,operator_experience_years,operator_fairness_group,product_complexity_score,supplier_quality_score,avg_temperature_24h,max_vibration_24h,line_utilization_rate,previous_defect_rate_7d,defect_rate,high_defect_risk,dominant_defect_code,split,monitoring_window
RUN-006435,WO-003218,P02,L04,MCH-019,PRD-001,2026-02-22,36.09,1.1777,8.9,G1_senior,8.2,89.9,48.754,2.962,0.9,0.0449,0.06,1,SOLDER_VOID,train,reference
RUN-001089,WO-000545,P02,L04,MCH-022,PRD-072,2025-09-04,18.51,1.0936,1.4,G3_junior,4.1,84.7,53.257,3.308,0.662,0.0047,0.04,0,CONTAMINATION,train,reference
RUN-002066,WO-001033,P03,L06,MCH-035,PRD-010,2025-10-05,35.0,1.0611,2.3,G3_junior,6.9,97.0,48.853,2.952,1.034,0.0195,0.03,0,SOLDER_VOID,train,reference
RUN-004223,WO-002112,P03,L06,MCH-032,PRD-051,2025-12-13,26.99,0.9978,3.3,G2_mid,6.9,96.1,46.381,2.944,0.782,0.0552,0.05,0,SURFACE_DENT,train,reference
RUN-008237,WO-004119,P03,L06,MCH-034,PRD-045,2026-04-20,28.01,0.9712,15.7,G1_senior,2.5,97.0,51.895,2.867,0.979,0.0486,0.0,0,NONE,validation,reference
RUN-007304,WO-003652,P01,L01,MCH-003,PRD-028,2026-03-22,27.01,1.1315,2.3,G3_junior,6.4,97.0,49.248,3.176,0.668,0,0.015,0,MISSING_PART,train,reference
RUN-008730,WO-004365,P03,L05,MCH-029,PRD-013,2026-05-06,20.81,1.0853,8.2,G1_senior,4.9,95.9,47.522,2.689,1.058,0,0.02,0,MISSING_PART,validation,reference
RUN-001849,WO-000925,P03,L06,MCH-032,PRD-024,2025-09-28,39.63,0.952,8.2,G1_senior,7.6,85.8,49.526,3.146,0.748,0.072,0.0375,0,SOLDER_VOID,train,reference
RUN-010120,WO-005060,P02,L03,MCH-018,PRD-002,2026-06-20,27.62,0.8568,2.2,G3_junior,5.3,88.0,50.404,3.352,0.779,0.0224,0.05,0,MISSING_PART,test,reference
RUN-000686,WO-000343,P02,L04,MCH-022,PRD-036,2025-08-22,17.27,1.1527,14.6,G1_senior,4.1,87.0,51.33,3.087,1.014,0.0181,0.016,0,MISSING_PART,train,reference
