table_name,business_key,issue_type,severity,description
sales_order,SOL-001601-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-001989-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-002804-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-000489-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-002753-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-002465-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-005109-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-005057-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-000651-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-003555-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-001331-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-003797-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-003903-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-001222-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-002053-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-003521-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-002927-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-002859-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-002087-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-004808-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-003649-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-004496-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-001833-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-004778-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
sales_order,SOL-004349-01,duplicate_business_key,medium,Same order line appears twice with different load timestamp.
