date,plant_id,line_id,planned_quantity,good_quantity,scrap_quantity,rework_quantity,runtime_minutes,downtime_minutes,energy_kwh,availability,performance,quality,oee,energy_intensity_kwh_per_good_unit
2025-08-01,P01,L01,44974,40571,1472,642,1222.11,136.84,4753.19,0.8761,0.9021,0.965,0.7626,0.11716
2025-08-01,P01,L02,78889,69657,2095,851,1146.88,187.28,8557.04,0.8221,0.883,0.9708,0.7047,0.12285
2025-08-01,P02,L03,42771,36367,1578,709,1197.31,161.37,3620.7,0.8583,0.8503,0.9584,0.6994,0.09956
2025-08-01,P02,L04,35649,31106,1532,675,1082.32,264.96,5159.25,0.7759,0.8726,0.9531,0.6452,0.16586
2025-08-01,P03,L05,42551,39427,1822,665,1210.77,143.96,5530.99,0.8679,0.9266,0.9558,0.7687,0.14028
2025-08-01,P03,L06,86812,79097,2786,909,1261.98,92.65,8916.22,0.9046,0.9111,0.966,0.7962,0.11273
2025-08-02,P01,L01,14523,12659,455,226,444.8,20.2,1175.1,0.3189,0.8717,0.9653,0.2683,0.09283
2025-08-02,P01,L02,20517,20552,417,191,378.16,72.19,3018.35,0.2711,1.0017,0.9801,0.2661,0.14686
2025-08-02,P02,L03,32408,29545,1156,387,1166.05,179.06,4722.34,0.8359,0.9117,0.9623,0.7333,0.15984
2025-08-02,P02,L04,7995,7787,194,77,374.43,70.94,1375.3,0.2684,0.974,0.9757,0.2551,0.17661
2025-08-02,P03,L05,18774,17280,813,263,866.98,38.05,2414.38,0.6215,0.9204,0.9551,0.5463,0.13972
2025-08-02,P03,L06,35372,31409,1180,435,794.96,85.52,3469.54,0.5699,0.888,0.9638,0.4877,0.11046
2025-08-03,P01,L02,15697,14600,694,328,444.06,15.55,2697.47,0.3183,0.9301,0.9546,0.2826,0.18476
2025-08-03,P02,L03,23531,21025,463,161,846.11,65.55,2676.83,0.6065,0.8935,0.9785,0.5303,0.12732
2025-08-03,P02,L04,16153,14526,532,188,777.63,144.45,1954.97,0.5574,0.8993,0.9647,0.4836,0.13458
2025-08-03,P03,L05,11315,10785,283,66,440.43,9.79,1470.26,0.3157,0.9532,0.9744,0.2932,0.13632
2025-08-03,P03,L06,22487,20071,972,353,384.07,68.7,2875.64,0.2753,0.8926,0.9538,0.2344,0.14327
2025-08-04,P01,L01,53481,48052,1237,458,1283.51,103.78,6049.22,0.9201,0.8985,0.9749,0.8059,0.12589
2025-08-04,P01,L02,61658,59666,1939,752,1226.82,110.58,6014.62,0.8794,0.9677,0.9685,0.8242,0.1008
2025-08-04,P02,L03,47588,44980,1279,446,1215.81,127.75,6601.68,0.8716,0.9452,0.9724,0.801,0.14677
2025-08-04,P02,L04,28663,25253,672,223,1216.28,134.26,3792.27,0.8719,0.881,0.9741,0.7482,0.15017
2025-08-04,P03,L05,40509,37131,1348,309,1251.29,93.09,4946.56,0.897,0.9166,0.965,0.7934,0.13322
2025-08-04,P03,L06,71946,61797,2292,878,1267.39,99.77,6742.85,0.9085,0.8589,0.9642,0.7525,0.10911
2025-08-05,P01,L01,42759,39626,1517,520,1192.76,151.29,4571.48,0.855,0.9267,0.9631,0.7632,0.11537
2025-08-05,P01,L02,83293,76014,1588,720,1288.32,63.89,5823.12,0.9235,0.9126,0.9795,0.8256,0.07661
2025-08-05,P02,L03,47915,42868,722,182,1220.89,120.45,3949.69,0.8752,0.8947,0.9834,0.77,0.09214
2025-08-05,P02,L04,24555,22214,815,369,1194.68,184.78,2725.19,0.8564,0.9047,0.9646,0.7473,0.12268
2025-08-05,P03,L05,37809,34766,765,215,1222.39,147.77,3661.49,0.8763,0.9195,0.9785,0.7884,0.10532
2025-08-05,P03,L06,77347,69941,2216,731,1257.41,106.41,7878.77,0.9014,0.9042,0.9693,0.79,0.11265
2025-08-06,P01,L01,40926,36583,1520,492,1258.56,100.06,3975.05,0.9022,0.8939,0.9601,0.7743,0.10866
2025-08-06,P01,L02,73005,67628,2858,1281,1199.52,173.1,8513.29,0.8599,0.9263,0.9595,0.7642,0.12588
2025-08-06,P02,L03,40938,37800,1115,532,1318.54,43.97,2633.75,0.9452,0.9233,0.9713,0.8477,0.06968
2025-08-06,P02,L04,27491,25193,945,331,1210.19,163.51,3428.65,0.8675,0.9164,0.9638,0.7663,0.1361
2025-08-06,P03,L05,45354,42695,1441,494,1251.96,84.91,3992.05,0.8975,0.9414,0.9674,0.8173,0.0935
2025-08-06,P03,L06,70996,61568,1653,508,1145.12,182.41,6637.54,0.8209,0.8672,0.9739,0.6933,0.10781
2025-08-07,P01,L01,48243,42996,897,338,1158.85,197.04,4297.63,0.8307,0.8912,0.9796,0.7252,0.09995
2025-08-07,P01,L02,81640,73638,3493,1197,1240.54,139.3,8583.25,0.8893,0.902,0.9547,0.7658,0.11656
2025-08-07,P02,L03,52752,51324,1846,705,1222.56,152.23,6517.86,0.8764,0.9729,0.9653,0.8231,0.12699
2025-08-07,P02,L04,32694,29119,875,303,1230.77,128.87,3411.41,0.8823,0.8907,0.9708,0.7629,0.11715
2025-08-07,P03,L05,37630,35816,1271,453,1297.26,81.15,4911.31,0.9299,0.9518,0.9657,0.8548,0.13713
2025-08-07,P03,L06,79278,71491,2226,882,1229.14,135.92,7839.56,0.8811,0.9018,0.9698,0.7706,0.10966
2025-08-08,P01,L01,51920,45078,1923,744,1165.7,191.71,6762.02,0.8356,0.8682,0.9591,0.6958,0.15001
2025-08-08,P01,L02,89656,82984,3517,1137,1188.83,156.01,13291.11,0.8522,0.9256,0.9593,0.7567,0.16016
2025-08-08,P02,L03,41226,38057,1076,480,1251.69,110.63,4977.93,0.8973,0.9231,0.9725,0.8055,0.1308
2025-08-08,P02,L04,34767,31985,669,257,1245.44,103.02,3228.56,0.8928,0.92,0.9795,0.8045,0.10094
2025-08-08,P03,L05,35985,32594,572,228,1204.17,135.28,4552.29,0.8632,0.9058,0.9828,0.7684,0.13967
2025-08-08,P03,L06,65708,62203,1867,683,1210.74,147.02,4254.82,0.8679,0.9467,0.9709,0.7977,0.0684
2025-08-09,P01,L01,34599,30743,1596,657,1280.48,113.67,4917.03,0.9179,0.8886,0.9506,0.7754,0.15994
2025-08-09,P01,L02,44488,40537,927,448,792.78,107.97,4138.52,0.5683,0.9112,0.9776,0.5063,0.10209
2025-08-09,P02,L03,20175,18361,702,351,800.65,95.57,2880.14,0.5739,0.9101,0.9632,0.5031,0.15686
2025-08-09,P02,L04,15085,13136,259,75,765.48,134.97,1243.6,0.5487,0.8708,0.9807,0.4686,0.09467
2025-08-09,P03,L05,19645,18366,208,102,815.49,104.73,1510.52,0.5846,0.9349,0.9888,0.5404,0.08225
2025-08-09,P03,L06,21149,19052,638,271,395.51,37.58,2654.79,0.2835,0.9008,0.9676,0.2471,0.13934
2025-08-10,P01,L01,14359,13871,482,148,429.61,31.03,1618.66,0.308,0.966,0.9664,0.2875,0.11669
2025-08-10,P01,L02,13365,11545,339,137,428.61,26.78,982.0,0.3072,0.8638,0.9715,0.2578,0.08506
2025-08-10,P02,L03,24878,22509,384,166,848.15,39.26,2182.84,0.608,0.9048,0.9832,0.5409,0.09698
2025-08-10,P02,L04,27020,24314,1085,431,1279.98,103.25,3092.63,0.9176,0.8999,0.9573,0.7904,0.1272
2025-08-10,P03,L05,22136,22421,357,152,826.37,91.46,2087.12,0.5924,1.0129,0.9843,0.5906,0.09309
2025-08-10,P03,L06,58253,50608,1645,659,1227.85,114.33,4768.02,0.8802,0.8688,0.9685,0.7406,0.09421
2025-08-11,P01,L01,52993,46701,840,430,1232.47,133.05,4936.76,0.8835,0.8813,0.9823,0.7648,0.10571
2025-08-11,P01,L02,68978,61485,3233,821,1276.08,78.61,10203.6,0.9148,0.8914,0.95,0.7747,0.16595
2025-08-11,P02,L03,37194,32726,995,383,1130.66,227.38,3862.78,0.8105,0.8799,0.9705,0.6921,0.11803
2025-08-11,P02,L04,29988,26553,796,351,1268.61,110.07,3253.51,0.9094,0.8855,0.9709,0.7818,0.12253
2025-08-11,P03,L05,38748,36157,845,293,1203.88,153.7,4922.46,0.863,0.9331,0.9772,0.7869,0.13614
2025-08-11,P03,L06,88030,77775,2887,947,1252.84,114.58,8912.9,0.8981,0.8835,0.9642,0.7651,0.1146
2025-08-12,P01,L01,40412,37169,924,378,1283.82,95.7,3793.13,0.9203,0.9198,0.9757,0.8259,0.10205
2025-08-12,P01,L02,79102,72476,2453,970,1223.2,143.41,7663.92,0.8768,0.9162,0.9673,0.7771,0.10574
2025-08-12,P02,L03,50692,47059,2199,885,1199.43,154.54,7354.51,0.8598,0.9283,0.9554,0.7626,0.15628
2025-08-12,P02,L04,28091,25486,909,318,1107.15,228.32,2737.73,0.7937,0.9073,0.9656,0.6953,0.10742
2025-08-12,P03,L05,40610,39823,1412,474,1169.08,138.34,6188.06,0.8381,0.9806,0.9658,0.7937,0.15539
2025-08-12,P03,L06,85884,76484,1696,866,1312.15,77.51,7918.95,0.9406,0.8906,0.9783,0.8195,0.10354
2025-08-13,P01,L01,54629,49851,1009,420,1294.33,71.84,5578.22,0.9278,0.9125,0.9802,0.8299,0.1119
2025-08-13,P01,L02,72843,65026,2555,1100,1134.31,206.23,6732.67,0.8131,0.8927,0.9622,0.6984,0.10354
