feature,importance,cumulative,group
defect_rate,0.7191973837062283,0.7191973837062283,Other
complexity_score,0.1557904177673272,0.8749878014735555,Other
product_id,0.029291125189175635,0.9042789266627311,Other
scrap_rate,0.023837544531612086,0.9281164711943433,Other
product_family,0.013105943038853344,0.9412224142331966,Other
setup_minutes,0.0106282194356883,0.9518506336688849,Other
speed_ratio,0.006912822763217392,0.9587634564321023,Other
runtime_minutes,0.006829252116923507,0.9655927085490258,Other
work_order_id,0.005137014193275182,0.970729722742301,Other
machine_id,0.005112003146915115,0.975841725889216,Other
run_id,0.004910080214511618,0.9807518061037277,Other
idle_minutes,0.004474154058804247,0.9852259601625319,Other
machine_age_years,0.003114049749490609,0.9883400099120225,Other
max_vibration_mm_s,0.0030739299630133813,0.9914139398750359,Other
avg_temperature_c,0.0029763647974705766,0.9943903046725064,Other
line_id,0.0025500091000164775,0.9969403137725229,Other
criticality,0.0012018851623204596,0.9981421989348433,Other
plant_id,0.0009550295544741013,0.9990972284893175,Other
sensor_valid_rate,0.0009027715106825217,1.0,Other
